,l2,r2,order,index,weighting_scheme,game_title
1,0.19109486686996893,-9.506870778134521,1,k-SII,uniform,Adult Census Ensemble Selection
2,0.4204275795067667,-8.997819693527967,2,k-SII,uniform,Adult Census Ensemble Selection
3,0.550335450006131,-2.2783231088725655,3,k-SII,uniform,Adult Census Ensemble Selection
4,1.1275653881505208,-3.4978830048880303,4,k-SII,uniform,Adult Census Ensemble Selection
5,1.2243747725750556,-2.455003694230137,5,k-SII,uniform,Adult Census Ensemble Selection
6,0.8119646406403416,-1.5056168551012488,6,k-SII,uniform,Adult Census Ensemble Selection
7,0.6328101923524332,-3.5548340190537973,7,k-SII,uniform,Adult Census Ensemble Selection
8,0.07682359593933508,-0.19307809822244604,8,k-SII,uniform,Adult Census Ensemble Selection
9,0.01258673353397354,-4.493033274858357,9,k-SII,uniform,Adult Census Ensemble Selection
10,4.838315813950585e-24,1.0,10,k-SII,uniform,Adult Census Ensemble Selection
1,0.19109486686996893,-9.506870778134521,1,STII,uniform,Adult Census Ensemble Selection
2,2.160709230724849,-21.77900846861443,2,STII,uniform,Adult Census Ensemble Selection
3,6.405539004126238,-4.063012285362865,3,STII,uniform,Adult Census Ensemble Selection
4,7.585892409438468,-1.3034151214798442,4,STII,uniform,Adult Census Ensemble Selection
5,4.1605586874234035,-0.547464177708378,5,STII,uniform,Adult Census Ensemble Selection
6,1.1006844785273593,-0.22509605048850734,6,STII,uniform,Adult Census Ensemble Selection
7,0.13377941110031552,-0.1015873936415772,7,STII,uniform,Adult Census Ensemble Selection
8,0.006045873079506024,0.1268536275053751,8,STII,uniform,Adult Census Ensemble Selection
9,4.642919448825955e-05,0.9484411522190311,9,STII,uniform,Adult Census Ensemble Selection
10,1.8659017172862238e-28,1.0,10,STII,uniform,Adult Census Ensemble Selection
1,0.19109487005599754,-9.506871160996718,1,FSII,uniform,Adult Census Ensemble Selection
2,0.0306750537040129,-0.2758194755915828,2,FSII,uniform,Adult Census Ensemble Selection
3,0.018495346292725583,-0.7809202332101082,3,FSII,uniform,Adult Census Ensemble Selection
4,0.006042218337288168,0.031048203977007915,4,FSII,uniform,Adult Census Ensemble Selection
5,0.0019507276051856494,0.24971394451453355,5,FSII,uniform,Adult Census Ensemble Selection
6,0.0004886236585288687,0.6447613268287636,6,FSII,uniform,Adult Census Ensemble Selection
7,0.00010988996585012447,0.884883179697216,7,FSII,uniform,Adult Census Ensemble Selection
8,2.4662211248295222e-05,0.9716310223896557,8,FSII,uniform,Adult Census Ensemble Selection
9,5.39311455600608e-07,0.9993777009263386,9,FSII,uniform,Adult Census Ensemble Selection
10,1.1265600055548616e-17,0.999999999999987,10,FSII,uniform,Adult Census Ensemble Selection
1,0.0007455273889418105,-5.194712445100312,1,FBII,uniform,Adult Census Ensemble Selection
2,0.0006649729393579876,-2.3099131563973048,2,FBII,uniform,Adult Census Ensemble Selection
3,0.0005751905736313659,-0.978736361454098,3,FBII,uniform,Adult Census Ensemble Selection
4,0.0004338443763052929,-0.0041949975890474,4,FBII,uniform,Adult Census Ensemble Selection
5,0.00026777951626933105,0.5522806876665225,5,FBII,uniform,Adult Census Ensemble Selection
6,0.00012728518487310506,0.827664903377713,6,FBII,uniform,Adult Census Ensemble Selection
7,5.061240886750092e-05,0.9379189922565496,7,FBII,uniform,Adult Census Ensemble Selection
8,1.7626903666964046e-05,0.9792196704256885,8,FBII,uniform,Adult Census Ensemble Selection
9,4.534101024239043e-07,0.9994760826572556,9,FBII,uniform,Adult Census Ensemble Selection
10,1.0483531900526166e-27,1.0,10,FBII,uniform,Adult Census Ensemble Selection
1,11.936646369056895,-2.2146047019734105,1,k-SII,Shapley kernel,Adult Census Ensemble Selection
2,12.31395168668804,-0.38259409636725494,2,k-SII,Shapley kernel,Adult Census Ensemble Selection
3,17.983098951122788,-0.2791214409564513,3,k-SII,Shapley kernel,Adult Census Ensemble Selection
4,27.924582020419557,-0.46072852049384405,4,k-SII,Shapley kernel,Adult Census Ensemble Selection
5,30.798800886518954,-0.36157600273828017,5,k-SII,Shapley kernel,Adult Census Ensemble Selection
6,22.399657326111157,-0.1522963800852417,6,k-SII,Shapley kernel,Adult Census Ensemble Selection
7,13.628392299520113,-0.33876682818353987,7,k-SII,Shapley kernel,Adult Census Ensemble Selection
8,3.1365777946646487,0.10408748219095998,8,k-SII,Shapley kernel,Adult Census Ensemble Selection
9,0.23597906565842713,0.690329434395887,9,k-SII,Shapley kernel,Adult Census Ensemble Selection
10,8.016034120522974e-22,1.0,10,k-SII,Shapley kernel,Adult Census Ensemble Selection
1,11.936646369056895,-2.2146047019734105,1,STII,Shapley kernel,Adult Census Ensemble Selection
2,57.33212200573488,-1.8087314252849445,2,STII,Shapley kernel,Adult Census Ensemble Selection
3,251.62162592420293,-1.4387266219240646,3,STII,Shapley kernel,Adult Census Ensemble Selection
4,563.0964582740925,-0.913367348495967,4,STII,Shapley kernel,Adult Census Ensemble Selection
5,611.9404017815853,-0.7307526653149508,5,STII,Shapley kernel,Adult Census Ensemble Selection
6,313.0375930946451,-0.5025345067949056,6,STII,Shapley kernel,Adult Census Ensemble Selection
7,68.80363357745777,-0.43330606822012707,7,STII,Shapley kernel,Adult Census Ensemble Selection
8,4.895592633961649,-0.009196114136942102,8,STII,Shapley kernel,Adult Census Ensemble Selection
9,0.04754349515597778,0.9330972639266697,9,STII,Shapley kernel,Adult Census Ensemble Selection
10,1.5739524208544247e-25,1.0,10,STII,Shapley kernel,Adult Census Ensemble Selection
1,11.936646483748953,-2.2146047967297497,1,FSII,Shapley kernel,Adult Census Ensemble Selection
2,4.268003686568062,0.14333182294699198,2,FSII,Shapley kernel,Adult Census Ensemble Selection
3,1.501607166201331,0.2596441990837599,3,FSII,Shapley kernel,Adult Census Ensemble Selection
4,0.460708184191657,0.6115779689218267,4,FSII,Shapley kernel,Adult Census Ensemble Selection
5,0.11919993810690517,0.8543428516767825,5,FSII,Shapley kernel,Adult Census Ensemble Selection
6,0.023821615839430658,0.9674165927051137,6,FSII,Shapley kernel,Adult Census Ensemble Selection
7,0.0038000304148156135,0.9946491479918569,7,FSII,Shapley kernel,Adult Census Ensemble Selection
8,0.0005810085214086186,0.9991786464163633,8,FSII,Shapley kernel,Adult Census Ensemble Selection
9,9.77858806171011e-06,0.9999861736077135,9,FSII,Shapley kernel,Adult Census Ensemble Selection
10,5.283691334503488e-16,0.9999999999999992,10,FSII,Shapley kernel,Adult Census Ensemble Selection
1,0.680831960121761,-56.03208580014002,1,FBII,Shapley kernel,Adult Census Ensemble Selection
2,0.6201195063348754,-25.704032959244795,2,FBII,Shapley kernel,Adult Census Ensemble Selection
3,0.5202179515362039,-3.6268756657871046,3,FBII,Shapley kernel,Adult Census Ensemble Selection
4,0.37969643679965603,-0.7371824592122143,4,FBII,Shapley kernel,Adult Census Ensemble Selection
5,0.21450017263342258,0.4555541508542684,5,FBII,Shapley kernel,Adult Census Ensemble Selection
6,0.07902673780319584,0.8578294386645896,6,FBII,Shapley kernel,Adult Census Ensemble Selection
7,0.017448010738434244,0.9726500053834671,7,FBII,Shapley kernel,Adult Census Ensemble Selection
8,0.002113880989074026,0.9969540747767575,8,FBII,Shapley kernel,Adult Census Ensemble Selection
9,2.3995110349249137e-05,0.9999660090989879,9,FBII,Shapley kernel,Adult Census Ensemble Selection
10,6.253643802663036e-25,1.0,10,FBII,Shapley kernel,Adult Census Ensemble Selection
