,l2,r2,order,index,weighting_scheme,game_title
1,0.1898159731719359,-8.30059948911628,1,k-SII,uniform,Bike Sharing Dataset Valuation
2,0.2239880422481447,-4.863273074180044,2,k-SII,uniform,Bike Sharing Dataset Valuation
3,0.26779500021627495,-2.904544612432469,3,k-SII,uniform,Bike Sharing Dataset Valuation
4,0.34144382559394226,-3.293061233213762,4,k-SII,uniform,Bike Sharing Dataset Valuation
5,0.33810139570156017,-2.6593741909992525,5,k-SII,uniform,Bike Sharing Dataset Valuation
6,0.1608111296153744,-0.9787214593763915,6,k-SII,uniform,Bike Sharing Dataset Valuation
7,0.11312940575785356,-3.8835667417820154,7,k-SII,uniform,Bike Sharing Dataset Valuation
8,0.011350012897269756,-0.8240760309673814,8,k-SII,uniform,Bike Sharing Dataset Valuation
9,0.004177650557615157,-1.3522848298505377,9,k-SII,uniform,Bike Sharing Dataset Valuation
10,5.599169486349197e-25,1.0,10,k-SII,uniform,Bike Sharing Dataset Valuation
1,0.1898159731719359,-8.30059948911628,1,STII,uniform,Bike Sharing Dataset Valuation
2,1.2189216689649127,-15.5110855998347,2,STII,uniform,Bike Sharing Dataset Valuation
3,2.515387382756126,-3.9878733797230153,3,STII,uniform,Bike Sharing Dataset Valuation
4,2.2182374724201352,-1.1703016881433275,4,STII,uniform,Bike Sharing Dataset Valuation
5,0.9467762737579465,-0.570425229870217,5,STII,uniform,Bike Sharing Dataset Valuation
6,0.200919774356127,-0.1576937438643018,6,STII,uniform,Bike Sharing Dataset Valuation
7,0.021006603935537237,-0.10575460717166041,7,STII,uniform,Bike Sharing Dataset Valuation
8,0.0009970942201234837,0.6710240395005038,8,STII,uniform,Bike Sharing Dataset Valuation
9,1.5410269051837555e-05,0.9913639948822435,9,STII,uniform,Bike Sharing Dataset Valuation
10,4.074369917857442e-28,1.0,10,STII,uniform,Bike Sharing Dataset Valuation
1,0.18981597580007928,-8.30059975594453,1,FSII,uniform,Bike Sharing Dataset Valuation
2,0.02326084028652916,0.11565794215061465,2,FSII,uniform,Bike Sharing Dataset Valuation
3,0.011055636488669154,-0.3553427094425383,3,FSII,uniform,Bike Sharing Dataset Valuation
4,0.00276144293953054,0.14049434717486775,4,FSII,uniform,Bike Sharing Dataset Valuation
5,0.0006973932876854466,0.6859060458542754,5,FSII,uniform,Bike Sharing Dataset Valuation
6,0.000138738656604586,0.930051087081081,6,FSII,uniform,Bike Sharing Dataset Valuation
7,2.056113218361116e-05,0.9886677415135224,7,FSII,uniform,Bike Sharing Dataset Valuation
8,2.3054495869269023e-06,0.9987113706697104,8,FSII,uniform,Bike Sharing Dataset Valuation
9,1.790023397094092e-07,0.9998998986994896,9,FSII,uniform,Bike Sharing Dataset Valuation
10,1.5118178302727937e-18,0.9999999999999991,10,FSII,uniform,Bike Sharing Dataset Valuation
1,0.001136739150262153,-0.7448783495724447,1,FBII,uniform,Bike Sharing Dataset Valuation
2,0.0007576249597896277,0.2648600699096946,2,FBII,uniform,Bike Sharing Dataset Valuation
3,0.00048444055425680635,0.6284311009931205,3,FBII,uniform,Bike Sharing Dataset Valuation
4,0.00026377692157232064,0.8269673166616743,4,FBII,uniform,Bike Sharing Dataset Valuation
5,0.00012143173741330376,0.9271458800067536,5,FBII,uniform,Bike Sharing Dataset Valuation
6,4.2097494725663804e-05,0.9758907457832658,6,FBII,uniform,Bike Sharing Dataset Valuation
7,9.814779534648496e-06,0.994481106434635,7,FBII,uniform,Bike Sharing Dataset Valuation
8,1.5668080035126198e-06,0.9991230441974297,8,FBII,uniform,Bike Sharing Dataset Valuation
9,1.504909087088619e-07,0.9999158356740325,9,FBII,uniform,Bike Sharing Dataset Valuation
10,2.104910263773022e-28,1.0,10,FBII,uniform,Bike Sharing Dataset Valuation
1,0.9887169652983874,-0.32093706970723,1,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
2,0.6829600947371718,0.5686998007489467,2,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
3,0.8045319184223708,0.45572880353653067,3,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
4,0.8879317925987674,0.036560192097893296,4,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
5,0.8113873656182642,0.22547517826608376,5,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
6,0.45962634076026687,0.6533560224226727,6,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
7,0.2327120573277084,0.7610849041922061,7,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
8,0.04039507166971945,0.934223708550261,8,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
9,0.007832358352369739,0.9872541322454564,9,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
10,6.13931640160404e-24,1.0,10,k-SII,Shapley kernel,Bike Sharing Dataset Valuation
1,0.9887169652983874,-0.32093706970723,1,STII,Shapley kernel,Bike Sharing Dataset Valuation
2,3.2546590539410927,0.0026048958461445393,2,STII,Shapley kernel,Bike Sharing Dataset Valuation
3,10.140554002778856,-1.144966741979228,3,STII,Shapley kernel,Bike Sharing Dataset Valuation
4,16.84724483992694,-0.24261234494923234,4,STII,Shapley kernel,Bike Sharing Dataset Valuation
5,14.164024744386463,-0.6330010797871739,5,STII,Shapley kernel,Bike Sharing Dataset Valuation
6,5.768147530957073,0.03810534277576072,6,STII,Shapley kernel,Bike Sharing Dataset Valuation
7,1.0800280281590227,-0.009290084071929439,7,STII,Shapley kernel,Bike Sharing Dataset Valuation
