,l2,r2,order,index,weighting_scheme,game_title
1,2.7836988884520553,-2.45845325731182,1,k-SII,uniform,Bike Sharing Global XAI
2,4.030419613328179,-1.5047837608335897,2,k-SII,uniform,Bike Sharing Global XAI
3,8.04172545407415,-0.3852027580496966,3,k-SII,uniform,Bike Sharing Global XAI
4,44.53456878720148,-1.2994088132577213,4,k-SII,uniform,Bike Sharing Global XAI
5,89.66702002440948,-0.2812056777782046,5,k-SII,uniform,Bike Sharing Global XAI
6,1224.8072909432499,-4.671823268269342,6,k-SII,uniform,Bike Sharing Global XAI
7,1816.6746861949573,-1.3077121746251965,7,k-SII,uniform,Bike Sharing Global XAI
8,17234.57108411632,-6.840816092938854,8,k-SII,uniform,Bike Sharing Global XAI
9,18369.32972306622,-4.434538750792707,9,k-SII,uniform,Bike Sharing Global XAI
10,27090.920945718895,-5.5577647274315884,10,k-SII,uniform,Bike Sharing Global XAI
11,25313.701217854934,-9.891128419330084,11,k-SII,uniform,Bike Sharing Global XAI
12,1.0614133728411437e-18,1.0,12,k-SII,uniform,Bike Sharing Global XAI
1,2.7836988884520553,-2.45845325731182,1,STII,uniform,Bike Sharing Global XAI
2,6.711771884641687,-1.1006005586128746,2,STII,uniform,Bike Sharing Global XAI
3,55.843066233597646,-0.5261991324377953,3,STII,uniform,Bike Sharing Global XAI
4,364.88552147489975,-0.4126759236841615,4,STII,uniform,Bike Sharing Global XAI
5,1360.7869701340687,-0.49548331323920314,5,STII,uniform,Bike Sharing Global XAI
6,3087.3936071995013,-0.3086104361277229,6,STII,uniform,Bike Sharing Global XAI
7,3681.346045686311,-0.1770363553861971,7,STII,uniform,Bike Sharing Global XAI
8,2095.5675326494656,-0.06512559948173391,8,STII,uniform,Bike Sharing Global XAI
9,550.1522540812916,-0.040994251622531674,9,STII,uniform,Bike Sharing Global XAI
10,59.75517971520297,0.07271529705164692,10,STII,uniform,Bike Sharing Global XAI
11,1.8265010637476322,0.6333924715316951,11,STII,uniform,Bike Sharing Global XAI
12,1.8132637168364337e-25,1.0,12,STII,uniform,Bike Sharing Global XAI
1,2.7836988892776255,-2.458453262127082,1,FSII,uniform,Bike Sharing Global XAI
2,2.856672580791331,-1.7654787847973092,2,FSII,uniform,Bike Sharing Global XAI
3,2.7957118016526725,-1.0907580089965898,3,FSII,uniform,Bike Sharing Global XAI
4,2.4724221837477307,-0.4503810505770527,4,FSII,uniform,Bike Sharing Global XAI
5,1.8996163898341618,0.13820432731450116,5,FSII,uniform,Bike Sharing Global XAI
6,1.2205573521642443,0.5442921166282964,6,FSII,uniform,Bike Sharing Global XAI
7,0.5622070566756252,0.8155374828161919,7,FSII,uniform,Bike Sharing Global XAI
8,0.2130222960075588,0.9345621078323807,8,FSII,uniform,Bike Sharing Global XAI
9,0.06429498977183817,0.9807814710883248,9,FSII,uniform,Bike Sharing Global XAI
10,0.015421226085034769,0.9954259347078609,10,FSII,uniform,Bike Sharing Global XAI
11,0.006328844403312421,0.99812448579652,11,FSII,uniform,Bike Sharing Global XAI
12,3.902036359769083e-14,0.9999999999999885,12,FSII,uniform,Bike Sharing Global XAI
1,2.6397680374870545,-2.582386297810526,1,FBII,uniform,Bike Sharing Global XAI
2,2.5858825677960864,-2.270124497657903,2,FBII,uniform,Bike Sharing Global XAI
3,2.437061729559425,-1.5937763809001688,3,FBII,uniform,Bike Sharing Global XAI
4,2.0905017350620874,-0.6254069683920636,4,FBII,uniform,Bike Sharing Global XAI
5,1.5744932213418914,0.12632462288733126,5,FBII,uniform,Bike Sharing Global XAI
6,0.9999514383312127,0.5792673415224092,6,FBII,uniform,Bike Sharing Global XAI
7,0.4663355532221989,0.8397641197971585,7,FBII,uniform,Bike Sharing Global XAI
8,0.18090611840905074,0.9433914091573595,8,FBII,uniform,Bike Sharing Global XAI
9,0.05202703587390832,0.9843509601207971,9,FBII,uniform,Bike Sharing Global XAI
10,0.012411403294770753,0.9963107753580922,10,FBII,uniform,Bike Sharing Global XAI
11,0.005351077335198957,0.9984127513522528,11,FBII,uniform,Bike Sharing Global XAI
12,2.5950585493847275e-22,1.0,12,FBII,uniform,Bike Sharing Global XAI
1,15.664258331491936,-0.002561904964643702,1,k-SII,Shapley kernel,Bike Sharing Global XAI
2,17.563382110655,0.2302459135677123,2,k-SII,Shapley kernel,Bike Sharing Global XAI
3,28.72255545643032,0.29327036627766023,3,k-SII,Shapley kernel,Bike Sharing Global XAI
4,114.18603491303429,0.038463720758613706,4,k-SII,Shapley kernel,Bike Sharing Global XAI
5,284.05459267951386,0.12992568394086557,5,k-SII,Shapley kernel,Bike Sharing Global XAI
6,2485.875987433419,-0.34516738812417236,6,k-SII,Shapley kernel,Bike Sharing Global XAI
7,5616.355138190616,-0.18223333718281398,7,k-SII,Shapley kernel,Bike Sharing Global XAI
8,34274.69576911797,-0.42162061353130675,8,k-SII,Shapley kernel,Bike Sharing Global XAI
9,40168.91833989935,-0.3153674755675504,9,k-SII,Shapley kernel,Bike Sharing Global XAI
10,56168.63430682363,-0.3601624162705799,10,k-SII,Shapley kernel,Bike Sharing Global XAI
11,46955.37104107077,-0.479171288518337,11,k-SII,Shapley kernel,Bike Sharing Global XAI
12,5.512528072734596e-16,1.0,12,k-SII,Shapley kernel,Bike Sharing Global XAI
1,15.664258331491936,-0.002561904964643702,1,STII,Shapley kernel,Bike Sharing Global XAI
2,29.849880434637033,0.2030656099044693,2,STII,Shapley kernel,Bike Sharing Global XAI
3,266.9076296730978,-0.15723307746708248,3,STII,Shapley kernel,Bike Sharing Global XAI
4,2385.242709255476,-0.14359966863603102,4,STII,Shapley kernel,Bike Sharing Global XAI
5,16104.37898885866,-0.3739328235506967,5,STII,Shapley kernel,Bike Sharing Global XAI
6,75364.2295506388,-0.3512345892439521,6,STII,Shapley kernel,Bike Sharing Global XAI
7,185858.0016994387,-0.35145755218143293,7,STII,Shapley kernel,Bike Sharing Global XAI
8,205721.77748675254,-0.2732424065555292,8,STII,Shapley kernel,Bike Sharing Global XAI
9,96530.68054596706,-0.25304865477843275,9,STII,Shapley kernel,Bike Sharing Global XAI
10,16501.87460231271,-0.15657715926550986,10,STII,Shapley kernel,Bike Sharing Global XAI
11,623.4456964258584,-0.2577744477723374,11,STII,Shapley kernel,Bike Sharing Global XAI
12,6.27721363670065e-22,1.0,12,STII,Shapley kernel,Bike Sharing Global XAI
1,15.664258335245226,-0.002561908045600303,1,FSII,Shapley kernel,Bike Sharing Global XAI
2,14.041921345253208,0.18111001734409127,2,FSII,Shapley kernel,Bike Sharing Global XAI
3,11.843077838253365,0.3250087627754059,3,FSII,Shapley kernel,Bike Sharing Global XAI
4,8.861076798199125,0.56699382060688,4,FSII,Shapley kernel,Bike Sharing Global XAI
5,5.668091112073869,0.7591625174926832,5,FSII,Shapley kernel,Bike Sharing Global XAI
6,3.1392209775689404,0.8794649787233972,6,FSII,Shapley kernel,Bike Sharing Global XAI
7,1.3090413586378062,0.9530241877162169,7,FSII,Shapley kernel,Bike Sharing Global XAI
8,0.43130306505531524,0.9849943853263885,8,FSII,Shapley kernel,Bike Sharing Global XAI
9,0.13753133399488712,0.9952615396247356,9,FSII,Shapley kernel,Bike Sharing Global XAI
10,0.02863822106073984,0.9990169783385037,10,FSII,Shapley kernel,Bike Sharing Global XAI
11,0.010605343048680212,0.9996361768963324,11,FSII,Shapley kernel,Bike Sharing Global XAI
12,1.0227911094389463e-13,0.9999999999999964,12,FSII,Shapley kernel,Bike Sharing Global XAI
1,15.972486971919857,-0.42994111947140023,1,FBII,Shapley kernel,Bike Sharing Global XAI
2,15.665141843884083,-0.37262699732383786,2,FBII,Shapley kernel,Bike Sharing Global XAI
3,15.101090939908008,-0.15413544646474242,3,FBII,Shapley kernel,Bike Sharing Global XAI
4,14.11822023771203,0.08811802420398995,4,FBII,Shapley kernel,Bike Sharing Global XAI
5,11.723575862283116,0.4674125255238737,5,FBII,Shapley kernel,Bike Sharing Global XAI
6,7.66398604874704,0.6919132737007447,6,FBII,Shapley kernel,Bike Sharing Global XAI
7,3.2151465510533312,0.8724775081431718,7,FBII,Shapley kernel,Bike Sharing Global XAI
8,1.0528228521083962,0.9611806210818774,8,FBII,Shapley kernel,Bike Sharing Global XAI
9,0.5569498278719681,0.980182784269158,9,FBII,Shapley kernel,Bike Sharing Global XAI
10,0.1618649396627561,0.9943300770766451,10,FBII,Shapley kernel,Bike Sharing Global XAI
11,0.040328082897509096,0.9986127472879569,11,FBII,Shapley kernel,Bike Sharing Global XAI
12,5.267663910154037e-21,1.0,12,FBII,Shapley kernel,Bike Sharing Global XAI
