,l2,r2,order,index,weighting_scheme,game_title
1,3656.990217988267,-0.8760663800857156,1,k-SII,uniform,Bike Sharing Local XAI
2,1319.373685250122,0.6269861174621345,2,k-SII,uniform,Bike Sharing Local XAI
3,959.2065535536997,0.712834742856949,3,k-SII,uniform,Bike Sharing Local XAI
4,1257.1066589605375,0.6264080184987797,4,k-SII,uniform,Bike Sharing Local XAI
5,914.8843716296682,0.793612525919148,5,k-SII,uniform,Bike Sharing Local XAI
6,87.49254003607,0.9800757915435252,6,k-SII,uniform,Bike Sharing Local XAI
7,3.52260044650947,0.9990768314624439,7,k-SII,uniform,Bike Sharing Local XAI
8,1.5036567717548986e-21,1.0,8,k-SII,uniform,Bike Sharing Local XAI
9,1.4617152232692748e-21,1.0,9,k-SII,uniform,Bike Sharing Local XAI
10,3.399774881904147e-21,1.0,10,k-SII,uniform,Bike Sharing Local XAI
11,3.399774881904147e-21,1.0,11,k-SII,uniform,Bike Sharing Local XAI
12,3.399774881904147e-21,1.0,12,k-SII,uniform,Bike Sharing Local XAI
1,3656.990217988267,-0.8760663800857156,1,STII,uniform,Bike Sharing Local XAI
2,2346.7421391369076,0.5164739820403896,2,STII,uniform,Bike Sharing Local XAI
3,5500.3703595342895,-0.1712018067197394,3,STII,uniform,Bike Sharing Local XAI
4,5974.76533606126,0.4415507158753236,4,STII,uniform,Bike Sharing Local XAI
5,1408.6462186436547,0.6145610033695285,5,STII,uniform,Bike Sharing Local XAI
6,75.10365513379944,0.9815749607322984,6,STII,uniform,Bike Sharing Local XAI
7,0.30517578125299644,0.9999195565234793,7,STII,uniform,Bike Sharing Local XAI
8,1.4797034933900179e-21,1.0,8,STII,uniform,Bike Sharing Local XAI
9,3.692374571042913e-22,1.0,9,STII,uniform,Bike Sharing Local XAI
10,9.085104592642888e-22,1.0,10,STII,uniform,Bike Sharing Local XAI
11,3.4828132445999865e-22,1.0,11,STII,uniform,Bike Sharing Local XAI
12,0.0,1.0,12,STII,uniform,Bike Sharing Local XAI
1,3656.9902236790454,-0.8760663841937439,1,FSII,uniform,Bike Sharing Local XAI
2,1162.2107891427697,0.651999728032479,2,FSII,uniform,Bike Sharing Local XAI
3,479.14166409218393,0.8621036591406332,3,FSII,uniform,Bike Sharing Local XAI
4,129.42124807448462,0.9642595926805965,4,FSII,uniform,Bike Sharing Local XAI
5,29.592423307041688,0.9921923683379767,5,FSII,uniform,Bike Sharing Local XAI
6,3.4728569050787605,0.9990887180955672,6,FSII,uniform,Bike Sharing Local XAI
7,0.011448177292818728,0.9999969893615623,7,FSII,uniform,Bike Sharing Local XAI
8,4.3004686915258996e-13,0.9999999999999999,8,FSII,uniform,Bike Sharing Local XAI
9,1.7710055414822557e-12,0.9999999999999996,9,FSII,uniform,Bike Sharing Local XAI
10,6.545750416933988e-13,0.9999999999999998,10,FSII,uniform,Bike Sharing Local XAI
11,3.951617225079041e-13,0.9999999999999999,11,FSII,uniform,Bike Sharing Local XAI
12,9.082401007823123e-14,1.0,12,FSII,uniform,Bike Sharing Local XAI
1,2257.3160247802734,-0.4610291171076144,1,FBII,uniform,Bike Sharing Local XAI
2,1007.2747039794922,0.6396231162126913,2,FBII,uniform,Bike Sharing Local XAI
3,380.08622741699213,0.8889366668744414,3,FBII,uniform,Bike Sharing Local XAI
4,90.83845520019531,0.975525106295491,4,FBII,uniform,Bike Sharing Local XAI
5,20.960281372070266,0.994456966229853,5,FBII,uniform,Bike Sharing Local XAI
6,2.841079711914074,0.9992522476325418,6,FBII,uniform,Bike Sharing Local XAI
7,0.00953674316406241,0.9999974918648737,7,FBII,uniform,Bike Sharing Local XAI
8,2.959812152057663e-22,1.0,8,FBII,uniform,Bike Sharing Local XAI
9,8.913670236509896e-23,1.0,9,FBII,uniform,Bike Sharing Local XAI
10,8.258174284108046e-23,1.0,10,FBII,uniform,Bike Sharing Local XAI
11,1.0306399459771149e-22,1.0,11,FBII,uniform,Bike Sharing Local XAI
12,2.0254799287463624e-23,1.0,12,FBII,uniform,Bike Sharing Local XAI
1,13475.415254157322,0.6711542736042426,1,k-SII,Shapley kernel,Bike Sharing Local XAI
2,4455.559733087612,0.9096141917139413,2,k-SII,Shapley kernel,Bike Sharing Local XAI
3,3078.9321889959665,0.9324452315615677,3,k-SII,Shapley kernel,Bike Sharing Local XAI
4,3258.0787382686703,0.9268139889960966,4,k-SII,Shapley kernel,Bike Sharing Local XAI
5,2036.1490006061306,0.9604713002402866,5,k-SII,Shapley kernel,Bike Sharing Local XAI
6,310.8197338705388,0.9940852043687141,6,k-SII,Shapley kernel,Bike Sharing Local XAI
7,6.987158289451518,0.9998587269550772,7,k-SII,Shapley kernel,Bike Sharing Local XAI
8,2.4808014278055394e-20,1.0,8,k-SII,Shapley kernel,Bike Sharing Local XAI
9,2.3729060322892146e-20,1.0,9,k-SII,Shapley kernel,Bike Sharing Local XAI
10,2.503612247761574e-20,1.0,10,k-SII,Shapley kernel,Bike Sharing Local XAI
11,2.503612247761574e-20,1.0,11,k-SII,Shapley kernel,Bike Sharing Local XAI
12,2.503612247761574e-20,1.0,12,k-SII,Shapley kernel,Bike Sharing Local XAI
1,13475.415254157322,0.6711542736042426,1,STII,Shapley kernel,Bike Sharing Local XAI
2,7904.814224930698,0.8618649940647046,2,STII,Shapley kernel,Bike Sharing Local XAI
3,21488.28840589489,0.5509279056683174,3,STII,Shapley kernel,Bike Sharing Local XAI
4,44742.330205831684,0.6137176856860116,4,STII,Shapley kernel,Bike Sharing Local XAI
5,19556.110368523798,0.5549787210768025,5,STII,Shapley kernel,Bike Sharing Local XAI
6,1615.5516176610183,0.9712480976728314,6,STII,Shapley kernel,Bike Sharing Local XAI
7,10.230654762288216,0.9997907456877542,7,STII,Shapley kernel,Bike Sharing Local XAI
8,1.9810860354111137e-18,1.0,8,STII,Shapley kernel,Bike Sharing Local XAI
9,7.809388041896095e-19,1.0,9,STII,Shapley kernel,Bike Sharing Local XAI
10,2.743848109384852e-18,1.0,10,STII,Shapley kernel,Bike Sharing Local XAI
11,1.2869976383668097e-18,1.0,11,STII,Shapley kernel,Bike Sharing Local XAI
12,0.0,1.0,12,STII,Shapley kernel,Bike Sharing Local XAI
1,13475.41527332476,0.6711542726396547,1,FSII,Shapley kernel,Bike Sharing Local XAI
2,4127.12096929055,0.9139563778008226,2,FSII,Shapley kernel,Bike Sharing Local XAI
3,1572.3855734825013,0.9674641731347631,3,FSII,Shapley kernel,Bike Sharing Local XAI
4,425.16039928137843,0.9913987396341812,4,FSII,Shapley kernel,Bike Sharing Local XAI
5,85.38521510513446,0.99826657502953,5,FSII,Shapley kernel,Bike Sharing Local XAI
6,7.903123001275232,0.999839722476692,6,FSII,Shapley kernel,Bike Sharing Local XAI
7,0.023847680100903768,0.999999516297181,7,FSII,Shapley kernel,Bike Sharing Local XAI
8,2.4457357384643726e-12,1.0,8,FSII,Shapley kernel,Bike Sharing Local XAI
9,4.642026188406527e-12,0.9999999999999999,9,FSII,Shapley kernel,Bike Sharing Local XAI
10,6.2519716544235295e-12,0.9999999999999999,10,FSII,Shapley kernel,Bike Sharing Local XAI
11,1.4112000634321713e-12,1.0,11,FSII,Shapley kernel,Bike Sharing Local XAI
12,3.995409476805476e-13,1.0,12,FSII,Shapley kernel,Bike Sharing Local XAI
1,13822.77140834248,0.6210220415673295,1,FBII,Shapley kernel,Bike Sharing Local XAI
2,4907.046456758782,0.8871060681116938,2,FBII,Shapley kernel,Bike Sharing Local XAI
3,2636.934826320254,0.938578857368026,3,FBII,Shapley kernel,Bike Sharing Local XAI
4,1205.4338453741789,0.9721253526461551,4,FBII,Shapley kernel,Bike Sharing Local XAI
5,333.1401076243905,0.9930233241628889,5,FBII,Shapley kernel,Bike Sharing Local XAI
6,23.49791874457919,0.9995162657573323,6,FBII,Shapley kernel,Bike Sharing Local XAI
7,0.07187310977681374,0.9999985418974101,7,FBII,Shapley kernel,Bike Sharing Local XAI
8,8.508899426156504e-20,1.0,8,FBII,Shapley kernel,Bike Sharing Local XAI
9,1.0130735587820611e-19,1.0,9,FBII,Shapley kernel,Bike Sharing Local XAI
10,1.0876117737221007e-19,1.0,10,FBII,Shapley kernel,Bike Sharing Local XAI
11,1.5424817490843178e-20,1.0,11,FBII,Shapley kernel,Bike Sharing Local XAI
12,2.0575785771554277e-20,1.0,12,FBII,Shapley kernel,Bike Sharing Local XAI
