,l2,r2,order,index,weighting_scheme,game_title
1,0.06937767406558107,-5.496523974142639,1,k-SII,uniform,California Housing Dataset Valuation
2,0.10123708569723061,-4.6985799664434005,2,k-SII,uniform,California Housing Dataset Valuation
3,0.13267815579268374,-2.565766758182016,3,k-SII,uniform,California Housing Dataset Valuation
4,0.23539650404527263,-3.6519305341186294,4,k-SII,uniform,California Housing Dataset Valuation
5,0.25956066429309604,-1.7811351667947335,5,k-SII,uniform,California Housing Dataset Valuation
6,0.14463536815197223,-0.6794875682923316,6,k-SII,uniform,California Housing Dataset Valuation
7,0.0939598758018753,-3.449897052797846,7,k-SII,uniform,California Housing Dataset Valuation
8,0.010978996853826395,-0.3271030166642832,8,k-SII,uniform,California Housing Dataset Valuation
9,3.645902816889356e-06,0.9977194866649797,9,k-SII,uniform,California Housing Dataset Valuation
10,5.623701784885946e-24,1.0,10,k-SII,uniform,California Housing Dataset Valuation
1,0.06937767406558107,-5.496523974142639,1,STII,uniform,California Housing Dataset Valuation
2,0.5822622813449331,-16.319377549538665,2,STII,uniform,California Housing Dataset Valuation
3,1.518504038678366,-4.406016315570414,3,STII,uniform,California Housing Dataset Valuation
4,1.7221567443892676,-1.1895199432259393,4,STII,uniform,California Housing Dataset Valuation
5,0.8747288387711876,-0.6001124283659709,5,STII,uniform,California Housing Dataset Valuation
6,0.19800054327322006,-0.13402317878749792,6,STII,uniform,California Housing Dataset Valuation
7,0.01797736758046537,-0.1721564993286151,7,STII,uniform,California Housing Dataset Valuation
8,0.0005068157133712237,0.7873989911693854,8,STII,uniform,California Housing Dataset Valuation
9,1.3448789571761248e-08,0.9999915357170671,9,STII,uniform,California Housing Dataset Valuation
10,7.431916895616219e-29,1.0,10,STII,uniform,California Housing Dataset Valuation
1,0.06937767513252949,-5.49652416423027,1,FSII,uniform,California Housing Dataset Valuation
2,0.009651572607970796,0.24897318767152,2,FSII,uniform,California Housing Dataset Valuation
3,0.004838143700773593,-0.4533955178864535,3,FSII,uniform,California Housing Dataset Valuation
4,0.001643059360758818,0.023877376141763995,4,FSII,uniform,California Housing Dataset Valuation
5,0.0005510573345231072,0.7060781136003083,5,FSII,uniform,California Housing Dataset Valuation
6,0.00016342232888589587,0.9084753565291586,6,FSII,uniform,California Housing Dataset Valuation
7,2.827414368063643e-05,0.982429807755809,7,FSII,uniform,California Housing Dataset Valuation
8,5.033691919346398e-06,0.9968301443944716,8,FSII,uniform,California Housing Dataset Valuation
9,1.56218189624663e-10,0.9999999016184912,9,FSII,uniform,California Housing Dataset Valuation
10,1.956782394362874e-18,0.9999999999999988,10,FSII,uniform,California Housing Dataset Valuation
1,0.0007094324332672969,0.19240750756328617,1,FBII,uniform,California Housing Dataset Valuation
2,0.0005092624443836813,0.527858923597027,2,FBII,uniform,California Housing Dataset Valuation
3,0.000372973323389432,0.6930039845592605,3,FBII,uniform,California Housing Dataset Valuation
4,0.00025585698695720655,0.8079193458854468,4,FBII,uniform,California Housing Dataset Valuation
5,0.00014900728719279655,0.8964420731767012,5,FBII,uniform,California Housing Dataset Valuation
6,6.315872999721183e-05,0.9585770288614444,6,FBII,uniform,California Housing Dataset Valuation
7,1.6464841391382518e-05,0.9895223236382871,7,FBII,uniform,California Housing Dataset Valuation
8,3.7404666410723574e-06,0.99763881109826,8,FBII,uniform,California Housing Dataset Valuation
9,1.3133583566228504e-10,0.9999999172888646,9,FBII,uniform,California Housing Dataset Valuation
10,1.085367266606196e-28,1.0,10,FBII,uniform,California Housing Dataset Valuation
1,0.38683068293496053,-0.0015028747903755857,1,k-SII,Shapley kernel,California Housing Dataset Valuation
2,0.3140430172776493,0.5665210158006877,2,k-SII,Shapley kernel,California Housing Dataset Valuation
3,0.44038693571049514,0.36236814826511243,3,k-SII,Shapley kernel,California Housing Dataset Valuation
4,0.6100772766438272,-0.12716556021035008,4,k-SII,Shapley kernel,California Housing Dataset Valuation
5,0.6793486450561033,0.14671962233305902,5,k-SII,Shapley kernel,California Housing Dataset Valuation
6,0.4505739053407614,0.4968195058954854,6,k-SII,Shapley kernel,California Housing Dataset Valuation
7,0.20607530484735015,0.6012342533788058,7,k-SII,Shapley kernel,California Housing Dataset Valuation
8,0.04928250727173216,0.8427597930459318,8,k-SII,Shapley kernel,California Housing Dataset Valuation
9,6.8354250794266e-06,0.9999773889300245,9,k-SII,Shapley kernel,California Housing Dataset Valuation
10,3.484828503075565e-22,1.0,10,k-SII,Shapley kernel,California Housing Dataset Valuation
1,0.38683068293496053,-0.0015028747903755857,1,STII,Shapley kernel,California Housing Dataset Valuation
2,1.5639017180851795,-0.04701320065559744,2,STII,Shapley kernel,California Housing Dataset Valuation
3,5.974004435068249,-1.1321634510344394,3,STII,Shapley kernel,California Housing Dataset Valuation
4,12.84732993122911,-0.3128519594297594,4,STII,Shapley kernel,California Housing Dataset Valuation
5,12.936787108087136,-0.6147418062059462,5,STII,Shapley kernel,California Housing Dataset Valuation
6,5.709632460666949,-0.07306948378281608,6,STII,Shapley kernel,California Housing Dataset Valuation
7,0.9216424394416719,-0.24443186460098776,7,STII,Shapley kernel,California Housing Dataset Valuation
8,0.03961943582894831,0.8979257119677504,8,STII,Shapley kernel,California Housing Dataset Valuation
9,1.3771560521483518e-06,0.9999954392056146,9,STII,Shapley kernel,California Housing Dataset Valuation
10,4.7625739506087686e-26,1.0,10,STII,Shapley kernel,California Housing Dataset Valuation
1,0.3868306866071901,-0.0015028991048284812,1,FSII,Shapley kernel,California Housing Dataset Valuation
2,0.12593594456152368,0.7407669205742262,2,FSII,Shapley kernel,California Housing Dataset Valuation
3,0.03728043983553148,0.8889251674306722,3,FSII,Shapley kernel,California Housing Dataset Valuation
4,0.011777998840773055,0.9633752948838586,4,FSII,Shapley kernel,California Housing Dataset Valuation
5,0.0028860655923845673,0.9905080024289723,5,FSII,Shapley kernel,California Housing Dataset Valuation
6,0.0006825809414804045,0.9977448599886168,6,FSII,Shapley kernel,California Housing Dataset Valuation
7,8.239262477439656e-05,0.999726909939465,7,FSII,Shapley kernel,California Housing Dataset Valuation
8,1.1358077059553903e-05,0.9999623497250685,8,FSII,Shapley kernel,California Housing Dataset Valuation
9,2.8324888244119104e-10,0.9999999990610415,9,FSII,Shapley kernel,California Housing Dataset Valuation
10,7.129458606731387e-18,1.0,10,FSII,Shapley kernel,California Housing Dataset Valuation
1,0.24523617477478502,-8.914219290902352,1,FBII,Shapley kernel,California Housing Dataset Valuation
2,0.18527045683237148,-5.135713534902134,2,FBII,Shapley kernel,California Housing Dataset Valuation
3,0.11808820363535635,-0.39265076252110753,3,FBII,Shapley kernel,California Housing Dataset Valuation
4,0.0681539518513969,0.37484664515825583,4,FBII,Shapley kernel,California Housing Dataset Valuation
5,0.027954311745006073,0.8540133753748289,5,FBII,Shapley kernel,California Housing Dataset Valuation
6,0.007986226752805718,0.9659259767087075,6,FBII,Shapley kernel,California Housing Dataset Valuation
7,0.0008176336433626194,0.9971412848965315,7,FBII,Shapley kernel,California Housing Dataset Valuation
8,6.475289496255488e-05,0.9997823745237943,8,FBII,Shapley kernel,California Housing Dataset Valuation
9,9.31452510771578e-10,0.9999999969123664,9,FBII,Shapley kernel,California Housing Dataset Valuation
10,1.6081457038405147e-26,1.0,10,FBII,Shapley kernel,California Housing Dataset Valuation
