,l2,r2,order,index,weighting_scheme,game_title
1,0.0746683319241359,0.09692533400255343,1,k-SII,uniform,California Housing Feature Selection
2,0.07745851124664765,0.3137533671279593,2,k-SII,uniform,California Housing Feature Selection
3,0.05512815780913269,0.6424597598251373,3,k-SII,uniform,California Housing Feature Selection
4,0.1062138914022383,0.34774852090997843,4,k-SII,uniform,California Housing Feature Selection
5,0.12151422938186757,0.5662468292618174,5,k-SII,uniform,California Housing Feature Selection
6,0.03845832317607118,0.8608090431800238,6,k-SII,uniform,California Housing Feature Selection
7,0.012401388491509272,0.9282819178373036,7,k-SII,uniform,California Housing Feature Selection
8,4.207081413371673e-26,1.0,8,k-SII,uniform,California Housing Feature Selection
1,0.0746683319241359,0.09692533400255343,1,STII,uniform,California Housing Feature Selection
2,0.3717866196896831,-1.535138495238387,2,STII,uniform,California Housing Feature Selection
3,0.10967860146900854,0.5612873082648371,3,STII,uniform,California Housing Feature Selection
4,0.5714599106593623,0.20144522365907924,4,STII,uniform,California Housing Feature Selection
5,0.31748302967084274,-0.3914013893218926,5,STII,uniform,California Housing Feature Selection
6,0.04069819441506971,0.8371069326935644,6,STII,uniform,California Housing Feature Selection
7,0.0010743777158430247,0.9933911689225712,7,STII,uniform,California Housing Feature Selection
8,2.117078491367669e-30,1.0,8,STII,uniform,California Housing Feature Selection
1,0.07466833226220722,0.09692533210497756,1,FSII,uniform,California Housing Feature Selection
2,0.044308106884320284,0.5873239293081647,2,FSII,uniform,California Housing Feature Selection
3,0.013075513263052287,0.9193027884164835,3,FSII,uniform,California Housing Feature Selection
4,0.0027983475334144173,0.9829801994953228,4,FSII,uniform,California Housing Feature Selection
5,0.00126630614348872,0.9923944557020642,5,FSII,uniform,California Housing Feature Selection
6,0.00036261816880479815,0.9978375433852414,6,FSII,uniform,California Housing Feature Selection
7,4.0303539708888987e-05,0.999757473056483,7,FSII,uniform,California Housing Feature Selection
8,2.776118644288539e-19,1.0,8,FSII,uniform,California Housing Feature Selection
1,0.035162093591762075,0.7313565143370024,1,FBII,uniform,California Housing Feature Selection
2,0.010976389683133596,0.9292180447364358,2,FBII,uniform,California Housing Feature Selection
3,0.005072660904844718,0.9684882886695658,3,FBII,uniform,California Housing Feature Selection
4,0.0016027937181220938,0.9902534253212285,4,FBII,uniform,California Housing Feature Selection
5,0.0006727153021210583,0.9959322305760002,5,FBII,uniform,California Housing Feature Selection
6,0.00023278703992494107,0.9985961197565956,6,FBII,uniform,California Housing Feature Selection
7,3.357430362009478e-05,0.9997977647627724,7,FBII,uniform,California Housing Feature Selection
8,1.7718295836351565e-28,1.0,8,FBII,uniform,California Housing Feature Selection
1,0.46888854485088344,0.17699495534755394,1,k-SII,Shapley kernel,California Housing Feature Selection
2,0.3166709519683909,0.6161257245171061,2,k-SII,Shapley kernel,California Housing Feature Selection
3,0.142849653565554,0.8791839866595276,3,k-SII,Shapley kernel,California Housing Feature Selection
4,0.22792277703818767,0.8213330381795072,4,k-SII,Shapley kernel,California Housing Feature Selection
5,0.288416247666801,0.851141513675914,5,k-SII,Shapley kernel,California Housing Feature Selection
6,0.12387420269034702,0.9309329554024263,6,k-SII,Shapley kernel,California Housing Feature Selection
7,0.02348032602107589,0.9814950777528774,7,k-SII,Shapley kernel,California Housing Feature Selection
8,1.9574452002496665e-24,1.0,8,k-SII,Shapley kernel,California Housing Feature Selection
1,0.46888854485088344,0.17699495534755394,1,STII,Shapley kernel,California Housing Feature Selection
2,1.101315430875991,0.2083052676992907,2,STII,Shapley kernel,California Housing Feature Selection
3,0.4290460803174126,0.7428875238466974,3,STII,Shapley kernel,California Housing Feature Selection
4,3.853409765746649,0.3132572822213864,4,STII,Shapley kernel,California Housing Feature Selection
5,4.358060939909125,-0.686018372788398,5,STII,Shapley kernel,California Housing Feature Selection
6,0.98424942524547,0.657237138685328,6,STII,Shapley kernel,California Housing Feature Selection
7,0.03438008690697679,0.9700741384456129,7,STII,Shapley kernel,California Housing Feature Selection
8,1.7147573753796792e-28,1.0,8,STII,Shapley kernel,California Housing Feature Selection
1,0.46888854577054795,0.17699496179043728,1,FSII,Shapley kernel,California Housing Feature Selection
2,0.25967100386691844,0.6452456444889396,2,FSII,Shapley kernel,California Housing Feature Selection
3,0.05355459483822216,0.9562727771112571,3,FSII,Shapley kernel,California Housing Feature Selection
4,0.011263504893742476,0.9909934680195748,4,FSII,Shapley kernel,California Housing Feature Selection
5,0.004598658065774769,0.9963281053325989,5,FSII,Shapley kernel,California Housing Feature Selection
6,0.0010205866523682315,0.9991883480656569,6,FSII,Shapley kernel,California Housing Feature Selection
7,8.01400627202274e-05,0.9999362681676782,7,FSII,Shapley kernel,California Housing Feature Selection
8,7.73610191931257e-19,1.0,8,FSII,Shapley kernel,California Housing Feature Selection
1,0.6413899119598747,0.6843135801550728,1,FBII,Shapley kernel,California Housing Feature Selection
2,0.6228797533241247,0.7146520389930759,2,FBII,Shapley kernel,California Housing Feature Selection
3,0.19298591866522774,0.8384870104606499,3,FBII,Shapley kernel,California Housing Feature Selection
4,0.03349616447838054,0.9736437137466735,4,FBII,Shapley kernel,California Housing Feature Selection
5,0.02229545393605634,0.982593524896987,5,FBII,Shapley kernel,California Housing Feature Selection
6,0.005019007575937685,0.9959824935334338,6,FBII,Shapley kernel,California Housing Feature Selection
7,0.0002194920099161697,0.9998257903497931,7,FBII,Shapley kernel,California Housing Feature Selection
8,1.2197557837074586e-27,1.0,8,FBII,Shapley kernel,California Housing Feature Selection
