,l2,r2,order,index,weighting_scheme,game_title
1,0.14846820410208944,-8.27860956492288,1,k-SII,uniform,California Housing Random Forest Ensemble Selection
2,0.1626215433959022,-4.717499224904345,2,k-SII,uniform,California Housing Random Forest Ensemble Selection
3,0.1916059326754516,-3.1319387833525436,3,k-SII,uniform,California Housing Random Forest Ensemble Selection
4,0.2235280712959782,-3.3343144757893484,4,k-SII,uniform,California Housing Random Forest Ensemble Selection
5,0.21609761797485322,-2.8021721317338315,5,k-SII,uniform,California Housing Random Forest Ensemble Selection
6,0.08877689282849699,-0.8142970377059044,6,k-SII,uniform,California Housing Random Forest Ensemble Selection
7,0.059549513677185015,-3.952304887273307,7,k-SII,uniform,California Housing Random Forest Ensemble Selection
8,0.0041292055820853855,-0.600519374040853,8,k-SII,uniform,California Housing Random Forest Ensemble Selection
9,0.0008118985086840115,0.261228468330177,9,k-SII,uniform,California Housing Random Forest Ensemble Selection
10,4.645745956286062e-25,1.0,10,k-SII,uniform,California Housing Random Forest Ensemble Selection
1,0.14846820410208944,-8.27860956492288,1,STII,uniform,California Housing Random Forest Ensemble Selection
2,0.9099324239551819,-15.943811844206927,2,STII,uniform,California Housing Random Forest Ensemble Selection
3,1.7492901445344147,-4.100346491319223,3,STII,uniform,California Housing Random Forest Ensemble Selection
4,1.4384028770851804,-1.1683161851118848,4,STII,uniform,California Housing Random Forest Ensemble Selection
5,0.5628505890881619,-0.590895578554232,5,STII,uniform,California Housing Random Forest Ensemble Selection
6,0.10675971808912622,-0.13542547659163096,6,STII,uniform,California Housing Random Forest Ensemble Selection
7,0.009344988961980015,-0.1096026415277307,7,STII,uniform,California Housing Random Forest Ensemble Selection
8,0.00032681907995514515,0.809175179008903,8,STII,uniform,California Housing Random Forest Ensemble Selection
9,2.994882958552672e-06,0.9975507791435952,9,STII,uniform,California Housing Random Forest Ensemble Selection
10,1.267559459583209e-28,1.0,10,STII,uniform,California Housing Random Forest Ensemble Selection
1,0.1484682061514399,-8.278609833648312,1,FSII,uniform,California Housing Random Forest Ensemble Selection
2,0.0173634996399462,0.13894211222664377,2,FSII,uniform,California Housing Random Forest Ensemble Selection
3,0.007859794769288627,-0.3911745512351099,3,FSII,uniform,California Housing Random Forest Ensemble Selection
4,0.0018383320022781642,0.1022810730601098,4,FSII,uniform,California Housing Random Forest Ensemble Selection
5,0.00041464812620210274,0.7197191903114816,5,FSII,uniform,California Housing Random Forest Ensemble Selection
6,7.187366585771346e-05,0.9469951759105867,6,FSII,uniform,California Housing Random Forest Ensemble Selection
7,9.274578145449046e-06,0.992548550863304,7,FSII,uniform,California Housing Random Forest Ensemble Selection
8,7.966793666280754e-07,0.9993518585025807,8,FSII,uniform,California Housing Random Forest Ensemble Selection
9,3.4787909689191045e-08,0.9999716938210068,9,FSII,uniform,California Housing Random Forest Ensemble Selection
10,9.15292677925373e-19,0.9999999999999992,10,FSII,uniform,California Housing Random Forest Ensemble Selection
1,0.0006921651975923508,-0.28939233176025625,1,FBII,uniform,California Housing Random Forest Ensemble Selection
2,0.0004365391378716372,0.44912102942529564,2,FBII,uniform,California Housing Random Forest Ensemble Selection
3,0.0002597793362558062,0.7319654412230912,3,FBII,uniform,California Housing Random Forest Ensemble Selection
4,0.00013325178555733785,0.87838977332952,4,FBII,uniform,California Housing Random Forest Ensemble Selection
