,l2,r2,order,index,weighting_scheme,game_title
1,0.1164605269709218,-0.30912747950502695,1,k-SII,uniform,Image Classifier Local XAI
2,0.042092202057504954,0.6102166767814698,2,k-SII,uniform,Image Classifier Local XAI
3,0.039937221441314105,0.6695485373992223,3,k-SII,uniform,Image Classifier Local XAI
4,0.07204545915738088,0.5214169374751875,4,k-SII,uniform,Image Classifier Local XAI
5,0.050346672078526514,0.5902336501098147,5,k-SII,uniform,Image Classifier Local XAI
6,0.0011190307911092853,0.9887792883434681,6,k-SII,uniform,Image Classifier Local XAI
7,0.0004373662650475732,0.9958326851757004,7,k-SII,uniform,Image Classifier Local XAI
8,0.0003121122861076254,0.997017313744209,8,k-SII,uniform,Image Classifier Local XAI
9,1.2372445538703698e-25,1.0,9,k-SII,uniform,Image Classifier Local XAI
1,0.1164605269709218,-0.30912747950502695,1,STII,uniform,Image Classifier Local XAI
2,0.042450833065938234,0.6520864228445507,2,STII,uniform,Image Classifier Local XAI
3,0.3387397857597403,-0.29842329342406093,3,STII,uniform,Image Classifier Local XAI
4,0.287440376596059,-0.19588234104838098,4,STII,uniform,Image Classifier Local XAI
5,0.040258531247540336,0.7282293401374789,5,STII,uniform,Image Classifier Local XAI
6,0.0017761470378865375,0.9825335718372313,6,STII,uniform,Image Classifier Local XAI
7,0.0002359877857129951,0.9976984443169091,7,STII,uniform,Image Classifier Local XAI
8,2.0630651584031313e-05,0.9997966754913631,8,STII,uniform,Image Classifier Local XAI
9,0.0,1.0,9,STII,uniform,Image Classifier Local XAI
1,0.11646052731325093,-0.30912748449971295,1,FSII,uniform,Image Classifier Local XAI
2,0.029423439774224194,0.7296911953497596,2,FSII,uniform,Image Classifier Local XAI
3,0.008398421094021832,0.9109313270055023,3,FSII,uniform,Image Classifier Local XAI
4,0.004571696017272009,0.9547718946608156,4,FSII,uniform,Image Classifier Local XAI
5,0.0007819626245667275,0.992416035824922,5,FSII,uniform,Image Classifier Local XAI
6,3.75942381626747e-05,0.9996302943147429,6,FSII,uniform,Image Classifier Local XAI
7,5.234881136997729e-06,0.9999484959284664,7,FSII,uniform,Image Classifier Local XAI
8,4.33073180561052e-07,0.9999957392854337,8,FSII,uniform,Image Classifier Local XAI
9,9.362372397721324e-20,1.0,9,FSII,uniform,Image Classifier Local XAI
1,0.04198131275158773,0.2963718738390978,1,FBII,uniform,Image Classifier Local XAI
2,0.01970015014258105,0.7595936794479862,2,FBII,uniform,Image Classifier Local XAI
3,0.005007329401308835,0.9481846995307965,3,FBII,uniform,Image Classifier Local XAI
4,0.0024591496464487633,0.9752067424439208,4,FBII,uniform,Image Classifier Local XAI
5,0.0004606139863397384,0.995447792939108,5,FBII,uniform,Image Classifier Local XAI
6,3.1292689799489824e-05,0.9996920437709153,6,FBII,uniform,Image Classifier Local XAI
7,4.570199298604183e-06,0.9999550357823325,7,FBII,uniform,Image Classifier Local XAI
8,3.626481723752736e-07,0.9999964322089024,8,FBII,uniform,Image Classifier Local XAI
9,1.7894446375050273e-28,1.0,9,FBII,uniform,Image Classifier Local XAI
1,0.3593724848934092,0.6725615065722371,1,k-SII,Shapley kernel,Image Classifier Local XAI
2,0.13136233251910578,0.8909858101468012,2,k-SII,Shapley kernel,Image Classifier Local XAI
3,0.1315127504370252,0.9039792728719271,3,k-SII,Shapley kernel,Image Classifier Local XAI
4,0.17917750451765332,0.8915933540555198,4,k-SII,Shapley kernel,Image Classifier Local XAI
5,0.10141614130396354,0.9280345059242368,5,k-SII,Shapley kernel,Image Classifier Local XAI
6,0.003991724386526247,0.9966686728338086,6,k-SII,Shapley kernel,Image Classifier Local XAI
7,0.0015859409575216012,0.9987431436601222,7,k-SII,Shapley kernel,Image Classifier Local XAI
8,0.001295044289703342,0.9989713526253465,8,k-SII,Shapley kernel,Image Classifier Local XAI
9,1.1471367046599758e-23,1.0,9,k-SII,Shapley kernel,Image Classifier Local XAI
1,0.3593724848934092,0.6725615065722371,1,STII,Shapley kernel,Image Classifier Local XAI
2,0.15267861832945306,0.8842033587720051,2,STII,Shapley kernel,Image Classifier Local XAI
3,1.3252106090861953,0.5480085527881144,3,STII,Shapley kernel,Image Classifier Local XAI
4,2.2012428386514578,-0.2416017232956542,4,STII,Shapley kernel,Image Classifier Local XAI
5,0.6133212772391203,0.7273116480025327,5,STII,Shapley kernel,Image Classifier Local XAI
6,0.03544098409539012,0.9689954894558162,6,STII,Shapley kernel,Image Classifier Local XAI
7,0.007772985248527896,0.9939909192798363,7,STII,Shapley kernel,Image Classifier Local XAI
8,0.0011736548456693367,0.9990311784464212,8,STII,Shapley kernel,Image Classifier Local XAI
9,0.0,1.0,9,STII,Shapley kernel,Image Classifier Local XAI
1,0.3593724859039919,0.6725615048836917,1,FSII,Shapley kernel,Image Classifier Local XAI
2,0.10268839024432165,0.9173574343060529,2,FSII,Shapley kernel,Image Classifier Local XAI
3,0.03586625827605955,0.9691644511023713,3,FSII,Shapley kernel,Image Classifier Local XAI
4,0.016941379423502136,0.9857758880354436,4,FSII,Shapley kernel,Image Classifier Local XAI
5,0.0025252287501367912,0.997941704485902,5,FSII,Shapley kernel,Image Classifier Local XAI
6,8.24306363653192e-05,0.9999330242099864,6,FSII,Shapley kernel,Image Classifier Local XAI
7,9.761253515081198e-06,0.9999920707242302,7,FSII,Shapley kernel,Image Classifier Local XAI
8,8.20737654318955e-07,0.9999993333015053,8,FSII,Shapley kernel,Image Classifier Local XAI
9,3.1297760335733648e-19,1.0,9,FSII,Shapley kernel,Image Classifier Local XAI
1,0.4659810123293856,0.13767798932907827,1,FBII,Shapley kernel,Image Classifier Local XAI
2,0.19605573018688294,0.7296316804435834,2,FBII,Shapley kernel,Image Classifier Local XAI
3,0.08262914482228931,0.943760762696736,3,FBII,Shapley kernel,Image Classifier Local XAI
4,0.06300444366829591,0.9579705993278451,4,FBII,Shapley kernel,Image Classifier Local XAI
5,0.013542887478431567,0.9893717439044846,5,FBII,Shapley kernel,Image Classifier Local XAI
6,0.000191039501624423,0.9998454523744792,6,FBII,Shapley kernel,Image Classifier Local XAI
7,1.7580679548809098e-05,0.9999857208489334,7,FBII,Shapley kernel,Image Classifier Local XAI
8,2.477520212451118e-06,0.9999979883344771,8,FBII,Shapley kernel,Image Classifier Local XAI
9,1.6500249588614188e-26,1.0,9,FBII,Shapley kernel,Image Classifier Local XAI
