,l2,r2,order,index,weighting_scheme,game_title
1,0.061549554486534604,-5.625,1,k-SII,uniform,SOUM
2,0.02810375884102144,-0.5921052631578938,2,k-SII,uniform,SOUM
3,0.023748837533011925,-0.7860262008733623,3,k-SII,uniform,SOUM
4,0.00400652760336878,0.3947368421052624,4,k-SII,uniform,SOUM
5,0.0008129186441707783,0.7627118644043591,5,k-SII,uniform,SOUM
6,1.2117073603712947e-25,1.0,6,k-SII,uniform,SOUM
7,1.2117073603712947e-25,1.0,7,k-SII,uniform,SOUM
8,1.2117073603712947e-25,1.0,8,k-SII,uniform,SOUM
9,1.2117073603712947e-25,1.0,9,k-SII,uniform,SOUM
10,1.2117073603712947e-25,1.0,10,k-SII,uniform,SOUM
1,0.061549554486534604,-5.625,1,STII,uniform,SOUM
2,0.020671359808685216,-1.022727272727273,2,STII,uniform,SOUM
3,0.007490464649776382,0.0,3,STII,uniform,SOUM
4,0.0025548871673655854,0.50561797752809,4,STII,uniform,SOUM
5,0.0005806561744012697,0.8490566037735849,5,STII,uniform,SOUM
6,2.1035251002774056e-34,1.0,6,STII,uniform,SOUM
7,7.301583160132639e-35,1.0,7,STII,uniform,SOUM
8,1.496404308596772e-35,1.0,8,STII,uniform,SOUM
9,0.0,1.0,9,STII,uniform,SOUM
10,0.0,1.0,10,STII,uniform,SOUM
1,0.06154955376466251,-5.624999971325199,1,FSII,uniform,SOUM
2,0.010357010123596688,0.23601398243974459,2,FSII,uniform,SOUM
3,0.003395061081215272,0.48517520480056364,3,FSII,uniform,SOUM
4,0.0006530736109492594,0.8398256166347041,4,FSII,uniform,SOUM
5,6.649237370303634e-05,0.9809514828621763,5,FSII,uniform,SOUM
6,2.22660012477237e-21,1.0,6,FSII,uniform,SOUM
7,8.160307847934913e-22,1.0,7,FSII,uniform,SOUM
8,5.28434811140366e-21,1.0,8,FSII,uniform,SOUM
9,5.113091177275143e-21,1.0,9,FSII,uniform,SOUM
10,3.9786466175996294e-21,1.0,10,FSII,uniform,SOUM
1,0.0031028814319567855,-8.500000000000002,1,FBII,uniform,SOUM
2,0.002286333686705,-1.000000000000003,2,FBII,uniform,SOUM
3,0.0011976033597026195,0.4634146341463453,3,FBII,uniform,SOUM
4,0.00038105561445083287,0.8750000000000002,4,FBII,uniform,SOUM
5,5.443651635011905e-05,0.9838709677419355,5,FBII,uniform,SOUM
6,1.312646615944609e-30,1.0,6,FBII,uniform,SOUM
7,5.369639172533412e-31,1.0,7,FBII,uniform,SOUM
8,1.2654091107321841e-30,1.0,8,FBII,uniform,SOUM
9,8.509995004140443e-31,1.0,9,FBII,uniform,SOUM
10,7.879674637069554e-31,1.0,10,FBII,uniform,SOUM
1,0.29097842211596436,-0.27561529062663626,1,k-SII,Shapley kernel,SOUM
2,0.11037112563019333,0.7374197034546786,2,k-SII,Shapley kernel,SOUM
3,0.06020243216192363,0.8373628825532604,3,k-SII,Shapley kernel,SOUM
4,0.013378318258205396,0.9496593195130082,4,k-SII,Shapley kernel,SOUM
5,0.0016722897822958175,0.9934174668925968,5,k-SII,Shapley kernel,SOUM
6,1.5837934999799195e-24,1.0,6,k-SII,Shapley kernel,SOUM
7,1.5837934999799195e-24,1.0,7,k-SII,Shapley kernel,SOUM
8,1.5837934999799195e-24,1.0,8,k-SII,Shapley kernel,SOUM
9,1.5837934999799195e-24,1.0,9,k-SII,Shapley kernel,SOUM
10,1.5837934999799195e-24,1.0,10,k-SII,Shapley kernel,SOUM
1,0.29097842211596436,-0.27561529062663626,1,STII,Shapley kernel,SOUM
2,0.1371277621466039,0.4503160899700841,2,STII,Shapley kernel,SOUM
3,0.06655713333457117,0.7309747301083838,3,STII,Shapley kernel,SOUM
4,0.02742555242932076,0.888904965867854,4,STII,Shapley kernel,SOUM
5,0.006689159129102628,0.9733884179939432,5,STII,Shapley kernel,SOUM
6,1.9209588123631612e-32,1.0,6,STII,Shapley kernel,SOUM
7,1.5770534310712565e-32,1.0,7,STII,Shapley kernel,SOUM
8,4.001269922741388e-33,1.0,8,STII,Shapley kernel,SOUM
9,0.0,1.0,9,STII,Shapley kernel,SOUM
10,0.0,1.0,10,STII,Shapley kernel,SOUM
1,0.2909784185272301,-0.27561528970394256,1,FSII,Shapley kernel,SOUM
2,0.07596973488641964,0.7670940623871952,2,FSII,Shapley kernel,SOUM
3,0.016245100735144066,0.9390330311387215,3,FSII,Shapley kernel,SOUM
4,0.0023093525554861542,0.9912770251233869,4,FSII,Shapley kernel,SOUM
