n_features,n_classes,index,max_order,fused_time_s,naive_time_s,speedup,preprocess_time_s,kernel_time_s,naive_preprocess_time_s,naive_kernel_time_s
8,5,SV,1,0.020079301000009764,0.018680861999996523,0.9303541990823007,0.01923832699998229,0.0005616500000087399,0.0048513329999195776,0.0007834460000140098
8,5,SII,2,0.018680825000046752,0.019012993999979244,1.0177812810693136,0.017983239000045614,0.0007413489999521516,0.004799265000031028,0.001195833999986462
8,5,SII,3,0.019231042999990677,0.020255141000006915,1.0532523379005878,0.017874825999967925,0.0013253920000124708,0.004936959999952251,0.002078307000033419
12,3,SV,1,0.01591908699998612,0.011696523000011894,0.7347483558587306,0.01556098399998973,0.00048802700001715493,0.0029924129999585602,0.0005134010000347189
12,3,SII,2,0.020472806999976,0.011995456000022386,0.5859214127323356,0.019402341999978034,0.0007694139999898653,0.003021046000071692,0.000990933999958088
12,3,SII,3,0.016095721999988655,0.013232973000015136,0.8221422437604515,0.01401369499996008,0.001988975999950071,0.0030241879999834964,0.002220806000025277
12,5,SV,1,0.019956616999991184,0.02285946699998931,1.1454580202646274,0.01950913700000001,0.0004057520000060322,0.005760350000059589,0.0012065519999850949
12,5,SII,2,0.020025787000008677,0.02082934300000261,1.0401260634597573,0.01894786299999396,0.0010779240000147183,0.005440942999996423,0.0016682849999369864
12,5,SII,3,0.02045160699998405,0.02282045399999788,1.115826937218952,0.01720836900000222,0.0031893879999529418,0.005377819000045747,0.003822707999972863
12,10,SV,1,0.036674279999999726,0.044001796000031845,1.1997998597390918,0.03576761499999748,0.0006449579999525668,0.01271670100004485,0.002216800000041985
12,10,SII,2,0.03167453700001488,0.04393705699999373,1.3871412548184394,0.029845896999972865,0.0018652750000001106,0.012238538000019616,0.0037070039998639004
12,10,SII,3,0.03270599299997912,0.04843883899997081,1.4810386279970689,0.026776420999965467,0.005829672000004393,0.012035345999947822,0.008394191000036244
12,20,SV,1,0.05171688000001495,0.08565269399997533,1.6561844798052505,0.050951625999971384,0.0008472119999964889,0.025747224999918217,0.004485254000030636
12,20,SII,2,0.05264098000003514,0.090230833000021,1.7140796580907263,0.049327299000026414,0.003358344999981,0.026307971000164798,0.007781899000065096
12,20,SII,3,0.058703318999960175,0.10171133600005078,1.7326334819351488,0.04771511600000622,0.011062706999950933,0.02658681599996271,0.018654523999998673
12,30,SV,1,0.0689351990000091,0.1289283930000238,1.8702839024227196,0.06782039999995959,0.0010854660000063632,0.037040143000012904,0.007100452999736717
12,30,SII,2,0.06997186600000305,0.1374355770000193,1.9641548075910011,0.06466575199999625,0.004768656999999621,0.03781547900007354,0.012912851999885788
12,30,SII,3,0.08051216000001205,0.1457268670000076,1.8099982288387964,0.06390808700001571,0.016604072999996333,0.036929244999953426,0.025189708000027622
12,40,SV,1,0.0855812300000025,0.16889556699999275,1.9735117969207479,0.0842279369999801,0.001356894000025477,0.047641796000107206,0.008389834000013252
12,40,SII,2,0.08394602300000997,0.1711003859999778,2.038219082754611,0.07762519999999995,0.005969112000002497,0.0468862220001256,0.014821514999937335
12,40,SII,3,0.09912283599999228,0.19466045299998314,1.9638305445578486,0.07717425700002423,0.02186405200001218,0.048073646000148074,0.033847522999792545
12,100,SV,1,0.20267285300002413,0.42398443799999086,2.0919646204414972,0.19976588600002287,0.002977593999958117,0.12273306899993486,0.022915464000277552
12,100,SII,2,0.20606987700000445,0.4513435150000191,2.1902449866557125,0.19111961300001212,0.014691306999964127,0.12314796699990893,0.039302684999881876
12,100,SII,3,0.24150476199997684,0.4746273130000418,1.9652917361525455,0.18795120300001145,0.053577168000003894,0.11979547800012824,0.08211259199993037
16,5,SV,1,0.023793556999976317,0.021368568000013966,0.8980821152564635,0.02331387800001039,0.0004543690000105016,0.006091171000036866,0.001080027999989852
16,5,SII,2,0.024286644999961027,0.022877506999975594,0.9419788941622981,0.02269019400000616,0.0015964509999548682,0.006159843999910208,0.002381108999998105
20,5,SV,1,0.024198232999992797,0.022623023999983616,0.9349039659214105,0.023712540000019544,0.0005262619999939488,0.006642198000065491,0.001159584999982144
20,5,SII,2,0.024289550999981202,0.0248726390000229,1.0240057134050007,0.02221534799997471,0.002111021000018809,0.00675062599998455,0.0031819209999639497
