game_id,feature_set,feature_influence,entity,explanation
0,0,pure,individual,-0.6014608344600476
0,1,pure,individual,-0.0666176061398498
0,2,pure,individual,-0.14452967026280072
0,3,pure,individual,0.0
1,0,pure,individual,-0.3931885760195257
1,1,pure,individual,1.564965946934274
1,2,pure,individual,1.0640622487636762
1,3,pure,individual,0.0
2,0,pure,individual,-0.09476624626604435
2,1,pure,individual,0.13499531385109176
2,2,pure,individual,-0.1918233481447893
2,3,pure,individual,0.0
3,0,pure,individual,0.11628320134178982
3,1,pure,individual,0.10725425631476071
3,2,pure,individual,0.01806158998638696
3,3,pure,individual,0.0
4,0,pure,individual,-0.6954973950344696
4,1,pure,individual,-0.6565921032991375
4,2,pure,individual,-0.05822533048244427
4,3,pure,individual,0.0
5,0,pure,individual,-0.08783452409932002
5,1,pure,individual,-0.000343071677243012
5,2,pure,individual,-0.12301687132263872
5,3,pure,individual,0.0
6,0,pure,individual,-0.29307955766960464
6,1,pure,individual,0.03154098929112559
6,2,pure,individual,0.019662006083242534
6,3,pure,individual,0.0
7,0,pure,individual,0.29783692013327556
7,1,pure,individual,-1.071674435911131
7,2,pure,individual,-0.5286458379300618
7,3,pure,individual,0.0
8,0,pure,individual,-0.4386425041902901
8,1,pure,individual,-0.6446919204863664
8,2,pure,individual,-0.02554062961495779
8,3,pure,individual,0.0
9,0,pure,individual,-0.22732440620542316
9,1,pure,individual,0.24063380905983484
9,2,pure,individual,-0.03293660192241732
9,3,pure,individual,0.0
10,0,pure,individual,0.06774434154265507
10,1,pure,individual,0.1511106764675345
10,2,pure,individual,0.1480016740938137
10,3,pure,individual,0.0
11,0,pure,individual,-0.19514250026394608
11,1,pure,individual,-0.05750033570955837
11,2,pure,individual,-0.09879060144868401
11,3,pure,individual,0.0
12,0,pure,individual,0.05517924551755904
12,1,pure,individual,-0.11544013207714832
12,2,pure,individual,0.2450494738652096
12,3,pure,individual,0.0
13,0,pure,individual,-0.06941453522697483
13,1,pure,individual,0.6929528672467846
13,2,pure,individual,0.142855202885257
13,3,pure,individual,0.0
14,0,pure,individual,1.1766819700546205
14,1,pure,individual,-0.36567397384353373
14,2,pure,individual,-0.026223142625230178
