game_id,feature_set,feature_influence,entity,explanation
0,0,pure,individual,0.6111832982380241
0,1,pure,individual,-2.119288877343793
0,2,pure,individual,0.017317909840661172
0,3,pure,individual,0.0
1,0,pure,individual,-3.9043376192568697
1,1,pure,individual,-2.6420668942243704
1,2,pure,individual,0.0030466515349438575
1,3,pure,individual,0.0
2,0,pure,individual,-0.03242564146273926
2,1,pure,individual,-1.74655840363213
2,2,pure,individual,0.020273581045465068
2,3,pure,individual,0.0
3,0,pure,individual,0.13338555129164928
3,1,pure,individual,2.2018309771066447
3,2,pure,individual,0.010832419506551921
3,3,pure,individual,0.0
4,0,pure,individual,0.7393647192954447
4,1,pure,individual,-1.9575847282073071
4,2,pure,individual,0.020251858816649364
4,3,pure,individual,0.0
5,0,pure,individual,-0.36884728754753754
5,1,pure,individual,-1.4033883262903584
5,2,pure,individual,0.028138988517899387
5,3,pure,individual,0.0
6,0,pure,individual,-0.8562116965179107
6,1,pure,individual,-0.7478187882668594
6,2,pure,individual,0.012317737963694127
6,3,pure,individual,0.0
7,0,pure,individual,0.8274066842346859
7,1,pure,individual,0.8132743041885881
7,2,pure,individual,0.049206408217784554
7,3,pure,individual,0.0
8,0,pure,individual,-1.024190921338565
8,1,pure,individual,-1.6682575651913207
8,2,pure,individual,0.014235596727404425
8,3,pure,individual,0.0
9,0,pure,individual,-0.22689121134411047
9,1,pure,individual,-1.7208627741240834
9,2,pure,individual,-0.018782118498481045
9,3,pure,individual,0.0
10,0,pure,individual,1.4890382991032964
10,1,pure,individual,1.0372498641052597
10,2,pure,individual,-0.015138231359863693
10,3,pure,individual,0.0
11,0,pure,individual,0.23478596618593517
11,1,pure,individual,0.39031433461030207
11,2,pure,individual,0.02009091401013175
11,3,pure,individual,0.0
12,0,pure,individual,1.360242523994821
12,1,pure,individual,0.08902476662015524
12,2,pure,individual,0.006743430054690726
12,3,pure,individual,0.0
13,0,pure,individual,-2.915699526430764
13,1,pure,individual,-0.6830937983546266
13,2,pure,individual,-0.010665370752169646
13,3,pure,individual,0.0
14,0,pure,individual,-0.5495678068012828
14,1,pure,individual,2.9349694336137726
14,2,pure,individual,-0.019729925878020273
14,3,pure,individual,0.0
15,0,pure,individual,-3.367529315019442
15,1,pure,individual,-0.7134278442571163
15,2,pure,individual,0.0038469068831388023
15,3,pure,individual,0.0
16,0,pure,individual,1.4249260909601849
16,1,pure,individual,1.5360968414378176
16,2,pure,individual,-0.007877009088437463
16,3,pure,individual,0.0
17,0,pure,individual,1.7186859819154947
17,1,pure,individual,-0.4271496101666115
17,2,pure,individual,-0.029124477988893227
17,3,pure,individual,0.0
18,0,pure,individual,-1.8393350742995935
18,1,pure,individual,0.9455457253580197
18,2,pure,individual,0.0033809712348245105
18,3,pure,individual,0.0
19,0,pure,individual,-0.854059430507645
