game_id,feature_set,feature_influence,entity,explanation
0,0,pure,individual,0.8835520206082956
0,1,pure,individual,-1.8849325371032581
0,2,pure,individual,0.24440923428479766
0,3,pure,individual,0.4271013105041185
1,0,pure,individual,-3.6319688968865975
1,1,pure,individual,-2.415475028273886
1,2,pure,individual,0.25592587655711
1,3,pure,individual,0.4271013105041185
2,0,pure,individual,0.23994308090753255
2,1,pure,individual,-1.5066661454937447
2,2,pure,individual,0.24202406212890834
2,3,pure,individual,0.4271013105041185
3,0,pure,individual,0.40575427366192096
3,1,pure,individual,2.5003660374362635
3,2,pure,individual,0.24964290538362102
3,3,pure,individual,0.4271013105041185
4,0,pure,individual,1.0117334416657164
4,1,pure,individual,-1.7208267037566065
4,2,pure,individual,0.24204159156697672
4,3,pure,individual,0.4271013105041185
5,0,pure,individual,-0.09647856517726594
5,1,pure,individual,-1.158399191166721
5,2,pure,individual,0.2356768233469076
5,3,pure,individual,0.4271013105041185
6,0,pure,individual,-0.583842974147639
6,1,pure,individual,-0.49309291468261063
6,2,pure,individual,0.2484442807798945
6,3,pure,individual,0.4271013105041185
7,0,pure,individual,1.0997754066049574
7,1,pure,individual,1.091186055505554
7,2,pure,individual,0.21867580415947946
7,3,pure,individual,0.4271013105041185
8,0,pure,individual,-0.7518221989682933
8,1,pure,individual,-1.4272023567617385
8,2,pure,individual,0.2468966041253683
8,3,pure,individual,0.4271013105041185
9,0,pure,individual,0.045477511026161294
9,1,pure,individual,-1.4805888758856196
9,2,pure,individual,0.27354129142342304
9,3,pure,individual,0.4271013105041185
10,0,pure,individual,1.7614070214735673
10,1,pure,individual,1.3184881754925006
10,2,pure,individual,0.2706007417005354
10,3,pure,individual,0.4271013105041185
11,0,pure,individual,0.5071546885562073
11,1,pure,individual,0.6619441427248602
11,2,pure,individual,0.2421714710578067
11,3,pure,individual,0.4271013105041185
12,0,pure,individual,1.6326112463650924
12,1,pure,individual,0.356179721108544
12,2,pure,individual,0.252942644465036
12,3,pure,individual,0.4271013105041185
13,0,pure,individual,-2.643330804060491
13,1,pure,individual,-0.42740660753080406
13,2,pure,individual,0.2669912256754422
13,3,pure,individual,0.4271013105041185
14,0,pure,individual,-0.2771990844310109
14,1,pure,individual,3.24439331197473
14,2,pure,individual,0.2743061544999212
14,3,pure,individual,0.4271013105041185
15,0,pure,individual,-3.0951605926491697
15,1,pure,individual,-0.4581911848480009
15,2,pure,individual,0.2552800852488569
15,3,pure,individual,0.4271013105041185
16,0,pure,individual,1.6972948133304564
16,1,pure,individual,1.8247441952964303
16,2,pure,individual,0.26474106923379415
16,3,pure,individual,0.4271013105041185
17,0,pure,individual,1.9910547042857667
17,1,pure,individual,-0.16766105049271446
17,2,pure,individual,0.2818873848057434
17,3,pure,individual,0.4271013105041185
18,0,pure,individual,-1.5669663519293229
18,1,pure,individual,1.2254220161464549
18,2,pure,individual,0.2556560867245926
18,3,pure,individual,0.4271013105041185
19,0,pure,individual,-0.581690708137373
19,1,pure,individual,0.5402351037017646
19,2,pure,individual,0.24671882673904955
19,3,pure,individual,0.4271013105041185
20,0,pure,individual,1.1879390766920737
20,1,pure,individual,-1.119946117497719
20,2,pure,individual,0.2650061134154182
20,3,pure,individual,0.4271013105041185
21,0,pure,individual,-2.120233180484422
