game_id,feature_set,feature_influence,entity,explanation
0,0,pure,individual,-0.601460581532407
0,1,pure,individual,-0.08032299827062284
0,2,pure,individual,0.0
0,3,pure,individual,0.0
1,0,pure,individual,-0.39318841067499655
1,1,pure,individual,0.9294831154077414
1,2,pure,individual,0.0
1,3,pure,individual,0.0
2,0,pure,individual,-0.09476620641473366
2,1,pure,individual,0.13006768366007448
2,2,pure,individual,0.0
2,3,pure,individual,0.0
3,0,pure,individual,0.11628315244212084
3,1,pure,individual,0.09887990276310465
3,2,pure,individual,0.0
3,3,pure,individual,0.0
4,0,pure,individual,-0.695497102562366
4,1,pure,individual,-0.5475237781237805
4,2,pure,individual,0.0
4,3,pure,individual,0.0
5,0,pure,individual,-0.08783448716295172
5,1,pure,individual,0.028620599091108256
5,2,pure,individual,0.0
5,3,pure,individual,0.0
6,0,pure,individual,-0.2930794344231406
6,1,pure,individual,0.0063540113350550875
6,2,pure,individual,0.0
6,3,pure,individual,0.0
7,0,pure,individual,0.29783679488623505
7,1,pure,individual,-0.8156114626073252
7,2,pure,individual,0.0
7,3,pure,individual,0.0
8,0,pure,individual,-0.4386423197313737
8,1,pure,individual,-0.445979370226987
8,2,pure,individual,0.0
8,3,pure,individual,0.0
9,0,pure,individual,-0.22732431061046093
9,1,pure,individual,0.29338255337675384
9,2,pure,individual,0.0
9,3,pure,individual,0.0
10,0,pure,individual,0.06774431305465423
10,1,pure,individual,0.22137235687215973
10,2,pure,individual,0.0
10,3,pure,individual,0.0
11,0,pure,individual,-0.19514241820219014
11,1,pure,individual,-0.06566967580320415
11,2,pure,individual,0.0
11,3,pure,individual,0.0
12,0,pure,individual,0.055179222313460397
12,1,pure,individual,-0.13902293124196952
12,2,pure,individual,0.0
12,3,pure,individual,0.0
13,0,pure,individual,-0.06941450603662158
13,1,pure,individual,0.47978641344085116
13,2,pure,individual,0.0
13,3,pure,individual,0.0
14,0,pure,individual,1.1766814752337147
14,1,pure,individual,-0.4677024931841611
14,2,pure,individual,0.0
14,3,pure,individual,0.0
15,0,pure,individual,-0.25316542813565146
15,1,pure,individual,-0.06033731271451792
15,2,pure,individual,0.0
15,3,pure,individual,0.0
16,0,pure,individual,0.3015849970557445
16,1,pure,individual,0.18525381831440257
16,2,pure,individual,0.0
16,3,pure,individual,0.0
17,0,pure,individual,0.647491600944563
17,1,pure,individual,0.5831681408732377
17,2,pure,individual,0.0
17,3,pure,individual,0.0
18,0,pure,individual,0.22402165500326277
18,1,pure,individual,-0.36580260100015094
18,2,pure,individual,0.0
18,3,pure,individual,0.0
19,0,pure,individual,0.2808710190218787
19,1,pure,individual,0.002605883664408837
19,2,pure,individual,0.0
19,3,pure,individual,0.0
20,0,pure,individual,-0.2526715029625568
20,1,pure,individual,0.12534101357853977
20,2,pure,individual,0.0
20,3,pure,individual,0.0
21,0,pure,individual,0.5280803427218932
21,1,pure,individual,0.1061182818941222
21,2,pure,individual,0.0
21,3,pure,individual,0.0
22,0,pure,individual,0.33855605151556234
22,1,pure,individual,0.2547252950496852
22,2,pure,individual,0.0
22,3,pure,individual,0.0
23,0,pure,individual,-0.5188301612405017
23,1,pure,individual,1.313055382088856
23,2,pure,individual,0.0
23,3,pure,individual,0.0
24,0,pure,individual,-0.08184451185182828
24,1,pure,individual,0.49846115150185133
24,2,pure,individual,0.0
24,3,pure,individual,0.0
25,0,pure,individual,0.8249362522986621
25,1,pure,individual,-0.19103429890199886
25,2,pure,individual,0.0
25,3,pure,individual,0.0
26,0,pure,individual,-0.26484048258837767
26,1,pure,individual,0.5985556592539476
26,2,pure,individual,0.0
26,3,pure,individual,0.0
27,0,pure,individual,-1.6022637910165476
27,1,pure,individual,-0.055573796425840705
27,2,pure,individual,0.0
27,3,pure,individual,0.0
28,0,pure,individual,-0.5317371746986044
28,1,pure,individual,0.05917956699874383
28,2,pure,individual,0.0
28,3,pure,individual,0.0
29,0,pure,individual,-0.425335051088241
29,1,pure,individual,-0.298450571328279
29,2,pure,individual,0.0
29,3,pure,individual,0.0
30,0,pure,individual,0.29742000288185766
30,1,pure,individual,-0.06739719034130154
30,2,pure,individual,0.0
30,3,pure,individual,0.0
31,0,pure,individual,0.5006878290991024
31,1,pure,individual,-0.09488048465529575
31,2,pure,individual,0.0
31,3,pure,individual,0.0
32,0,pure,individual,-0.15532722742016203
32,1,pure,individual,1.0854519382112906
32,2,pure,individual,0.0
32,3,pure,individual,0.0
33,0,pure,individual,0.032445995915063364
33,1,pure,individual,0.5383919018650916
33,2,pure,individual,0.0
33,3,pure,individual,0.0
34,0,pure,individual,-0.3405563654340895
34,1,pure,individual,-2.953306475002427
34,2,pure,individual,0.0
34,3,pure,individual,0.0
35,0,pure,individual,-0.7827188934758196
35,1,pure,individual,0.36757006596909914
35,2,pure,individual,0.0
35,3,pure,individual,0.0
36,0,pure,individual,-0.0681999924558494
36,1,pure,individual,0.3090743198498518
36,2,pure,individual,0.0
36,3,pure,individual,0.0
37,0,pure,individual,0.5211037135091221
37,1,pure,individual,-0.04030386359948768
37,2,pure,individual,0.0
37,3,pure,individual,0.0
38,0,pure,individual,-0.06674347357559851
38,1,pure,individual,-0.2901445034715344
38,2,pure,individual,0.0
38,3,pure,individual,0.0
39,0,pure,individual,0.0765420925173248
39,1,pure,individual,0.1298984701221535
39,2,pure,individual,0.0
39,3,pure,individual,0.0
40,0,pure,individual,0.024737904850803627
40,1,pure,individual,-0.6674016872423185
40,2,pure,individual,0.0
40,3,pure,individual,0.0
41,0,pure,individual,-0.7163547235811802
41,1,pure,individual,0.1574039674761778
41,2,pure,individual,0.0
41,3,pure,individual,0.0
42,0,pure,individual,0.5099057492804336
42,1,pure,individual,0.7157039220834799
42,2,pure,individual,0.0
42,3,pure,individual,0.0
43,0,pure,individual,-0.3458304124904672
43,1,pure,individual,0.3853075478871262
43,2,pure,individual,0.0
43,3,pure,individual,0.0
44,0,pure,individual,-0.19327206940431463
44,1,pure,individual,-0.12259057111724747
44,2,pure,individual,0.0
44,3,pure,individual,0.0
45,0,pure,individual,-0.34232064888211156
45,1,pure,individual,0.1807432786938099
45,2,pure,individual,0.0
45,3,pure,individual,0.0
46,0,pure,individual,0.4947500390057866
46,1,pure,individual,-0.28581357525946877
46,2,pure,individual,0.0
46,3,pure,individual,0.0
47,0,pure,individual,1.176961583507392
47,1,pure,individual,-0.808879143192986
47,2,pure,individual,0.0
47,3,pure,individual,0.0
48,0,pure,individual,0.5948126574466319
48,1,pure,individual,0.5282715166621088
48,2,pure,individual,0.0
48,3,pure,individual,0.0
49,0,pure,individual,0.03789663575113966
49,1,pure,individual,0.3560607453783162
49,2,pure,individual,0.0
49,3,pure,individual,0.0
50,0,pure,individual,0.21173739153014137
50,1,pure,individual,-0.3050648977991972
50,2,pure,individual,0.0
50,3,pure,individual,0.0
51,0,pure,individual,0.6408855161841975
51,1,pure,individual,1.4645499563308082
51,2,pure,individual,0.0
51,3,pure,individual,0.0
52,0,pure,individual,-0.13504644227042828
52,1,pure,individual,-0.0568228800388324
52,2,pure,individual,0.0
52,3,pure,individual,0.0
53,0,pure,individual,0.02684257913168997
53,1,pure,individual,0.14607512876185424
53,2,pure,individual,0.0
53,3,pure,individual,0.0
54,0,pure,individual,0.5446950715834158
54,1,pure,individual,0.0812293986125055
54,2,pure,individual,0.0
54,3,pure,individual,0.0
55,0,pure,individual,-0.13220064513477836
55,1,pure,individual,0.28359677057147326
55,2,pure,individual,0.0
55,3,pure,individual,0.0
56,0,pure,individual,-0.4442482278030764
56,1,pure,individual,-2.554999480291369
56,2,pure,individual,0.0
56,3,pure,individual,0.0
57,0,pure,individual,-0.04411858923017453
57,1,pure,individual,0.6565255747476426
57,2,pure,individual,0.0
57,3,pure,individual,0.0
58,0,pure,individual,0.22736424277416278
58,1,pure,individual,0.5872746174501584
58,2,pure,individual,0.0
58,3,pure,individual,0.0
59,0,pure,individual,0.7614849330321327
59,1,pure,individual,1.789117531115875
59,2,pure,individual,0.0
59,3,pure,individual,0.0
60,0,pure,individual,0.025456423961249808
60,1,pure,individual,1.4676128748615374
60,2,pure,individual,0.0
60,3,pure,individual,0.0
61,0,pure,individual,-2.422563262081278
61,1,pure,individual,-0.48456505676179784
61,2,pure,individual,0.0
61,3,pure,individual,0.0
62,0,pure,individual,-2.5936029390317596
62,1,pure,individual,-0.7745032742701081
62,2,pure,individual,0.0
62,3,pure,individual,0.0
63,0,pure,individual,-0.5969472431130107
63,1,pure,individual,0.6221478208970481
63,2,pure,individual,0.0
63,3,pure,individual,0.0
64,0,pure,individual,-0.1389155735707157
64,1,pure,individual,0.2894898183049981
64,2,pure,individual,0.0
64,3,pure,individual,0.0
65,0,pure,individual,0.1373220234836685
65,1,pure,individual,-0.12149166266686318
65,2,pure,individual,0.0
65,3,pure,individual,0.0
66,0,pure,individual,0.12472700344399834
66,1,pure,individual,-0.530016725992732
66,2,pure,individual,0.0
66,3,pure,individual,0.0
67,0,pure,individual,0.17993309253838846
67,1,pure,individual,0.15552114926129823
67,2,pure,individual,0.0
67,3,pure,individual,0.0
68,0,pure,individual,1.3192212585905914
68,1,pure,individual,-1.3032611645767735
68,2,pure,individual,0.0
68,3,pure,individual,0.0
69,0,pure,individual,0.07049951578226149
69,1,pure,individual,-0.10407997759556362
69,2,pure,individual,0.0
69,3,pure,individual,0.0
70,0,pure,individual,-1.496577002776712
70,1,pure,individual,-0.37128827762515604
70,2,pure,individual,0.0
70,3,pure,individual,0.0
71,0,pure,individual,0.05376665014272142
71,1,pure,individual,-0.09089826582064786
71,2,pure,individual,0.0
71,3,pure,individual,0.0
72,0,pure,individual,-0.15734218663445898
72,1,pure,individual,0.07700865523934353
72,2,pure,individual,0.0
72,3,pure,individual,0.0
73,0,pure,individual,-2.537941933641301
73,1,pure,individual,0.28298305031119675
73,2,pure,individual,0.0
73,3,pure,individual,0.0
74,0,pure,individual,0.37428991187415306
74,1,pure,individual,0.4398284328699307
74,2,pure,individual,0.0
74,3,pure,individual,0.0
75,0,pure,individual,-1.3503457120350273
75,1,pure,individual,-0.2837630696696154
75,2,pure,individual,0.0
75,3,pure,individual,0.0
76,0,pure,individual,-0.3017451435074856
76,1,pure,individual,-0.11944833679757094
76,2,pure,individual,0.0
76,3,pure,individual,0.0
77,0,pure,individual,1.0226927935273458
77,1,pure,individual,-0.6048407616442688
77,2,pure,individual,0.0
77,3,pure,individual,0.0
78,0,pure,individual,0.46992161417223866
78,1,pure,individual,-0.3005718756051019
78,2,pure,individual,0.0
78,3,pure,individual,0.0
79,0,pure,individual,-0.36665152058743117
79,1,pure,individual,0.058146614518550355
79,2,pure,individual,0.0
79,3,pure,individual,0.0
80,0,pure,individual,-0.02968448490051001
80,1,pure,individual,-0.44704808145372654
80,2,pure,individual,0.0
80,3,pure,individual,0.0
81,0,pure,individual,0.17294748354864575
81,1,pure,individual,-0.16749319036207888
81,2,pure,individual,0.0
81,3,pure,individual,0.0
82,0,pure,individual,-0.32520911290206
82,1,pure,individual,-0.13489300171867025
82,2,pure,individual,0.0
82,3,pure,individual,0.0
83,0,pure,individual,-0.22993710832095982
83,1,pure,individual,0.796548287006646
83,2,pure,individual,0.0
83,3,pure,individual,0.0
84,0,pure,individual,0.6868006187017247
84,1,pure,individual,-0.29680106945169593
84,2,pure,individual,0.0
84,3,pure,individual,0.0
85,0,pure,individual,1.1660495538909528
85,1,pure,individual,-0.08208453645469849
85,2,pure,individual,0.0
85,3,pure,individual,0.0
86,0,pure,individual,-2.180076496670491
86,1,pure,individual,0.733164717709025
86,2,pure,individual,0.0
86,3,pure,individual,0.0
87,0,pure,individual,0.426348442048206
87,1,pure,individual,-1.146498682693843
87,2,pure,individual,0.0
87,3,pure,individual,0.0
88,0,pure,individual,0.5461901824322636
88,1,pure,individual,-0.12580620560574152
88,2,pure,individual,0.0
88,3,pure,individual,0.0
89,0,pure,individual,0.6880338782544103
89,1,pure,individual,0.16590737139795086
89,2,pure,individual,0.0
89,3,pure,individual,0.0
90,0,pure,individual,0.21995143243800058
90,1,pure,individual,0.18017049938724877
90,2,pure,individual,0.0
90,3,pure,individual,0.0
91,0,pure,individual,0.6179666316326364
91,1,pure,individual,0.08197193307549844
91,2,pure,individual,0.0
91,3,pure,individual,0.0
92,0,pure,individual,0.06347374024796526
92,1,pure,individual,-0.564655145526769
92,2,pure,individual,0.0
92,3,pure,individual,0.0
93,0,pure,individual,0.16613399567370246
93,1,pure,individual,-1.9358186638138104
93,2,pure,individual,0.0
93,3,pure,individual,0.0
94,0,pure,individual,-0.7732050013284999
94,1,pure,individual,0.19278730850354742
94,2,pure,individual,0.0
94,3,pure,individual,0.0
95,0,pure,individual,0.7515067178938764
95,1,pure,individual,0.5167622102189706
95,2,pure,individual,0.0
95,3,pure,individual,0.0
96,0,pure,individual,-0.6441722056444354
96,1,pure,individual,0.02205917141691227
96,2,pure,individual,0.0
96,3,pure,individual,0.0
97,0,pure,individual,-0.4653821870636272
97,1,pure,individual,1.8431320675002782
97,2,pure,individual,0.0
97,3,pure,individual,0.0
98,0,pure,individual,0.46775347014306246
98,1,pure,individual,-0.027248992337170597
98,2,pure,individual,0.0
98,3,pure,individual,0.0
99,0,pure,individual,0.11825048813374206
99,1,pure,individual,0.4069581379523384
99,2,pure,individual,0.0
99,3,pure,individual,0.0
0,0,partial,individual,-0.6014605815324068
0,1,partial,individual,-0.0803229982706225
0,2,partial,individual,-1.1102230246251565e-16
0,3,partial,individual,1.1102230246251565e-16
1,0,partial,individual,-0.3931884106749963
1,1,partial,individual,0.9294831154077421
1,2,partial,individual,-4.440892098500626e-16
1,3,partial,individual,-4.440892098500626e-16
2,0,partial,individual,-0.0947662064147336
2,1,partial,individual,0.1300676836600746
2,2,partial,individual,0.0
2,3,partial,individual,0.0
3,0,partial,individual,0.11628315244212084
3,1,partial,individual,0.09887990276310465
3,2,partial,individual,5.551115123125783e-17
3,3,partial,individual,5.551115123125783e-17
4,0,partial,individual,-0.6954971025623662
4,1,partial,individual,-0.5475237781237808
4,2,partial,individual,0.0
4,3,partial,individual,-1.1102230246251565e-16
5,0,partial,individual,-0.08783448716295175
5,1,partial,individual,0.028620599091108256
5,2,partial,individual,0.0
5,3,partial,individual,0.0
6,0,partial,individual,-0.29307943442314055
6,1,partial,individual,0.006354011335055143
6,2,partial,individual,0.0
6,3,partial,individual,-2.7755575615628914e-17
7,0,partial,individual,0.29783679488623527
7,1,partial,individual,-0.815611462607325
7,2,partial,individual,0.0
7,3,partial,individual,0.0
8,0,partial,individual,-0.4386423197313737
