game_id,feature_set,feature_influence,entity,explanation
0,0,pure,individual,0.6111807725470763
0,1,pure,individual,-2.1246764703103067
0,2,pure,individual,0.0
0,3,pure,individual,0.0
1,0,pure,individual,-3.9043214847351795
1,1,pure,individual,-2.6487834778711568
1,2,pure,individual,0.0
1,3,pure,individual,0.0
2,0,pure,individual,-0.032425507465050914
2,1,pure,individual,-1.750998452306763
2,2,pure,individual,0.0
2,3,pure,individual,0.0
3,0,pure,individual,0.13338500008110338
3,1,pure,individual,2.207428406136981
3,2,pure,individual,0.0
3,3,pure,individual,0.0
4,0,pure,individual,0.7393616638998146
4,1,pure,individual,-1.9625612417094513
4,2,pure,individual,0.0
4,3,pure,individual,0.0
5,0,pure,individual,-0.3688457633006251
5,1,pure,individual,-1.406955978230988
5,2,pure,individual,0.0
5,3,pure,individual,0.0
6,0,pure,individual,-0.8562081582567417
6,1,pure,individual,-0.7497198708832811
6,2,pure,individual,0.0
6,3,pure,individual,0.0
7,0,pure,individual,0.8274032650090976
7,1,pure,individual,0.8153417858650763
7,2,pure,individual,0.0
7,3,pure,individual,0.0
8,0,pure,individual,-1.0241866889098543
8,1,pure,individual,-1.6724985598101496
8,2,pure,individual,0.0
8,3,pure,individual,0.0
9,0,pure,individual,-0.22689027372510112
9,1,pure,individual,-1.7252375001358706
9,2,pure,individual,0.0
9,3,pure,individual,0.0
10,0,pure,individual,1.4890321457110753
10,1,pure,individual,1.0398867297690741
10,2,pure,individual,0.0
10,3,pure,individual,0.0
11,0,pure,individual,0.2347849959421619
11,1,pure,individual,0.39130658006884084
11,2,pure,individual,0.0
11,3,pure,individual,0.0
12,0,pure,individual,1.3602369028460763
12,1,pure,individual,0.0892510827262868
12,2,pure,individual,0.0
12,3,pure,individual,0.0
13,0,pure,individual,-2.9156874774171184
13,1,pure,individual,-0.6848303390324115
13,2,pure,individual,0.0
13,3,pure,individual,0.0
14,0,pure,individual,-0.5495655357339305
14,1,pure,individual,2.942430625359039
14,2,pure,individual,0.0
14,3,pure,individual,0.0
15,0,pure,individual,-3.3675153988369613
15,1,pure,individual,-0.7152414992415433
15,2,pure,individual,0.0
15,3,pure,individual,0.0
16,0,pure,individual,1.4249202025091432
16,1,pure,individual,1.5400018610070174
16,2,pure,individual,0.0
16,3,pure,individual,0.0
17,0,pure,individual,1.7186788795132546
17,1,pure,individual,-0.42823549716388926
17,2,pure,individual,0.0
