game_id,feature_set,feature_influence,entity,explanation
0,0,pure,individual,-0.0896546841624627
0,1,pure,individual,-0.5006957432469856
0,2,pure,individual,0.0
0,3,pure,individual,0.0
1,0,pure,individual,-1.955671035555187
1,1,pure,individual,-1.717635629154608
1,2,pure,individual,0.0
1,3,pure,individual,0.0
2,0,pure,individual,0.3527824581081026
2,1,pure,individual,-0.8942884430195182
2,2,pure,individual,0.0
2,3,pure,individual,0.0
3,0,pure,individual,-0.5117229414629381
3,1,pure,individual,0.0006830007182334619
3,2,pure,individual,0.0
3,3,pure,individual,0.0
4,0,pure,individual,-0.23815562038490612
4,1,pure,individual,-0.20531671499894733
4,2,pure,individual,0.0
4,3,pure,individual,0.0
5,0,pure,individual,0.3350764602721288
5,1,pure,individual,-0.34497437712872037
5,2,pure,individual,0.0
5,3,pure,individual,0.0
6,0,pure,individual,-0.3845931389217667
6,1,pure,individual,-0.1477241338482671
6,2,pure,individual,0.0
6,3,pure,individual,0.0
7,0,pure,individual,0.25495446445752323
7,1,pure,individual,-0.20561104797867147
7,2,pure,individual,0.0
7,3,pure,individual,0.0
8,0,pure,individual,-0.15424036388622042
8,1,pure,individual,-0.05538876084654776
8,2,pure,individual,0.0
8,3,pure,individual,0.0
9,0,pure,individual,-0.10350285884203703
9,1,pure,individual,-0.09185649165949128
9,2,pure,individual,0.0
9,3,pure,individual,0.0
10,0,pure,individual,-0.25239614202883276
10,1,pure,individual,-0.03863240238694177
10,2,pure,individual,0.0
10,3,pure,individual,0.0
11,0,pure,individual,0.29924321037967205
11,1,pure,individual,-0.01807070646925879
11,2,pure,individual,0.0
11,3,pure,individual,0.0
12,0,pure,individual,0.6495878268651283
12,1,pure,individual,0.039099625759835055
12,2,pure,individual,0.0
12,3,pure,individual,0.0
13,0,pure,individual,-0.6979773350767804
13,1,pure,individual,0.05757676129527711
13,2,pure,individual,0.0
13,3,pure,individual,0.0
14,0,pure,individual,0.12275532288904922
14,1,pure,individual,0.5826943206289532
14,2,pure,individual,0.0
14,3,pure,individual,0.0
15,0,pure,individual,-0.589985505244941
15,1,pure,individual,0.541010327194865
15,2,pure,individual,0.0
15,3,pure,individual,0.0
16,0,pure,individual,-0.11410232786030461
16,1,pure,individual,0.22753543705605583
16,2,pure,individual,0.0
16,3,pure,individual,0.0
17,0,pure,individual,0.4501775197078295
17,1,pure,individual,0.13833107835664382
17,2,pure,individual,0.0
17,3,pure,individual,0.0
18,0,pure,individual,-0.5458603461394361
18,1,pure,individual,0.3404788597571533
18,2,pure,individual,0.0
18,3,pure,individual,0.0
19,0,pure,individual,-0.03432329622352437
19,1,pure,individual,0.11349477482332004
19,2,pure,individual,0.0
19,3,pure,individual,0.0
20,0,pure,individual,0.6622379097549105
20,1,pure,individual,-0.40680626844346557
20,2,pure,individual,0.0
20,3,pure,individual,0.0
21,0,pure,individual,-0.5533402373473052
21,1,pure,individual,0.10362387487879432
21,2,pure,individual,0.0
21,3,pure,individual,0.0
22,0,pure,individual,0.010333971163096312
22,1,pure,individual,0.16650905863635512
22,2,pure,individual,0.0
22,3,pure,individual,0.0
23,0,pure,individual,-0.019489094731802048
23,1,pure,individual,-0.12854722137169128
23,2,pure,individual,0.0
23,3,pure,individual,0.0
24,0,pure,individual,-1.0711585820154506
24,1,pure,individual,-0.12413215213468831
24,2,pure,individual,0.0
24,3,pure,individual,0.0
25,0,pure,individual,0.024137796276974655
25,1,pure,individual,0.5952259362422674
25,2,pure,individual,0.0
25,3,pure,individual,0.0
26,0,pure,individual,-0.33812517060067004
26,1,pure,individual,-0.10080424336919802
26,2,pure,individual,0.0
26,3,pure,individual,0.0
27,0,pure,individual,0.3441200644179021
27,1,pure,individual,-0.8903871803864241
27,2,pure,individual,0.0
27,3,pure,individual,0.0
28,0,pure,individual,-0.539131585788168
28,1,pure,individual,-0.7440398189298674
28,2,pure,individual,0.0
28,3,pure,individual,0.0
29,0,pure,individual,0.14059541491651256
29,1,pure,individual,-0.005400271252313682
29,2,pure,individual,0.0
29,3,pure,individual,0.0
30,0,pure,individual,-0.352740167935506
30,1,pure,individual,0.42983926829202956
30,2,pure,individual,0.0
30,3,pure,individual,0.0
31,0,pure,individual,-0.3389596462930622
31,1,pure,individual,-0.40929643875467603
31,2,pure,individual,0.0
31,3,pure,individual,0.0
32,0,pure,individual,-0.34034722053326205
32,1,pure,individual,-1.1435226652099126
32,2,pure,individual,0.0
32,3,pure,individual,0.0
33,0,pure,individual,0.26302188660637893
33,1,pure,individual,-0.1445323468993608
33,2,pure,individual,0.0
33,3,pure,individual,0.0
34,0,pure,individual,0.3375352310912201
34,1,pure,individual,0.5580339688796812
34,2,pure,individual,0.0
34,3,pure,individual,0.0
35,0,pure,individual,0.08784981809735926
35,1,pure,individual,-0.45094533607605336
35,2,pure,individual,0.0
35,3,pure,individual,0.0
36,0,pure,individual,0.23069310051362635
36,1,pure,individual,-0.5685007183264044
36,2,pure,individual,0.0
36,3,pure,individual,0.0
37,0,pure,individual,0.6872626435846969
37,1,pure,individual,0.18198985262743506
37,2,pure,individual,0.0
37,3,pure,individual,0.0
38,0,pure,individual,-0.9928551676294459
38,1,pure,individual,0.3638691181004319
38,2,pure,individual,0.0
38,3,pure,individual,0.0
39,0,pure,individual,0.22611259790045568
39,1,pure,individual,0.3177132517645689
39,2,pure,individual,0.0
39,3,pure,individual,0.0
40,0,pure,individual,-0.20500695141721437
40,1,pure,individual,-0.2935336528690975
40,2,pure,individual,0.0
40,3,pure,individual,0.0
41,0,pure,individual,0.5250627528239915
41,1,pure,individual,-0.37291216853771036
41,2,pure,individual,0.0
41,3,pure,individual,0.0
42,0,pure,individual,0.6004335147001761
42,1,pure,individual,0.012282959765018142
42,2,pure,individual,0.0
42,3,pure,individual,0.0
43,0,pure,individual,0.4760085349616774
43,1,pure,individual,-1.0150215191052743
43,2,pure,individual,0.0
43,3,pure,individual,0.0
44,0,pure,individual,0.503285619441459
44,1,pure,individual,0.22354905964313287
44,2,pure,individual,0.0
44,3,pure,individual,0.0
45,0,pure,individual,0.39472224414766854
45,1,pure,individual,-0.2609481622567329
45,2,pure,individual,0.0
45,3,pure,individual,0.0
46,0,pure,individual,0.2510020648158444
46,1,pure,individual,0.6319746075857244
46,2,pure,individual,0.0
46,3,pure,individual,0.0
47,0,pure,individual,-0.4847114997705183
47,1,pure,individual,1.536982296997297
47,2,pure,individual,0.0
47,3,pure,individual,0.0
48,0,pure,individual,-0.034005622175310224
48,1,pure,individual,0.3968114459983849
48,2,pure,individual,0.0
48,3,pure,individual,0.0
49,0,pure,individual,0.27496522534036927
49,1,pure,individual,-0.041956976278114955
49,2,pure,individual,0.0
49,3,pure,individual,0.0
50,0,pure,individual,0.1712655604889446
50,1,pure,individual,0.8162138607279439
50,2,pure,individual,0.0
50,3,pure,individual,0.0
51,0,pure,individual,-2.2154184916058948
51,1,pure,individual,0.5161587434503296
51,2,pure,individual,0.0
51,3,pure,individual,0.0
52,0,pure,individual,-0.18495943110881963
52,1,pure,individual,-0.4788734576758189
52,2,pure,individual,0.0
52,3,pure,individual,0.0
53,0,pure,individual,0.10259454266240065
53,1,pure,individual,-0.34759630076699377
53,2,pure,individual,0.0
53,3,pure,individual,0.0
54,0,pure,individual,0.3302172017526708
54,1,pure,individual,-0.008138035991510861
54,2,pure,individual,0.0
54,3,pure,individual,0.0
55,0,pure,individual,-0.2685900708597797
55,1,pure,individual,0.4860441942469253
55,2,pure,individual,0.0
55,3,pure,individual,0.0
56,0,pure,individual,-0.15375235970862478
56,1,pure,individual,-0.08586636950478321
56,2,pure,individual,0.0
56,3,pure,individual,0.0
57,0,pure,individual,0.017989700389738683
57,1,pure,individual,-0.45746601968650613
57,2,pure,individual,0.0
57,3,pure,individual,0.0
58,0,pure,individual,0.7989593423453238
58,1,pure,individual,0.6570356081953099
58,2,pure,individual,0.0
58,3,pure,individual,0.0
59,0,pure,individual,-2.626424953266146
59,1,pure,individual,0.007880230906676111
59,2,pure,individual,0.0
59,3,pure,individual,0.0
60,0,pure,individual,-0.27396914155323593
60,1,pure,individual,-0.1788858633987871
60,2,pure,individual,0.0
60,3,pure,individual,0.0
