Precision@10,Precision@5,KendallTau,KendallTau@10,KendallTau@50,SpearmanCorrelation,SpearmanCorrelation@10,SpearmanCorrelation@50,MSE,MAE,SSE,SAE,approximator,budget,image_name
0.8,0.8,-0.007575757575757576,0.1111111111111111,0.10693877551020409,-0.0030222650912306087,0.27305304634977595,0.19846186682975728,0.019110651818108417,0.11144547465298148,2.751933861807612,16.048148350029333,KernelSHAP,10000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,-0.024087024087024084,-0.022222222222222223,-0.10204081632653061,-0.03610642231331886,-0.26651440221545475,-0.16708803290437083,0.0030525946252104945,0.043475747711596735,0.4395736260303112,6.26050767046993,ShapleyGAX (400),10000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.11169386169386168,0.1111111111111111,-0.04326530612244898,0.14074833212764248,-0.09205530616363262,-0.013064883899694612,0.0030580368572450285,0.04466300415926764,0.4403573074432841,6.4314725989345405,ShapleyGAX (600),10000,ILSVRC2012_val_00000242.JPEG
0.9,0.8,0.11616161616161616,0.28888888888888886,0.09387755102040816,0.15606060606060607,0.24647699867166334,0.1617443259837267,0.0030876549508273266,0.03608706125848708,0.444622312919135,5.19653682122214,PermutationSamplingSV,10000,ILSVRC2012_val_00000242.JPEG
0.8,0.8,0.07828282828282827,0.5111111111111111,0.21959183673469387,0.1113334940921148,0.6072793759381874,0.33215136196065786,0.011749146070053541,0.08566730694618198,1.6918770340877098,12.336092200250205,KernelSHAP,15000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,0.036907536907536904,0.6,-0.023673469387755105,0.04173699863355036,0.5911269431863106,-0.002126629893650493,0.0021248072191100724,0.03681075626125284,0.30597223955185043,5.300748901620409,ShapleyGAX (400),15000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,-0.025835275835275836,0.5111111111111111,-0.018775510204081632,-0.044711036090346434,0.4831062071098947,-0.028638498938959516,0.0022483806530885254,0.0380949340852017,0.32376681404474766,5.4856705082690445,ShapleyGAX (600),15000,ILSVRC2012_val_00000242.JPEG
0.9,0.8,0.11344211344211344,0.1111111111111111,0.19673469387755102,0.15248372317337835,0.03887504692068234,0.27631296711584197,0.002084773868153117,0.029672517907755255,0.30020743701404884,4.272842578716757,PermutationSamplingSV,15000,ILSVRC2012_val_00000242.JPEG
1.0,0.8,-0.02331002331002331,0.06666666666666667,-0.13795918367346938,-0.0400932400932401,0.1571476501135939,-0.18001790150852903,0.00923787950409767,0.07741935452872283,1.3302546485900646,11.148387052136087,KernelSHAP,20000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.06274281274281275,0.5111111111111111,0.15755102040816327,0.08970340004822763,0.4811921425137735,0.2712889309590761,0.0018597984204451992,0.03510073743292822,0.2678109725441087,5.054506190341664,ShapleyGAX (400),20000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,0.02894327894327894,0.3333333333333333,0.12489795918367345,0.04111405835543767,0.14107463867411307,0.15218735278899223,0.001665178117286907,0.033264403001201266,0.2397856488893146,4.790074032172982,ShapleyGAX (600),20000,ILSVRC2012_val_00000242.JPEG
0.9,0.8,0.0675990675990676,0.4666666666666666,0.11673469387755102,0.09879029016960053,0.44955023748624834,0.19353177853389106,0.0013197700232147856,0.025538365980542866,0.19004688334292913,3.677524701198173,PermutationSamplingSV,20000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.07556332556332557,0.6444444444444444,0.013877551020408163,0.10503576882887228,0.8000405636812368,0.03653247252265637,0.00804887704233326,0.07207196372748002,1.1590382940959894,10.378362776757124,KernelSHAP,25000,ILSVRC2012_val_00000242.JPEG
