approximator,budget,time
PermutationSamplingSV,10000,0.053684234619140625
PermutationSamplingSV,100000,0.5404303073883057
PermutationSamplingSV,200000,1.075202226638794
PermutationSamplingSV,300000,1.6152043342590332
PermutationSamplingSV,400000,2.164365291595459
PermutationSamplingSV,500000,2.7186813354492188
PermutationSamplingSV,600000,3.238727569580078
PermutationSamplingSV,700000,3.8058457374572754
PermutationSamplingSV,800000,4.359208106994629
PermutationSamplingSV,900000,4.877557754516602
PermutationSamplingSV,1000000,5.382221460342407
