Precision@10,Precision@5,KendallTau,KendallTau@10,KendallTau@50,SpearmanCorrelation,SpearmanCorrelation@10,SpearmanCorrelation@50,MSE,MAE,SSE,SAE,approximator,budget,image_name
0.2,0.0,0.13597513597513597,0.19999999999999998,0.09877551020408164,0.2013543927337031,0.41497724080565435,0.11591948641038585,0.15783841505041116,0.2999198771281464,22.728731767259205,43.188462306453076,ShapleyGAX (2add),10000,ILSVRC2012_val_00000242.JPEG
0.6,0.4,-0.007575757575757576,0.1111111111111111,0.05306122448979592,-0.008234868579696165,0.1618007248474161,0.08345469646861482,0.020688251435992733,0.10819202641704126,2.9791082067829535,15.579651804053942,ShapleyGAX (2add),15000,ILSVRC2012_val_00000242.JPEG
0.8,0.8,0.05186480186480186,-0.15555555555555553,0.0563265306122449,0.08112691905795355,-0.15199928246392508,0.07320733001475017,0.010579825503007892,0.07752515900448614,1.5234948724331363,11.163622896646004,ShapleyGAX (2add),20000,ILSVRC2012_val_00000242.JPEG
0.9,0.8,0.1078088578088578,0.6444444444444444,0.26040816326530614,0.15285748734024596,0.7182594654785268,0.34270977493717764,0.006280831354228488,0.06180363022431326,0.9044397150089023,8.899722752301109,ShapleyGAX (2add),25000,ILSVRC2012_val_00000242.JPEG
0.9,0.8,0.02331002331002331,0.7333333333333333,0.11183673469387755,0.021786833855799374,0.7317551194231714,0.16851434005203825,0.004184891065939651,0.049297601160517485,0.6026243134953098,7.098854567114518,ShapleyGAX (2add),30000,ILSVRC2012_val_00000242.JPEG
0.3,0.4,0.03632478632478632,0.3333333333333333,-0.005714285714285714,0.04884655574310747,0.40897436251631064,-0.030803917546583202,2.3579439278273373,1.2163423334178067,339.5439256071366,175.15329601216416,ShapleyGAX (2add),10000,ILSVRC2012_val_00000994.jpg
0.7,0.8,-0.038655788655788656,0.022222222222222223,-0.06938775510204082,-0.04869383490073146,0.05276728981529408,-0.10372196537300851,0.06622683831163334,0.1999276203160923,9.536664716875201,28.78957732551729,ShapleyGAX (2add),15000,ILSVRC2012_val_00000994.jpg
0.7,0.8,0.005050505050505051,0.19999999999999998,-0.07428571428571429,0.008021863194276987,0.03037403703313662,-0.0789373780203925,0.035287742494979,0.15087133288212393,5.081434919276976,21.725471935025844,ShapleyGAX (2add),20000,ILSVRC2012_val_00000994.jpg
0.7,0.8,0.05264180264180264,0.022222222222222223,0.06448979591836734,0.07648099027409372,-0.036534654496114836,0.084699819458342,0.018382033955806412,0.10823087874444148,2.647012889636123,15.585246539199574,ShapleyGAX (2add),25000,ILSVRC2012_val_00000994.jpg
0.8,0.8,0.06313131313131312,0.28888888888888886,0.07428571428571429,0.0931155051844707,0.22774507665845659,0.11101424315639753,0.012640306045214123,0.08994190674309287,1.8202040705108338,12.951634571005373,ShapleyGAX (2add),30000,ILSVRC2012_val_00000994.jpg
0.2,0.2,0.024864024864024864,0.4222222222222222,-0.04653061224489796,0.04289044289044289,0.42367875222573353,-0.06414877734769467,0.2456053723666599,0.3886438757457149,35.36717362079903,55.96471810738295,ShapleyGAX (2add),10000,ILSVRC2012_val_00001143.JPEG
0.7,0.6,0.017871017871017872,0.5111111111111111,0.12163265306122449,0.029575596816976125,0.5216323199400403,0.2044407767563047,0.009000010849063414,0.0738988552615398,1.2960015622651317,10.641435157661732,ShapleyGAX (2add),15000,ILSVRC2012_val_00001143.JPEG
0.7,0.6,0.020202020202020204,-0.1111111111111111,-0.07918367346938775,0.030186480186480187,-0.05022587412226053,-0.06220517675696318,0.006536406290535323,0.06294661958805642,0.9412425058370866,9.064313220680123,ShapleyGAX (2add),20000,ILSVRC2012_val_00001143.JPEG
0.9,0.8,0.016317016317016316,-0.24444444444444444,-0.08571428571428572,0.017816091954022988,-0.3339199522817077,-0.08951719688237292,0.004903015135305495,0.05687258475761382,0.7060341794839913,8.18965220509639,ShapleyGAX (2add),25000,ILSVRC2012_val_00001143.JPEG
0.9,0.8,-0.08391608391608392,0.1111111111111111,-0.1363265306122449,-0.12683064062374408,0.028795349598540763,-0.20110610894454872,0.003636098175974375,0.049952663596082796,0.52359813734031,7.193183557835923,ShapleyGAX (2add),30000,ILSVRC2012_val_00001143.JPEG
0.3,0.4,0.019425019425019424,0.6,0.06448979591836734,0.028245317900490313,0.7521736796500299,0.09136845389796436,0.10250046229672556,0.24077196102426857,14.760066570728481,34.671162387494675,ShapleyGAX (2add),10000,ILSVRC2012_val_00000115.JPEG
0.7,0.8,0.055749805749805745,-0.15555555555555553,-0.035102040816326535,0.06852343059239611,-0.21380754944246422,-0.05550436020574171,0.012226635681675346,0.06962499606274196,1.7606355381612497,10.025999433034842,ShapleyGAX (2add),15000,ILSVRC2012_val_00000115.JPEG
0.6,0.8,0.01884226884226884,-0.1111111111111111,0.018775510204081632,0.020878546740615705,-0.4988918417532215,-0.032643072471391255,0.00593093668372241,0.048508132691116104,0.854054882456027,6.985171107520719,ShapleyGAX (2add),20000,ILSVRC2012_val_00000115.JPEG
0.8,1.0,0.060994560994561,0.06666666666666667,-0.06775510204081632,0.07279559520938832,0.059873728354725216,-0.054564800676896105,0.0035411386478631096,0.037924082657827374,0.5099239652922878,5.461067902727142,ShapleyGAX (2add),25000,ILSVRC2012_val_00000115.JPEG
0.9,1.0,0.10159285159285159,-0.022222222222222223,0.05469387755102041,0.14895104895104896,-0.10020986611865888,0.05775818972221638,0.0021784709055769486,0.03108901441971453,0.3136998104030806,4.476818076438892,ShapleyGAX (2add),30000,ILSVRC2012_val_00000115.JPEG
0.1,0.0,0.12082362082362082,-0.06666666666666667,0.010612244897959184,0.18167751788441444,0.1533441024545765,0.03016770933087267,0.17856891229350286,0.33719521305395106,25.71392337026441,48.556110679768956,ShapleyGAX (2add),10000,ILSVRC2012_val_00000253.JPEG
0.8,0.6,0.06254856254856254,0.19999999999999998,-0.08571428571428572,0.08292741741017604,0.20614411455440712,-0.10101841086256515,0.015358428162355497,0.08827308861846489,2.2116136553791916,12.711324761058945,ShapleyGAX (2add),15000,ILSVRC2012_val_00000253.JPEG
0.8,0.8,0.03146853146853147,0.24444444444444444,0.05469387755102041,0.03455911904187767,0.29177057720391797,0.07779540325005241,0.007686672145043401,0.06468128479916614,1.1068807888862497,9.314105011079924,ShapleyGAX (2add),20000,ILSVRC2012_val_00000253.JPEG
0.8,0.8,0.012043512043512042,-0.15555555555555553,-0.10857142857142857,0.015167591029659994,0.09811594236701536,-0.13404436234854206,0.005052734789542824,0.05160980961595933,0.7275938096941666,7.431812584698144,ShapleyGAX (2add),25000,ILSVRC2012_val_00000253.JPEG
0.8,0.8,-0.013597513597513596,-0.15555555555555553,-0.020408163265306124,-0.02752994132304477,-0.25427665236106833,0.016565201931911886,0.0035561233215568896,0.04517996465480519,0.5120817583041921,6.505914910291947,ShapleyGAX (2add),30000,ILSVRC2012_val_00000253.JPEG
0.1,0.2,0.0641025641025641,0.28888888888888886,0.013877551020408163,0.09429708222811671,0.1956125514907189,-0.0024696154199294845,0.09283742951507848,0.248708328105538,13.3685898501713,35.81399924719747,ShapleyGAX (2add),10000,ILSVRC2012_val_00000220.JPEG
0.4,0.6,-0.050505050505050504,0.06666666666666667,-0.023673469387755105,-0.07021541676714091,0.10906410048926315,-0.016107913470922986,0.012381763414353994,0.08625357768018367,1.7829739316669753,12.42051518594645,ShapleyGAX (2add),15000,ILSVRC2012_val_00000220.JPEG
0.7,0.6,0.08780108780108781,-0.28888888888888886,0.02857142857142857,0.12141306968893177,0.08165285490503726,0.014002645310094002,0.0066278762740835245,0.06212637804460514,0.9544141834680275,8.94619843842314,ShapleyGAX (2add),20000,ILSVRC2012_val_00000220.JPEG
0.7,0.8,0.05924630924630925,0.06666666666666667,-0.023673469387755105,0.08561610802990113,0.04700669353622789,-0.07555317490060212,0.004073443643879975,0.048240706431561114,0.5865758847187164,6.946661726144801,ShapleyGAX (2add),25000,ILSVRC2012_val_00000220.JPEG
0.7,0.8,0.10023310023310023,-0.28888888888888886,0.2310204081632653,0.15043002974037456,-0.2827103177443604,0.3215105400889213,0.002593206792085843,0.03935937553605748,0.37342177806036136,5.667750077192277,ShapleyGAX (2add),30000,ILSVRC2012_val_00000220.JPEG
0.3,0.2,0.012432012432012432,0.24444444444444444,-0.09877551020408164,0.021509524957800823,0.24244089961665746,-0.13442103206820588,0.3926141083290629,0.47991095619418267,56.53643159938506,69.1071776919623,ShapleyGAX (2add),10000,ILSVRC2012_val_00000154.JPEG
0.7,0.4,0.08488733488733488,0.022222222222222223,-0.14775510204081632,0.13262599469496023,0.12321765584504926,-0.19049878453296823,0.04893343764705612,0.17301242629885671,7.046415021176081,24.913789387035365,ShapleyGAX (2add),15000,ILSVRC2012_val_00000154.JPEG
0.8,0.6,0.027777777777777776,-0.15555555555555553,-0.007346938775510204,0.04890684028615063,-0.16067281539688347,0.013745672013234407,0.0329450776587673,0.14583305297413815,4.744091182862491,20.999959628275892,ShapleyGAX (2add),20000,ILSVRC2012_val_00000154.JPEG
0.9,0.8,0.09615384615384615,-0.19999999999999998,0.05306122448979592,0.13482839000080382,-0.20754560371805922,0.12870368912426863,0.01854531510157991,0.1099175754858959,2.6705253746275073,15.828130869969009,ShapleyGAX (2add),25000,ILSVRC2012_val_00000154.JPEG
1.0,1.0,0.0775058275058275,-0.24444444444444444,0.1036734693877551,0.1145808214773732,-0.15042653831834385,0.1146535664494495,0.011773095656198487,0.0873949243764588,1.695325774492582,12.584869110210066,ShapleyGAX (2add),30000,ILSVRC2012_val_00000154.JPEG
