Precision@10,Precision@5,KendallTau,KendallTau@10,KendallTau@50,MSE,MAE,SSE,SAE,approximator,budget,image_name
0.8,0.8,0.08888888888888889,0.5555555555555555,0.2473469387755102,0.011670936023065352,0.08508725504765124,1.692285723344476,12.33765198190943,KernelSHAP,15000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.10498084291187738,0.5555555555555555,0.1820408163265306,0.002016738903758218,0.03601213966241988,0.2924271410449416,5.221760251050883,ShapleyGAX (1000),15000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.053065134099616856,0.4666666666666666,0.14122448979591837,0.0029205695497621104,0.043145035162980724,0.42348258471550604,6.2560300986322055,ShapleyGAX (2000),15000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.0710727969348659,0.6,0.16081632653061226,0.002994950722124038,0.0440996422096548,0.43426785470798557,6.394448120399947,ShapleyGAX (3000),15000,ILSVRC2012_val_00000242.JPEG
1.0,0.8,-0.01839080459770115,0.24444444444444444,-0.0563265306122449,0.009176750765831647,0.07689709905844341,1.330628861045589,11.150079363474296,KernelSHAP,20000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,0.07624521072796935,0.5111111111111111,0.023673469387755105,0.001853067341531803,0.03392716469908369,0.26869476452211144,4.919438881367135,ShapleyGAX (1000),20000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,-0.01053639846743295,0.28888888888888886,-0.020408163265306124,0.0019560037029415383,0.03454596333084239,0.28362053692652306,5.009164682972146,ShapleyGAX (2000),20000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,-0.0005747126436781609,0.4666666666666666,-0.0563265306122449,0.0023522601230603073,0.03885117696036131,0.3410777178437446,5.6334206592523905,ShapleyGAX (3000),20000,ILSVRC2012_val_00000242.JPEG
0.5,0.4,0.10076628352490422,0.3333333333333333,0.20816326530612245,0.027669449383649927,0.13071824254841477,4.012070160629239,18.954145169520142,KernelSHAP,15000,ILSVRC2012_val_00000994.jpg
0.6,0.8,0.036590038314176246,0.19999999999999998,0.10530612244897959,0.0049176579300017915,0.05606320651045298,0.7130603998502598,8.129164944015683,ShapleyGAX (1000),15000,ILSVRC2012_val_00000994.jpg
0.6,0.8,-0.02490421455938697,-0.5111111111111111,0.04,0.007420384659265193,0.0693645212359055,1.075955775593453,10.057855579206297,ShapleyGAX (2000),15000,ILSVRC2012_val_00000994.jpg
0.6,0.8,0.07375478927203065,0.15555555555555553,0.10040816326530612,0.008934948699100642,0.07323882432829075,1.2955675613695932,10.619629527602159,ShapleyGAX (3000),15000,ILSVRC2012_val_00000994.jpg
0.6,0.6,0.01685823754789272,-0.022222222222222223,0.10693877551020409,0.022917282780420895,0.12565047351003586,3.3230060031610296,18.2193186589552,KernelSHAP,20000,ILSVRC2012_val_00000994.jpg
0.7,0.8,0.06628352490421456,-0.022222222222222223,-0.06775510204081632,0.004689771348600042,0.05454114469740952,0.680016845547006,7.9084659811243805,ShapleyGAX (1000),20000,ILSVRC2012_val_00000994.jpg
0.7,0.8,0.017049808429118775,-0.4222222222222222,-0.004081632653061224,0.004813099039533802,0.054849023745671154,0.6978993607324013,7.953108443122317,ShapleyGAX (2000),20000,ILSVRC2012_val_00000994.jpg
0.6,0.8,0.06954022988505747,-0.022222222222222223,0.09877551020408164,0.006849525305958667,0.06619565674557565,0.9931811693640067,9.598370228108468,ShapleyGAX (3000),20000,ILSVRC2012_val_00000994.jpg
0.4,0.4,0.021839080459770115,0.1111111111111111,0.12816326530612246,0.022756663109466557,0.11878573391185081,3.299716150872651,17.223931417218367,KernelSHAP,15000,ILSVRC2012_val_00001143.JPEG
0.8,0.6,0.1471264367816092,0.06666666666666667,0.1820408163265306,0.003979039264204831,0.048931815065557466,0.5769606933097005,7.095113184505832,ShapleyGAX (1000),15000,ILSVRC2012_val_00001143.JPEG
0.8,0.6,0.0421455938697318,-0.19999999999999998,-0.07755102040816327,0.004540769282895062,0.05318785409912439,0.6584115460197839,7.7122388443730365,ShapleyGAX (2000),15000,ILSVRC2012_val_00001143.JPEG
0.8,0.8,0.0842911877394636,0.1111111111111111,0.11346938775510204,0.005695220543885511,0.05992861305014528,0.8258069788633992,8.689648892271066,ShapleyGAX (3000),15000,ILSVRC2012_val_00001143.JPEG
0.4,0.6,-0.017624521072796936,0.3333333333333333,-0.07918367346938775,0.018365721261045253,0.10993304502000072,2.6630295828515615,15.940291527900104,KernelSHAP,20000,ILSVRC2012_val_00001143.JPEG
0.8,0.8,0.11283524904214558,0.06666666666666667,0.16408163265306122,0.0031875952292463954,0.04380465588399674,0.46220130824072736,6.351675103179527,ShapleyGAX (1000),20000,ILSVRC2012_val_00001143.JPEG
0.9,0.8,0.008237547892720307,0.1111111111111111,0.038367346938775505,0.003517847860698419,0.04610607595154119,0.5100879398012708,6.6853810129734725,ShapleyGAX (2000),20000,ILSVRC2012_val_00001143.JPEG
0.9,0.8,0.07068965517241378,0.4222222222222222,0.1820408163265306,0.00366025461300247,0.048855525465096396,0.5307369188853581,7.084051192438977,ShapleyGAX (3000),20000,ILSVRC2012_val_00001143.JPEG
0.9,0.8,0.12567049808429118,0.3333333333333333,0.23755102040816328,0.0020703961173382684,0.029467879853219015,0.3002074370140489,4.272842578716757,PermutationSamplingSV,15000,ILSVRC2012_val_00000242.JPEG
0.9,0.8,0.08045977011494253,0.5555555555555555,0.12816326530612246,0.001310668160985718,0.02536223931860809,0.19004688334292913,3.677524701198173,PermutationSamplingSV,20000,ILSVRC2012_val_00000242.JPEG
0.7,0.4,0.012452107279693486,0.28888888888888886,-0.06285714285714286,0.0031651772627208407,0.04085318712640269,0.4589507030945219,5.92371213332839,PermutationSamplingSV,15000,ILSVRC2012_val_00000994.jpg
0.7,0.6,0.06398467432950192,0.3333333333333333,0.12489795918367345,0.002692977830302281,0.03877368277625961,0.3904817853938307,5.622184002557644,PermutationSamplingSV,20000,ILSVRC2012_val_00000994.jpg
0.7,0.4,0.07796934865900383,0.24444444444444444,0.010612244897959184,0.0021980214858114953,0.034989072261719,0.31871311544266684,5.073415477949254,PermutationSamplingSV,15000,ILSVRC2012_val_00001143.JPEG
0.7,0.6,0.040421455938697316,0.022222222222222223,0.061224489795918366,0.0018017146591563845,0.03161856247640188,0.26124862557767575,4.584691559078273,PermutationSamplingSV,20000,ILSVRC2012_val_00001143.JPEG
0.9,1.0,-0.016091954022988506,0.6,-0.012244897959183673,0.001732032878361081,0.03378856331802241,0.25114476736235675,4.899341681113249,SVARM,15000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,0.013026819923371647,0.4666666666666666,0.10040816326530612,0.002119468721313519,0.03618249208017639,0.30732296459046027,5.246461351625577,ShapleyGAX (500),15000,ILSVRC2012_val_00000242.JPEG
0.7,0.8,0.06264367816091954,-0.06666666666666667,0.13306122448979593,0.004520158851079944,0.05554659236132012,0.6554230334065919,8.054255892391417,ShapleyGAX (500),15000,ILSVRC2012_val_00000994.jpg
0.8,0.6,0.14042145593869731,0.28888888888888886,0.08897959183673469,0.0034892146780250177,0.04574387064690081,0.5059361283136276,6.632861243800617,ShapleyGAX (500),15000,ILSVRC2012_val_00001143.JPEG
