frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,__target__
8000,1.0,0.3048,71.3,0.00336729,115.372
4000,0.0,0.0254,55.5,0.00041229,133.223
2000,3.0,0.1016,55.5,0.0368233,118.564
1600,18.0,0.2286,71.3,0.0051942,130.46
12500,0.0,0.0508,71.3,0.000740478,125.22
2000,25.0,0.0254,39.6,0.00449821,131.274
3150,3.0,0.1016,39.6,0.0408268,113.055
4000,0.0,0.0254,71.3,0.000400682,138.557
1600,19.0,0.1524,71.3,0.00401199,133.241
1000,19.0,0.1524,39.6,0.00485029,130.507
800,12.0,0.0254,71.3,0.0214178,123.227
1250,15.0,0.2286,71.3,0.00400603,131.718
250,9.0,0.0508,71.3,0.0341183,119.115
1250,12.0,0.0254,39.6,0.0229028,126.446
6300,13.0,0.3048,71.3,0.00425727,116.134
250,26.0,0.1524,55.5,0.0208438,133.235
800,15.0,0.3048,39.6,0.00579636,130.723
16000,15.0,0.2286,71.3,0.00400603,112.768
400,22.0,0.2286,39.6,0.0123481,132.039
315,9.0,0.0508,71.3,0.0341183,121.235
1250,15.0,0.2286,31.7,0.00509068,128.119
2500,0.0,0.0508,55.5,0.00076193,133.956
10000,11.0,0.1524,71.3,0.00243851,116.724
315,2.0,0.0508,71.3,0.014072,128.381
3150,18.0,0.2286,39.6,0.00614329,118.441
1000,8.0,0.0254,55.5,0.0165706,126.001
1600,0.0,0.1524,71.3,0.0015988,129.667
1000,24.0,0.1016,39.6,0.0124596,129.58
2000,0.0,0.3048,55.5,0.00283081,126.616
2500,0.0,0.3048,55.5,0.00283081,124.106
1600,3.0,0.1016,31.7,0.0418756,114.477
4000,10.0,0.2286,39.6,0.00346574,120.227
315,22.0,0.2286,39.6,0.0123481,132.149
1250,19.0,0.1524,39.6,0.00485029,127.117
8000,16.0,0.0508,39.6,0.00152689,120.397
3150,23.0,0.0508,71.3,0.00529514,131.966
8000,0.0,0.1016,55.5,0.00131983,124.45
1250,0.0,0.2286,71.3,0.00214345,128.144
2000,3.0,0.1016,71.3,0.0337792,122.218
250,25.0,0.0254,39.6,0.00449821,116.924
5000,15.0,0.2286,39.6,0.00473801,117.649
6300,19.0,0.1524,31.7,0.00525474,115.591
3150,0.0,0.2286,55.5,0.00229336,125.16
3150,22.0,0.2286,31.7,0.0132672,113.229
2500,4.0,0.1524,71.3,0.0483159,115.234
2000,6.0,0.0508,71.3,0.0264269,129.285
3150,0.0,0.0254,71.3,0.000400682,137.007
400,7.0,0.1016,71.3,0.0437259,134.058
1250,0.0,0.2286,55.5,0.00229336,127.91
1600,10.0,0.2286,55.5,0.00313525,126.752
8000,12.0,0.0254,71.3,0.0214178,121.657
250,22.0,0.2286,39.6,0.0123481,131.889
800,22.0,0.2286,55.5,0.0111706,128.444
12500,0.0,0.3048,39.6,0.00310138,109.619
2000,9.0,0.0508,71.3,0.0341183,120.055
2500,9.0,0.0508,39.6,0.036484,116.184
5000,12.0,0.0254,39.6,0.0229028,118.816
3150,20.0,0.1016,71.3,0.00478288,124.458
3150,17.0,0.0254,71.3,0.000848633,133.378
1000,17.0,0.0254,31.7,0.000930789,125.348
800,0.0,0.1524,31.7,0.00209405,129.117
4000,6.0,0.0508,71.3,0.0264269,122.675
200,24.0,0.1016,39.6,0.0124596,133.42
2000,13.0,0.3048,71.3,0.00425727,125.524
8000,11.0,0.1524,39.6,0.00294804,116.659
500,12.0,0.0254,39.6,0.0229028,129.776
3150,8.0,0.0254,39.6,0.0172206,123.564
6300,0.0,0.1524,39.6,0.00193287,121.313
16000,0.0,0.0254,31.7,0.000439472,125.627
2500,0.0,0.0508,71.3,0.000740478,131.31
6300,0.0,0.2286,71.3,0.00214345,122.044
1600,10.0,0.2286,71.3,0.00293031,127.796
800,15.0,0.2286,31.7,0.00509068,130.869
2500,10.0,0.2286,71.3,0.00293031,127.006
630,20.0,0.1016,39.6,0.00578076,133.355
10000,0.0,0.1016,31.7,0.00150092,115.893
630,26.0,0.1524,31.7,0.0252785,126.049
1600,20.0,0.1016,31.7,0.00592927,124.346
315,19.0,0.1524,39.6,0.00485029,125.347
16000,0.0,0.1524,55.5,0.00172668,112.803
3150,1.0,0.3048,39.6,0.00392107,119.111
400,3.0,0.1016,71.3,0.0337792,139.428
200,7.0,0.1016,71.3,0.0437259,130.898
5000,21.0,0.1524,39.6,0.00909175,113.288
1250,0.0,0.0508,55.5,0.00076193,127.076
12500,0.0,0.1524,71.3,0.0015988,117.087
2000,8.0,0.0254,31.7,0.0176631,124.356
5000,17.0,0.0254,71.3,0.000848633,135.468
315,8.0,0.0254,71.3,0.016104,115.846
6300,0.0,0.1016,31.7,0.00150092,124.253
800,10.0,0.2286,31.7,0.00372371,130.307
4000,0.0,0.0508,39.6,0.000791822,135.308
1250,11.0,0.1524,39.6,0.00294804,130.829
1600,13.0,0.3048,39.6,0.00495741,122.782
4000,4.0,0.1524,71.3,0.0483159,108.034
2000,2.0,0.0508,39.6,0.0150478,124.42
1600,8.0,0.0254,39.6,0.0172206,127.614
2000,9.0,0.0508,39.6,0.036484,117.724
2500,26.0,0.1524,71.3,0.0193001,119.639
10000,0.0,0.1524,55.5,0.00172668,119.253
2500,8.0,0.0254,31.7,0.0176631,124.166
6300,0.0,0.0508,55.5,0.00076193,132.796
2000,4.0,0.1524,39.6,0.0584113,109.52
250,3.0,0.1016,31.7,0.0418756,125.857
500,5.0,0.0254,71.3,0.0121808,126.898
2500,6.0,0.0508,55.5,0.0271925,125.63
315,15.0,0.3048,39.6,0.00579636,126.843
5000,15.0,0.2286,71.3,0.00400603,121.118
16000,17.0,0.0254,55.5,0.000873218,124.394
5000,10.0,0.2286,39.6,0.00346574,118.827
500,10.0,0.2286,71.3,0.00293031,126.486
630,14.0,0.1016,39.6,0.00245138,127.251
800,25.0,0.0254,31.7,0.00461377,130.746
500,15.0,0.3048,71.3,0.00497773,130.715
2000,12.0,0.0254,71.3,0.0214178,127.197
2500,2.0,0.0508,71.3,0.014072,130.541
10000,13.0,0.3048,55.5,0.00452492,112.169
6300,8.0,0.0254,55.5,0.0165706,114.861
3150,25.0,0.0254,55.5,0.0043284,133.252
4000,18.0,0.2286,39.6,0.00614329,115.801
5000,0.0,0.0508,31.7,0.000812164,133.23
6300,1.0,0.3048,39.6,0.00392107,114.751
800,6.0,0.0508,55.5,0.0271925,130.43
400,1.0,0.3048,39.6,0.00392107,124.001
5000,1.0,0.3048,39.6,0.00392107,116.241
6300,19.0,0.1524,71.3,0.00401199,116.411
5000,3.0,0.1016,55.5,0.0368233,112.014
2000,15.0,0.2286,39.6,0.00473801,121.659
3150,0.0,0.0508,31.7,0.000812164,135.49
630,0.0,0.2286,55.5,0.00229336,126.16
5000,21.0,0.1524,71.3,0.00752039,118.343
8000,14.0,0.1016,39.6,0.00245138,118.091
3150,0.0,0.0254,39.6,0.000428464,133.276
315,7.0,0.1016,71.3,0.0437259,133.808
1600,0.0,0.0254,39.6,0.000428464,124.156
2500,15.0,0.2286,31.7,0.00509068,120.209
6300,3.0,0.1016,39.6,0.0408268,107.985
10000,17.0,0.0254,55.5,0.000873218,126.944
315,0.0,0.3048,39.6,0.00310138,122.779
3150,2.0,0.0508,39.6,0.0150478,119.67
500,19.0,0.1524,31.7,0.00525474,129.681
400,3.0,0.1016,55.5,0.0368233,136.414
5000,23.0,0.0508,71.3,0.00529514,121.146
1250,20.0,0.1016,39.6,0.00578076,132.395
5000,13.0,0.3048,31.7,0.00529514,113.858
400,4.0,0.1524,71.3,0.0483159,127.094
8000,0.0,0.0254,31.7,0.000439472,137.207
6300,26.0,0.1524,55.5,0.0208438,110.555
2000,16.0,0.0508,71.3,0.00142788,129.848
800,17.0,0.0254,31.7,0.000930789,122.648
1600,0.0,0.1524,31.7,0.00209405,130.817
2500,6.0,0.0508,31.7,0.0289853,119.945
16000,1.0,0.3048,71.3,0.00336729,106.582
4000,0.0,0.3048,31.7,0.00331266,118.145
6300,22.0,0.2286,31.7,0.0132672,110.689
4000,0.0,0.1524,55.5,0.00172668,127.233
1600,17.0,0.0254,39.6,0.000907475,125.966
3150,17.0,0.0254,31.7,0.000930789,134.268
4000,1.0,0.3048,71.3,0.00336729,121.762
630,2.0,0.0508,71.3,0.014072,133.611
500,6.0,0.0508,39.6,0.0282593,125.963
200,6.0,0.0508,31.7,0.0289853,119.975
630,19.0,0.1524,55.5,0.00433288,131.807
800,25.0,0.0254,39.6,0.00449821,129.014
800,21.0,0.1524,71.3,0.00752039,136.023
2500,10.0,0.2286,55.5,0.00313525,123.862
5000,3.0,0.1016,31.7,0.0418756,107.147
2500,0.0,0.3048,31.7,0.00331266,120.755
