RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,__target__
3112.0,3960.0,6.0,4.0,88.0,28.0,597.0,10.0,29.0,1
3485.0,530.0,18.0,55.0,288.0,65.0,286.0,25.0,72.0,1
1646.0,1125.0,18.0,68.0,86.0,47.0,1031.0,61.0,51.0,1
4579.0,3976.0,18.0,61.0,234.0,72.0,1079.0,64.0,79.0,1
5637.0,2757.0,18.0,104.0,223.0,61.0,2144.0,62.0,67.0,1
6979.0,1029.0,18.0,69.0,242.0,28.0,597.0,10.0,29.0,1
4039.0,2238.0,74.0,99.0,115.0,8.0,597.0,0.0,8.0,0
2633.0,2034.0,18.0,55.0,158.0,22.0,5.0,61.0,23.0,1
1979.0,730.0,83.0,111.0,221.0,56.0,324.0,8.0,60.0,1
6301.0,1341.0,18.0,33.0,148.0,4.0,5.0,61.0,4.0,1
2507.0,2265.0,18.0,33.0,164.0,47.0,5.0,61.0,51.0,0
1012.0,1504.0,18.0,65.0,185.0,27.0,974.0,9.0,28.0,1
6496.0,3149.0,18.0,61.0,320.0,22.0,5.0,61.0,23.0,1
3936.0,2352.0,18.0,33.0,199.0,105.0,1879.0,9.0,113.0,1
6616.0,4070.0,18.0,55.0,39.0,4.0,1899.0,61.0,4.0,1
1898.0,1747.0,6.0,4.0,80.0,22.0,5.0,61.0,23.0,1
172.0,3312.0,84.0,112.0,2.0,0.0,35.0,56.0,0.0,1
3921.0,3509.0,18.0,71.0,190.0,22.0,5.0,61.0,23.0,1
2633.0,3997.0,18.0,63.0,108.0,4.0,5.0,61.0,4.0,1
712.0,1544.0,18.0,63.0,258.0,21.0,1400.0,2.0,22.0,1
3304.0,3705.0,18.0,68.0,103.0,22.0,5.0,61.0,23.0,1
593.0,555.0,6.0,32.0,7.0,337.0,2144.0,62.0,71.0,1
5577.0,1014.0,102.0,142.0,278.0,96.0,1290.0,60.0,104.0,1
571.0,3702.0,18.0,65.0,286.0,46.0,2141.0,63.0,50.0,1
1913.0,4048.0,19.0,20.0,5.0,98.0,728.0,32.0,106.0,1
6988.0,763.0,18.0,61.0,323.0,22.0,5.0,61.0,23.0,1
1705.0,2064.0,18.0,61.0,49.0,11.0,19.0,0.0,11.0,1
5528.0,2821.0,83.0,111.0,312.0,103.0,2156.0,9.0,111.0,1
5869.0,2657.0,18.0,63.0,107.0,47.0,5.0,61.0,51.0,1
844.0,573.0,58.0,76.0,7.0,337.0,1263.0,62.0,71.0,0
929.0,3073.0,18.0,19.0,424.0,24.0,47.0,0.0,34.0,1
2312.0,359.0,18.0,68.0,256.0,238.0,65.0,15.0,248.0,1
2313.0,690.0,18.0,63.0,56.0,315.0,785.0,0.0,6.0,1
4317.0,3790.0,18.0,65.0,219.0,47.0,5.0,61.0,51.0,1
4391.0,368.0,18.0,71.0,196.0,40.0,234.0,63.0,44.0,1
2507.0,2062.0,18.0,65.0,261.0,4.0,5.0,61.0,4.0,1
2994.0,3817.0,58.0,76.0,7.0,331.0,465.0,62.0,64.0,1
3248.0,2169.0,18.0,65.0,110.0,22.0,5.0,61.0,23.0,1
4298.0,2241.0,18.0,63.0,37.0,22.0,1842.0,61.0,23.0,1
7441.0,1974.0,18.0,68.0,75.0,40.0,2057.0,63.0,44.0,1
1913.0,3144.0,21.0,34.0,4.0,36.0,1023.0,56.0,40.0,0
3766.0,2698.0,18.0,61.0,283.0,103.0,757.0,9.0,111.0,1
3873.0,2893.0,95.0,133.0,206.0,46.0,1579.0,63.0,50.0,1
3790.0,1755.0,18.0,69.0,197.0,47.0,5.0,61.0,51.0,1
4889.0,177.0,18.0,68.0,253.0,4.0,5.0,61.0,4.0,1
2159.0,3207.0,61.0,81.0,5.0,36.0,1432.0,56.0,40.0,0
3766.0,2481.0,18.0,65.0,105.0,103.0,2324.0,9.0,111.0,1
5493.0,2355.0,18.0,71.0,190.0,22.0,2192.0,61.0,23.0,1
7432.0,3405.0,18.0,65.0,46.0,4.0,1899.0,61.0,4.0,1
5493.0,385.0,18.0,55.0,267.0,4.0,1899.0,61.0,4.0,1
3440.0,1896.0,18.0,63.0,28.0,22.0,5.0,61.0,23.0,1
55.0,1902.0,18.0,65.0,286.0,4.0,5.0,61.0,4.0,1
6000.0,2027.0,18.0,65.0,219.0,47.0,5.0,61.0,51.0,1
1749.0,2526.0,18.0,33.0,176.0,47.0,224.0,61.0,51.0,1
1365.0,1108.0,4.0,2.0,0.0,0.0,0.0,56.0,0.0,1
2333.0,919.0,18.0,71.0,408.0,11.0,171.0,0.0,11.0,0
3292.0,3005.0,6.0,32.0,7.0,337.0,2098.0,62.0,71.0,1
6000.0,2813.0,18.0,65.0,145.0,79.0,2349.0,64.0,86.0,1
909.0,1114.0,4.0,39.0,0.0,0.0,0.0,56.0,0.0,1
3404.0,445.0,18.0,71.0,47.0,47.0,1722.0,61.0,51.0,1
0.0,4113.0,18.0,69.0,197.0,47.0,5.0,61.0,51.0,1
7227.0,2935.0,18.0,63.0,37.0,22.0,5.0,61.0,23.0,0
2291.0,2254.0,18.0,63.0,207.0,110.0,2265.0,17.0,119.0,1
1347.0,1254.0,125.0,151.0,35.0,68.0,2238.0,26.0,75.0,1
5358.0,3182.0,18.0,65.0,397.0,22.0,5.0,61.0,23.0,1
488.0,1197.0,33.0,38.0,10.0,36.0,392.0,56.0,40.0,1
6000.0,2327.0,78.0,105.0,7.0,6.0,77.0,62.0,5.0,1
5029.0,3773.0,18.0,65.0,57.0,260.0,701.0,61.0,269.0,1
5493.0,3690.0,18.0,55.0,39.0,114.0,1760.0,58.0,123.0,1
1646.0,1682.0,51.0,72.0,285.0,4.0,601.0,61.0,4.0,1
1944.0,576.0,58.0,76.0,65.0,337.0,465.0,62.0,71.0,1
1029.0,3674.0,8.0,29.0,1.0,1.0,6.0,0.0,1.0,1
4871.0,3894.0,18.0,33.0,205.0,4.0,5.0,61.0,4.0,1
5870.0,2261.0,5.0,3.0,0.0,264.0,1868.0,22.0,273.0,1
919.0,199.0,84.0,112.0,2.0,14.0,31.0,0.0,14.0,1
3766.0,394.0,47.0,54.0,22.0,36.0,376.0,56.0,40.0,1
7417.0,1474.0,48.0,57.0,7.0,331.0,100.0,62.0,64.0,1
6000.0,2515.0,18.0,55.0,39.0,22.0,5.0,61.0,23.0,1
6840.0,1532.0,18.0,61.0,200.0,235.0,2256.0,65.0,245.0,1
623.0,3268.0,18.0,63.0,191.0,38.0,159.0,17.0,42.0,1
1294.0,468.0,18.0,55.0,39.0,60.0,2248.0,3.0,66.0,1
2100.0,2669.0,18.0,61.0,230.0,33.0,2131.0,1.0,37.0,0
2335.0,814.0,18.0,61.0,95.0,11.0,51.0,0.0,11.0,1
4300.0,2531.0,5.0,3.0,0.0,246.0,662.0,30.0,256.0,1
3767.0,2796.0,18.0,61.0,26.0,86.0,1749.0,4.0,94.0,1
618.0,3577.0,18.0,18.0,215.0,105.0,1073.0,9.0,113.0,1
7430.0,254.0,18.0,65.0,145.0,75.0,737.0,9.0,82.0,1
1091.0,3068.0,18.0,55.0,338.0,117.0,2131.0,1.0,126.0,0
6570.0,1371.0,18.0,68.0,214.0,46.0,2141.0,63.0,50.0,1
5362.0,1193.0,18.0,33.0,138.0,46.0,2141.0,63.0,50.0,1
1348.0,748.0,18.0,55.0,120.0,157.0,160.0,25.0,166.0,1
3103.0,2813.0,18.0,65.0,145.0,22.0,1899.0,61.0,23.0,1
1564.0,2264.0,18.0,63.0,341.0,196.0,2278.0,17.0,206.0,1
4427.0,2587.0,18.0,61.0,49.0,92.0,2324.0,9.0,100.0,1
5463.0,1894.0,18.0,65.0,57.0,22.0,5.0,61.0,23.0,1
1020.0,1612.0,19.0,20.0,1.0,0.0,1.0,56.0,0.0,0
6982.0,3750.0,18.0,61.0,125.0,4.0,1899.0,61.0,4.0,1
2092.0,2276.0,15.0,14.0,7.0,18.0,1495.0,62.0,19.0,1
7182.0,1902.0,18.0,65.0,286.0,22.0,5.0,61.0,23.0,0
3094.0,3774.0,37.0,56.0,2.0,0.0,135.0,56.0,0.0,1
7152.0,3790.0,18.0,65.0,219.0,47.0,224.0,61.0,51.0,1
6236.0,144.0,97.0,135.0,7.0,6.0,940.0,62.0,5.0,1
5503.0,978.0,18.0,33.0,93.0,22.0,43.0,61.0,23.0,1
5870.0,3528.0,5.0,3.0,2.0,1.0,6.0,0.0,1.0,1
1659.0,1540.0,67.0,97.0,122.0,18.0,1084.0,62.0,19.0,1
5062.0,888.0,18.0,69.0,260.0,40.0,158.0,63.0,44.0,1
4339.0,614.0,18.0,33.0,271.0,239.0,1307.0,62.0,249.0,1
1879.0,1572.0,102.0,142.0,7.0,6.0,1087.0,62.0,5.0,1
1474.0,1566.0,102.0,142.0,7.0,337.0,2144.0,62.0,71.0,1
2929.0,2976.0,18.0,65.0,57.0,22.0,5.0,61.0,23.0,1
2874.0,3580.0,18.0,33.0,115.0,17.0,2175.0,61.0,18.0,0
3921.0,3731.0,18.0,71.0,161.0,19.0,142.0,61.0,20.0,1
2864.0,2053.0,18.0,65.0,76.0,52.0,1254.0,9.0,56.0,1
4311.0,1456.0,18.0,18.0,104.0,22.0,5.0,61.0,23.0,1
6000.0,3602.0,18.0,18.0,32.0,4.0,5.0,61.0,4.0,1
3766.0,1131.0,40.0,47.0,65.0,6.0,396.0,62.0,5.0,1
4675.0,2436.0,45.0,170.0,35.0,127.0,1284.0,10.0,136.0,1
5724.0,1914.0,44.0,51.0,233.0,315.0,906.0,0.0,6.0,1
55.0,892.0,18.0,33.0,166.0,47.0,224.0,61.0,51.0,1
4538.0,2983.0,40.0,47.0,13.0,9.0,557.0,60.0,9.0,1
6345.0,1783.0,127.0,31.0,142.0,174.0,279.0,34.0,183.0,1
2100.0,2362.0,18.0,61.0,334.0,60.0,2248.0,3.0,66.0,1
55.0,3782.0,18.0,33.0,100.0,47.0,75.0,61.0,51.0,1
4416.0,2350.0,4.0,2.0,0.0,36.0,189.0,56.0,40.0,1
602.0,2947.0,18.0,63.0,37.0,22.0,5.0,61.0,23.0,1
6674.0,1670.0,74.0,99.0,445.0,4.0,5.0,61.0,4.0,1
5951.0,1490.0,51.0,62.0,20.0,47.0,2055.0,61.0,51.0,1
4565.0,2241.0,18.0,63.0,37.0,4.0,5.0,61.0,4.0,1
5362.0,3341.0,51.0,72.0,59.0,40.0,234.0,63.0,44.0,1
4342.0,3782.0,18.0,33.0,100.0,22.0,5.0,61.0,23.0,1
4792.0,482.0,45.0,52.0,291.0,4.0,288.0,61.0,4.0,1
4673.0,2216.0,18.0,18.0,48.0,11.0,19.0,0.0,11.0,1
2686.0,872.0,18.0,33.0,82.0,19.0,70.0,61.0,20.0,1
1686.0,3660.0,13.0,11.0,0.0,0.0,2.0,56.0,0.0,1
2301.0,670.0,18.0,55.0,206.0,46.0,2141.0,63.0,50.0,1
3196.0,1918.0,18.0,61.0,320.0,47.0,75.0,61.0,51.0,1
819.0,634.0,18.0,55.0,192.0,65.0,717.0,25.0,72.0,1
5797.0,2038.0,18.0,33.0,176.0,22.0,5.0,61.0,23.0,1
397.0,220.0,6.0,4.0,56.0,139.0,1371.0,8.0,149.0,1
2612.0,3305.0,18.0,68.0,195.0,4.0,1899.0,61.0,4.0,1
7423.0,385.0,18.0,55.0,267.0,22.0,5.0,61.0,23.0,1
3201.0,4129.0,5.0,3.0,2.0,2.0,2.0,0.0,2.0,1
2340.0,3037.0,6.0,4.0,56.0,8.0,47.0,0.0,8.0,1
2274.0,3282.0,18.0,104.0,223.0,6.0,126.0,62.0,5.0,1
1760.0,3728.0,18.0,65.0,57.0,22.0,5.0,61.0,23.0,1
5416.0,1760.0,45.0,52.0,291.0,4.0,378.0,61.0,4.0,1
4167.0,2813.0,18.0,65.0,145.0,22.0,1899.0,61.0,23.0,1
7010.0,3434.0,18.0,65.0,293.0,4.0,5.0,61.0,4.0,1
779.0,2152.0,69.0,90.0,113.0,60.0,1639.0,3.0,66.0,1
1027.0,2588.0,11.0,43.0,1.0,0.0,1.0,56.0,0.0,1
5116.0,4227.0,89.0,123.0,417.0,47.0,2201.0,61.0,51.0,1
1990.0,2213.0,18.0,61.0,38.0,26.0,1834.0,8.0,27.0,1
5034.0,717.0,18.0,61.0,69.0,60.0,2248.0,3.0,66.0,1
5016.0,4175.0,127.0,31.0,142.0,4.0,5.0,61.0,4.0,1
2351.0,384.0,18.0,61.0,219.0,59.0,83.0,23.0,65.0,1
5909.0,1044.0,18.0,18.0,32.0,22.0,5.0,61.0,23.0,1
5871.0,2607.0,5.0,3.0,2.0,3.0,2.0,56.0,3.0,1
2228.0,2080.0,18.0,69.0,197.0,108.0,1236.0,34.0,117.0,1
2418.0,1240.0,18.0,69.0,197.0,47.0,75.0,61.0,51.0,1
4915.0,1585.0,18.0,63.0,56.0,139.0,525.0,8.0,149.0,1
1518.0,1052.0,74.0,99.0,286.0,22.0,5.0,61.0,23.0,1
4678.0,1534.0,40.0,47.0,7.0,337.0,2081.0,62.0,71.0,1
4792.0,2068.0,18.0,18.0,41.0,108.0,279.0,34.0,117.0,1
