family,product-type,steel,carbon,hardness,temper_rolling,condition,formability,strength,non-ageing,surface-finish,surface-quality,enamelability,bc,bf,bt,bw_me,bl,m,chrom,phos,cbond,marvi,exptl,ferro,corr,blue_bright_varn_clean,lustre,jurofm,s,p,shape,thick,width,len,oil,bore,packing,__target__
2.0,0.0,2.0,0,0,1.0,2.0,4.0,350,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.601,609.9,0,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.6,60.0,0,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6,300.1,4880,2.0,0.0,2.0,2
2.0,0.0,6.0,0,0,1.0,2.0,4.0,310,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.8,610.0,762,2.0,0.0,2.0,2
2.0,0.0,3.0,0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.6,374.9,4880,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.699,300.1,4880,2.0,0.0,2.0,2
2.0,0.0,3.0,0,0,1.0,1.0,1.0,0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.8,1320.0,4880,2.0,0.0,2.0,1
2.0,0.0,3.0,0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7,1300.0,762,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6,1220.0,4880,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.5,610.0,0,2.0,2.0,2.0,2
2.0,0.0,0.0,0,50,0.0,2.0,4.0,0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.6,610.0,0,2.0,0.0,2.0,2
2.0,0.0,6.0,0,0,1.0,2.0,4.0,310,1.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.5,1274.9,762,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,500.0,0,2.0,0.0,2.0,2
2.0,0.0,3.0,0,0,1.0,1.0,2.0,0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.599,610.0,761,2.0,0.0,2.0,1
2.0,0.0,0.0,4,0,0.0,2.0,4.0,0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,25.0,0,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.999,610.0,762,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.2,1320.0,762,2.0,0.0,2.0,2
2.0,0.0,3.0,0,0,1.0,1.0,2.0,0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.8,610.0,1,2.0,0.0,2.0,1
2.0,0.0,3.0,0,0,1.0,1.0,2.0,0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.599,610.0,762,2.0,0.0,2.0,1
2.0,0.0,7.0,0,0,0.0,1.0,1.0,0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.7,1320.0,0,2.0,0.0,2.0,2
2.0,0.0,0.0,0,45,1.0,1.0,4.0,0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.6,610.0,0,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,2.0,0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.601,1320.0,4880,2.0,0.0,2.0,2
2.0,0.0,0.0,0,0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6,520.0,4880,2.0,0.0,2.0,2
2.0,0.0,3.0,0,0,1.0,1.0,2.0,0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.6,609.9,612,2.0,0.0,2.0,2
2.0,0.0,7.0,0,0,1.0,2.0,4.0,500,1.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,609.9,4880,2.0,0.0,2.0,1
2.0,0.0,0.0,0,0,1.0,1.0,2.0,0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.5,1320.0,0,2.0,0.0,2.0,2
