credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,__target__
596,1.0,1.0,32,3,96709.07,2,0.0,0.0,41788.37,0
623,0.0,1.0,43,1,0.0,2,1.0,1.0,146379.3,0
601,2.0,0.0,44,4,0.0,2,1.0,0.0,58561.31,0
506,1.0,1.0,59,8,119152.1,2,1.0,1.0,170679.74,0
560,2.0,0.0,27,7,124995.98,1,1.0,1.0,114669.79,0
790,2.0,1.0,37,8,0.0,2,1.0,1.0,149418.41,0
439,2.0,0.0,32,3,138901.61,1,1.0,0.0,75685.97,0
597,1.0,0.0,22,6,101528.61,1,1.0,0.0,70529.0,1
678,2.0,0.0,40,4,113794.22,1,1.0,0.0,16618.76,0
464,1.0,0.0,42,3,85679.25,1,1.0,1.0,164104.74,0
481,0.0,0.0,57,9,0.0,3,1.0,1.0,169719.35,1
651,0.0,0.0,56,4,0.0,1,0.0,0.0,84383.22,1
850,0.0,1.0,47,6,0.0,1,1.0,0.0,187391.02,1
687,1.0,0.0,41,2,154007.21,1,1.0,0.0,158408.23,0
696,0.0,1.0,19,1,110928.51,1,1.0,1.0,2766.63,0
612,2.0,0.0,36,5,119799.27,2,1.0,0.0,159416.58,0
586,2.0,0.0,57,3,0.0,2,0.0,1.0,6057.81,0
425,1.0,1.0,40,9,166776.6,2,0.0,1.0,172646.88,0
643,2.0,1.0,43,1,0.0,2,1.0,1.0,145764.4,0
641,0.0,0.0,37,2,0.0,2,1.0,0.0,3939.87,0
795,0.0,0.0,40,2,101891.1,1,1.0,1.0,183044.86,0
762,0.0,1.0,35,9,0.0,2,1.0,1.0,43075.7,0
687,0.0,0.0,44,9,0.0,2,0.0,0.0,103042.2,1
850,2.0,1.0,37,4,88141.1,1,1.0,0.0,109659.12,0
753,0.0,0.0,62,6,0.0,2,1.0,1.0,136398.9,0
678,0.0,0.0,49,3,204510.94,1,0.0,1.0,738.88,1
578,1.0,1.0,34,8,147487.23,2,1.0,0.0,66680.77,0
825,0.0,1.0,29,3,148874.01,2,0.0,1.0,71192.82,0
696,2.0,0.0,30,0,0.0,2,1.0,1.0,9002.8,0
457,0.0,1.0,40,10,134320.23,2,1.0,0.0,150757.35,0
680,0.0,0.0,30,8,141441.75,1,1.0,1.0,16278.97,0
819,0.0,0.0,38,10,0.0,2,1.0,0.0,30498.7,0
510,0.0,0.0,45,10,103821.47,2,0.0,1.0,77878.62,0
567,0.0,1.0,36,1,0.0,2,0.0,0.0,8555.73,0
638,2.0,1.0,34,5,146679.77,1,1.0,0.0,102179.86,0
579,2.0,1.0,56,4,99340.83,1,0.0,0.0,4523.74,1
715,1.0,0.0,37,9,105489.31,1,0.0,0.0,143096.49,1
587,2.0,0.0,34,1,0.0,2,1.0,1.0,97932.68,0
711,2.0,1.0,38,3,128718.78,1,0.0,0.0,114793.45,0
741,0.0,0.0,36,3,0.0,2,1.0,1.0,89804.83,0
688,0.0,1.0,38,7,148045.68,1,1.0,0.0,175479.92,1
475,0.0,0.0,45,0,134264.04,1,1.0,0.0,27822.99,1
567,0.0,1.0,36,7,0.0,2,0.0,1.0,3896.08,0
440,0.0,1.0,42,2,0.0,2,1.0,0.0,49826.68,0
741,0.0,1.0,42,6,106036.52,1,1.0,0.0,194686.78,1
582,1.0,1.0,41,6,70349.48,2,0.0,1.0,178074.04,0
613,0.0,1.0,26,4,100446.57,1,0.0,1.0,149653.81,0
