age,job,marital,education,default,balance,housing,loan,contact,campaign,pdays,previous,poutcome,__target__
36,2.0,1.0,1.0,0.0,229,1.0,0.0,0.0,2,-1,0,3.0,0
25,0.0,1.0,1.0,0.0,789,1.0,0.0,0.0,1,-1,0,3.0,0
48,4.0,1.0,1.0,0.0,-876,0.0,1.0,0.0,16,-1,0,3.0,0
51,1.0,1.0,0.0,0.0,2832,1.0,0.0,0.0,4,238,12,1.0,0
36,1.0,1.0,1.0,0.0,504,1.0,0.0,2.0,2,-1,0,3.0,0
48,4.0,1.0,1.0,0.0,11146,0.0,0.0,2.0,1,-1,0,3.0,0
42,9.0,2.0,2.0,0.0,135,0.0,0.0,0.0,2,-1,0,3.0,0
35,4.0,2.0,2.0,0.0,75,0.0,1.0,0.0,11,-1,0,3.0,0
63,5.0,0.0,1.0,0.0,859,0.0,0.0,0.0,1,-1,0,3.0,0
39,1.0,1.0,0.0,0.0,108,0.0,0.0,0.0,1,-1,0,3.0,0
36,0.0,1.0,1.0,0.0,614,1.0,0.0,2.0,5,-1,0,3.0,0
52,7.0,0.0,0.0,0.0,432,1.0,1.0,0.0,4,-1,0,3.0,0
40,1.0,1.0,0.0,0.0,-234,1.0,0.0,0.0,1,-1,0,3.0,0
50,9.0,1.0,1.0,0.0,1093,1.0,0.0,2.0,1,-1,0,3.0,0
59,1.0,1.0,1.0,0.0,2605,0.0,0.0,0.0,2,-1,0,3.0,0
48,4.0,1.0,2.0,0.0,3494,0.0,0.0,0.0,3,97,1,1.0,0
56,4.0,1.0,2.0,0.0,779,1.0,0.0,2.0,1,-1,0,3.0,0
33,7.0,2.0,1.0,0.0,245,1.0,0.0,2.0,3,-1,0,3.0,0
27,8.0,2.0,1.0,0.0,24,1.0,0.0,0.0,2,-1,0,3.0,0
51,7.0,1.0,0.0,0.0,294,0.0,0.0,2.0,2,-1,0,3.0,0
34,7.0,2.0,1.0,0.0,3080,0.0,0.0,0.0,1,-1,0,3.0,0
42,7.0,0.0,1.0,0.0,241,1.0,0.0,2.0,2,-1,0,3.0,0
37,9.0,2.0,1.0,0.0,61,1.0,0.0,2.0,8,-1,0,3.0,0
30,4.0,1.0,2.0,0.0,0,0.0,0.0,0.0,2,-1,0,3.0,0
32,4.0,2.0,2.0,0.0,3289,0.0,0.0,0.0,2,179,2,0.0,0
41,9.0,1.0,2.0,0.0,67,1.0,0.0,0.0,1,-1,0,3.0,1
31,0.0,2.0,1.0,0.0,476,0.0,0.0,0.0,2,-1,0,3.0,0
30,1.0,1.0,1.0,0.0,8,1.0,0.0,0.0,1,-1,0,3.0,0
37,0.0,2.0,1.0,0.0,0,1.0,0.0,2.0,1,-1,0,3.0,0
43,1.0,2.0,0.0,1.0,69,0.0,1.0,0.0,5,-1,0,3.0,0
50,1.0,1.0,1.0,0.0,160,1.0,0.0,2.0,1,-1,0,3.0,0
27,1.0,2.0,2.0,0.0,567,0.0,0.0,0.0,3,182,3,2.0,1
37,1.0,1.0,0.0,0.0,5643,1.0,0.0,2.0,1,-1,0,3.0,0
49,10.0,1.0,1.0,0.0,207,0.0,0.0,1.0,2,-1,0,3.0,0
35,9.0,1.0,1.0,0.0,-116,0.0,1.0,0.0,2,-1,0,3.0,0
31,0.0,1.0,1.0,0.0,3540,1.0,0.0,0.0,1,-1,0,3.0,0
36,6.0,1.0,2.0,0.0,2017,0.0,0.0,0.0,18,-1,0,3.0,0
48,3.0,2.0,0.0,0.0,1630,0.0,0.0,0.0,1,-1,0,3.0,0
51,7.0,1.0,1.0,0.0,657,0.0,0.0,0.0,2,-1,0,3.0,0
39,9.0,1.0,1.0,0.0,-475,1.0,0.0,0.0,3,301,1,0.0,0
41,9.0,0.0,1.0,0.0,348,1.0,0.0,0.0,2,275,2,0.0,0
30,0.0,2.0,1.0,0.0,223,1.0,0.0,2.0,11,-1,0,3.0,1
42,4.0,2.0,2.0,0.0,4264,1.0,0.0,2.0,1,-1,0,3.0,0
33,4.0,1.0,2.0,0.0,289,0.0,0.0,0.0,1,-1,0,3.0,0
30,1.0,1.0,1.0,0.0,215,1.0,0.0,0.0,9,-1,0,3.0,0
41,4.0,1.0,2.0,0.0,2885,0.0,0.0,0.0,1,-1,0,3.0,0
42,9.0,0.0,1.0,0.0,3043,1.0,1.0,2.0,5,-1,0,3.0,0
35,9.0,2.0,2.0,0.0,275,1.0,0.0,0.0,3,254,5,0.0,0
37,4.0,0.0,1.0,0.0,1448,1.0,0.0,0.0,2,283,2,0.0,0
32,4.0,1.0,2.0,0.0,1270,0.0,0.0,0.0,3,-1,0,3.0,1
31,1.0,2.0,0.0,0.0,859,1.0,0.0,2.0,1,-1,0,3.0,0
55,7.0,0.0,1.0,0.0,2166,1.0,0.0,2.0,17,-1,0,3.0,0
46,3.0,2.0,0.0,0.0,10889,0.0,0.0,0.0,3,-1,0,3.0,0
55,7.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1,106,1,0.0,0
39,1.0,0.0,1.0,0.0,94,1.0,0.0,2.0,1,-1,0,3.0,0
34,2.0,1.0,1.0,0.0,4659,1.0,0.0,2.0,1,-1,0,3.0,0
29,1.0,2.0,2.0,0.0,455,0.0,0.0,1.0,1,-1,0,3.0,1
54,9.0,0.0,1.0,0.0,258,0.0,0.0,0.0,3,-1,0,3.0,0
34,0.0,1.0,1.0,0.0,34,1.0,0.0,2.0,3,-1,0,3.0,0
26,7.0,2.0,1.0,0.0,5533,1.0,0.0,0.0,2,283,4,0.0,0
30,0.0,1.0,1.0,0.0,40,1.0,1.0,2.0,2,-1,0,3.0,0
58,4.0,1.0,2.0,0.0,1831,0.0,0.0,0.0,1,-1,0,3.0,0
43,4.0,1.0,2.0,0.0,-334,1.0,0.0,0.0,1,-1,0,3.0,0
59,0.0,1.0,1.0,0.0,-396,1.0,0.0,2.0,1,-1,0,3.0,0
56,0.0,1.0,1.0,0.0,353,1.0,0.0,2.0,2,-1,0,3.0,0
33,1.0,1.0,0.0,0.0,50,1.0,0.0,0.0,2,-1,0,3.0,0
33,1.0,2.0,1.0,0.0,-14,1.0,0.0,0.0,2,-1,0,3.0,0
60,4.0,1.0,2.0,1.0,-108,0.0,1.0,0.0,2,-1,0,3.0,0
60,5.0,1.0,2.0,0.0,3461,0.0,0.0,0.0,2,112,2,0.0,0
32,4.0,0.0,2.0,0.0,222,0.0,1.0,0.0,4,-1,0,3.0,1
29,1.0,0.0,3.0,0.0,17,1.0,0.0,2.0,2,-1,0,3.0,0
35,2.0,2.0,2.0,0.0,-68,1.0,1.0,2.0,4,-1,0,3.0,0
37,9.0,1.0,1.0,0.0,183,1.0,0.0,2.0,2,-1,0,3.0,0
33,9.0,1.0,1.0,0.0,348,1.0,0.0,0.0,2,294,1,2.0,0
59,5.0,1.0,0.0,0.0,13,0.0,0.0,0.0,2,-1,0,3.0,0
36,1.0,1.0,3.0,0.0,-656,1.0,0.0,2.0,2,-1,0,3.0,0
42,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,2,-1,0,3.0,0
40,9.0,1.0,1.0,0.0,59,1.0,0.0,2.0,3,-1,0,3.0,0
25,6.0,2.0,3.0,0.0,1179,0.0,0.0,0.0,1,83,2,0.0,0
33,4.0,2.0,2.0,0.0,726,0.0,0.0,0.0,1,-1,0,3.0,0
56,4.0,1.0,2.0,0.0,217,0.0,1.0,0.0,2,-1,0,3.0,0
45,1.0,1.0,0.0,0.0,351,1.0,0.0,2.0,1,-1,0,3.0,0
47,9.0,0.0,1.0,0.0,1013,0.0,0.0,0.0,3,-1,0,3.0,0
30,1.0,2.0,1.0,0.0,132,1.0,0.0,2.0,1,-1,0,3.0,0
30,1.0,1.0,1.0,0.0,399,0.0,1.0,0.0,2,-1,0,3.0,0
28,8.0,2.0,2.0,0.0,5741,0.0,0.0,0.0,5,200,3,0.0,1
51,1.0,1.0,1.0,0.0,0,1.0,0.0,2.0,2,-1,0,3.0,0
45,1.0,1.0,1.0,0.0,3037,0.0,0.0,2.0,2,-1,0,3.0,0
43,7.0,2.0,1.0,0.0,-63,1.0,0.0,0.0,3,374,1,1.0,0
52,1.0,1.0,1.0,0.0,-519,1.0,0.0,2.0,8,-1,0,3.0,1
38,0.0,1.0,1.0,0.0,281,1.0,0.0,0.0,2,335,2,0.0,0
34,9.0,1.0,1.0,0.0,2467,0.0,0.0,0.0,1,-1,0,3.0,0
31,1.0,2.0,0.0,0.0,3466,1.0,0.0,1.0,3,183,25,1.0,0
59,5.0,1.0,0.0,0.0,0,0.0,0.0,2.0,1,-1,0,3.0,0
27,9.0,2.0,2.0,0.0,667,0.0,0.0,0.0,2,-1,0,3.0,1
30,9.0,1.0,2.0,0.0,910,0.0,0.0,0.0,2,-1,0,3.0,0
33,4.0,2.0,2.0,0.0,1431,0.0,0.0,0.0,1,85,2,0.0,0
34,1.0,1.0,1.0,0.0,0,1.0,1.0,0.0,6,-1,0,3.0,0
32,9.0,2.0,1.0,0.0,-1,1.0,0.0,0.0,1,-1,0,3.0,0
41,7.0,1.0,0.0,0.0,4903,1.0,0.0,0.0,1,180,2,0.0,0
55,1.0,1.0,3.0,0.0,23,0.0,0.0,0.0,1,2,3,1.0,0
31,9.0,2.0,1.0,0.0,863,1.0,0.0,0.0,3,111,6,0.0,0
33,1.0,1.0,1.0,0.0,1134,1.0,0.0,2.0,2,-1,0,3.0,0
31,4.0,2.0,2.0,0.0,635,1.0,0.0,0.0,1,320,2,0.0,0
33,7.0,1.0,1.0,0.0,684,1.0,0.0,2.0,1,-1,0,3.0,0
28,9.0,1.0,1.0,0.0,448,1.0,0.0,0.0,2,346,3,1.0,0
48,0.0,2.0,1.0,0.0,479,1.0,1.0,2.0,3,-1,0,3.0,0
22,0.0,2.0,1.0,0.0,1157,1.0,1.0,0.0,2,-1,0,3.0,0
34,3.0,2.0,2.0,0.0,43,0.0,0.0,0.0,8,-1,0,3.0,0
44,2.0,0.0,1.0,0.0,-600,1.0,1.0,0.0,3,-1,0,3.0,0
46,4.0,0.0,2.0,0.0,194,0.0,0.0,0.0,1,-1,0,3.0,0
39,9.0,2.0,1.0,0.0,14,1.0,0.0,0.0,1,-1,0,3.0,0
59,5.0,1.0,0.0,0.0,574,0.0,0.0,0.0,6,-1,0,3.0,0
53,4.0,1.0,1.0,0.0,2522,0.0,0.0,2.0,2,-1,0,3.0,0
33,4.0,1.0,2.0,0.0,71,0.0,0.0,0.0,1,287,1,0.0,0
34,0.0,2.0,1.0,0.0,79,1.0,0.0,0.0,3,-1,0,3.0,0
52,4.0,1.0,2.0,0.0,31,0.0,0.0,0.0,1,-1,0,3.0,1
36,7.0,2.0,0.0,0.0,38,0.0,0.0,2.0,4,-1,0,3.0,0
44,9.0,1.0,1.0,0.0,1901,0.0,0.0,0.0,2,-1,0,3.0,0
44,1.0,2.0,0.0,0.0,1308,0.0,1.0,2.0,1,-1,0,3.0,0
38,4.0,1.0,1.0,0.0,341,0.0,0.0,0.0,3,346,2,0.0,0
39,4.0,1.0,2.0,0.0,1070,1.0,1.0,0.0,1,-1,0,3.0,0
