net_profit_to_total_assets,total_liabilities_to_total_assets,working_capital_to_total_assets,current_assets_to_short_term_liabilities,liquidity_days_ratio,retained_earnings_to_total_assets,ebit_to_total_assets,book_value_equity_to_total_liabilities,sales_to_total_assets,equity_to_total_assets,extended_profit_to_total_assets,gross_profit_to_short_term_liabilities,gross_profit_plus_depreciation_to_sales,gross_profit_plus_interest_to_total_assets,liabilities_days_ratio,gross_profit_plus_depreciation_to_total_liabilities,total_assets_to_total_liabilities,gross_profit_to_total_assets,gross_profit_to_sales,inventory_days_ratio,sales_growth_ratio,operating_profit_to_total_assets,net_profit_to_sales,three_year_gross_profit_to_total_assets,equity_minus_share_capital_to_total_assets,net_profit_plus_depreciation_to_total_liabilities,operating_profit_to_financial_expenses,working_capital_to_fixed_assets,log_total_assets,net_liabilities_to_sales,gross_profit_plus_interest_to_sales,current_liabilities_days_ratio,operating_expenses_to_short_term_liabilities,operating_expenses_to_total_liabilities,sales_profit_to_total_assets,total_sales_to_total_assets,current_assets_minus_inventories_to_long_term_liabilities,constant_capital_to_total_assets,sales_profit_to_sales,liquid_assets_to_short_term_liabilities,liabilities_to_adjusted_operating_profit,operating_profit_to_sales,receivables_plus_inventory_turnover_days,receivables_days_ratio,net_profit_to_inventory,current_assets_minus_inventory_to_short_term_liabilities,inventory_days_cost_ratio,ebitda_to_total_assets,ebitda_to_sales,current_assets_to_total_liabilities,short_term_liabilities_to_total_assets,short_term_liabilities_days_cost_ratio,equity_to_fixed_assets,constant_capital_to_fixed_assets,working_capital_absolute,gross_margin,adjusted_liquidity_ratio,total_costs_to_total_sales,long_term_liabilities_to_equity,inventory_turnover_ratio,receivables_turnover_ratio,short_term_liabilities_days_ratio,sales_to_short_term_liabilities,sales_to_fixed_assets,__target__
0.085567,0.60117,0.33319,10.256,139.34,0.28248,0.10301,0.66341,1.1324,0.39883,0.10301,2.8616,0.13815,0.10301,1629.3,0.22403,1.6634,0.10301,0.10567,4.5072,0.83927,0.13337,0.087775,0.33298,0.39883,0.19502,1.5492,0.52819,4.192,0.61365,0.10567,15.262,23.916,0.22184,0.13337,0.99535,0.63193,0.964,0.13681,0.087603,0.11976,0.13681,137.05,132.54,7.1082,9.9218,5.1038,0.10169,0.10432,0.61411,0.035996,0.041813,0.63224,1.5282,5184.8,0.11689,0.21455,0.88311,1.4171,80.982,2.7538,13.478,27.082,1.5454,0
0.071455,0.47009,0.31344,1.6672,46.027,0.025528,0.091811,0.71539,1.0573,0.3363,0.091811,0.19545,0.081376,0.091811,1129.2,0.32323,2.1272,0.091811,0.04917,4.2289,1.1994,0.091205,0.038268,0.041022,0.3363,0.27993,0.51643,1.4457,4.6323,0.19931,0.04917,97.085,3.7596,0.19402,0.091205,1.8811,2221.4,0.33664,0.048845,0.36538,0.10212,0.048845,119.54,115.31,3.3029,1.6212,4.4711,0.031068,0.016639,1.666,0.46975,0.26598,1.5511,1.5527,13440.0,0.05418,0.21247,0.94582,0.001019,86.311,3.1653,91.824,3.975,8.6122,0
0.007223,0.63304,-0.097917,0.84532,-93.36,-0.1298,0.007223,0.57967,1.6743,0.36696,0.057523,0.011409,0.020958,0.007223,6584.8,0.055431,1.5797,0.007223,0.004314,72.001,1.033,0.002262,0.004314,-0.037752,-0.001844,0.055431,0.044975,-0.21063,3.6341,0.37798,0.008169,137.33,2.6578,2.6578,-0.008212,1.6743,3.6564,0.36696,-0.004905,0.001758,0.70035,0.001351,116.42,44.418,0.021869,0.32361,71.649,-0.025605,-0.015293,0.84532,0.63304,0.37626,0.78937,0.78937,-421.62,-0.004905,0.019682,0.99585,0.0,5.0694,8.2175,138.01,2.6448,3.6015,0
0.017655,0.64732,0.13691,1.239,-147.04,0.0,0.023469,0.54483,1.2601,0.35268,0.048836,0.040969,0.034933,0.023469,5367.5,0.068002,1.5448,0.023469,0.018624,181.68,0.95031,0.043626,0.014011,0.078022,0.33115,0.059021,1.7198,0.4717,3.7462,0.5137,0.033339,170.16,2.1451,1.8983,0.031336,1.2601,1.4035,0.41147,0.024868,0.005516,0.33622,0.034621,204.67,22.983,0.028147,0.14403,186.32,0.023076,0.018312,1.0964,0.57284,0.46619,1.2151,1.4176,763.22,0.024868,0.05006,0.98173,0.16668,2.009,15.881,165.93,2.1998,4.3415,0
0.20218,0.19442,0.46752,3.5528,42.665,0.0,0.2553,4.1435,2.8297,0.80558,0.25751,1.394,0.09822,0.2553,255.32,1.4296,5.1435,0.2553,0.090219,20.06,0.96055,0.23983,0.071447,0.72797,0.79552,1.1563,108.25,1.3383,3.6964,-0.01295,0.090969,25.826,14.133,13.313,0.24142,2.8297,43.889,0.81686,0.085315,1.305,0.024691,0.084755,53.099,33.039,1.3,2.7036,21.931,0.21719,0.076754,3.3466,0.18314,0.070756,2.306,2.3383,2323.9,0.085315,0.25097,0.91039,0.014004,18.196,11.047,23.623,15.451,8.1001,0
0.065755,0.14119,0.25953,2.8381,24.226,0.32854,0.072943,6.0671,1.0892,0.85664,0.072943,0.51661,0.085459,0.072943,641.51,0.56897,7.0824,0.072943,0.077595,76.876,1.08,0.079216,0.069948,0.33572,0.85664,0.51806,0.91781,0.43307,4.2867,0.13436,0.077595,59.711,6.1128,0.56104,0.079216,0.95064,3.6564,0.85664,0.084267,0.13347,0.053598,0.084267,148.27,71.398,0.33211,1.4358,83.731,0.071823,0.076403,2.8381,0.14119,0.16359,1.4295,1.4295,5022.6,0.081868,0.076759,0.91813,0.0,4.7479,5.1122,54.823,6.6578,1.5686,0
0.14289,0.083883,0.82401,10.823,485.86,-0.060681,0.14425,10.921,0.61089,0.91612,0.14425,1.7196,0.24163,0.14425,207.42,1.7597,11.921,0.14425,0.23613,79.434,4.8601,0.11513,0.23391,0.13938,0.28665,1.7435,15547.0,8.9458,3.1304,-0.91432,0.23614,60.795,6.0038,6.0038,0.10727,0.61089,3.6564,0.91612,0.1756,7.8483,0.023596,0.18847,149.1,69.668,1.0748,9.2384,96.353,0.11177,0.18297,10.823,0.083883,0.16656,9.9459,9.9459,10.823,0.1756,0.15598,0.77735,0.0,4.595,5.2391,50.119,7.2826,6.6321,0
0.1176,0.28491,0.39736,2.3947,19.534,0.27415,0.14371,2.3247,1.0872,0.66231,0.14371,0.50441,0.102,0.14371,598.03,0.61034,3.5099,0.14371,0.084295,34.871,1.0243,0.15693,0.06898,0.34956,0.66231,0.5187,1.0008,1.2506,4.5884,0.096849,0.084295,66.319,5.5037,0.5508,0.15693,1.7556,3.6564,0.66231,0.092048,0.95061,0.050061,0.092048,88.086,53.215,0.72203,1.823,37.913,0.12675,0.074345,2.3947,0.28491,0.1817,2.0845,2.0845,15401.0,0.080234,0.17756,0.91977,0.0,10.467,6.8589,60.998,5.9838,5.3657,0
0.063263,0.52474,0.015615,1.0352,-18.175,0.039803,0.066335,0.76427,1.0376,0.40104,0.066335,0.14963,0.033423,0.066335,2144.6,0.1702,1.9057,0.066335,0.024825,19.463,1.0304,0.087293,0.023676,0.045285,0.40104,0.16434,0.33897,0.028861,4.9581,0.1849,0.024825,62.836,5.8087,0.16636,0.087293,2.6858,3.888,0.48244,0.032669,0.073671,0.15645,0.032669,58.231,38.768,0.44401,0.71384,20.195,0.064321,0.024071,0.87464,0.44334,0.17215,0.74123,0.89168,1418.0,0.036239,0.15775,0.96376,0.20297,18.754,9.415,60.559,6.0272,4.9387,0
-0.36586,0.65181,0.34819,1.5342,-15.934,0.0,-0.36586,0.53417,6.8715,0.34818,-0.36586,-0.5613,-0.053243,-0.36586,-650.28,-0.5613,1.5342,-0.36586,-0.053243,31.075,0.5386,0.0,-0.053243,-0.32397,-0.36416,-0.5613,0.97606,0.5269,1.8463,0.083115,-0.10649,39.865,9.1558,9.1558,2.8e-05,6.8715,3.6564,0.34818,4e-06,0.16568,0.09118899999999999,0.0,47.381,16.307,-0.62538,0.63666,35.78,0.0,0.0,1.5342,0.65181,0.10922,1.28,1.428,24.44,0.13151,-1.0508,0.86849,0.0,11.746,22.384,34.622,10.542,4.0983,0
0.02485,0.56905,0.32542,1.6953,30.039,0.0,0.029957,0.75731,2.512,0.43095,0.042765,0.064011,0.020065,0.029957,4120.8,0.088575,1.7573,0.029957,0.011925,15.169,1.2561,0.023652,0.009893,0.17419,0.28635,0.079601,1.8466,1.5752,3.4419,0.21977,0.016279,68.414,5.3351,4.3876,0.015231,2.512,7.1393,0.52746,0.006063,0.067027,0.43013,0.009416,110.73,95.556,0.23803,1.4723,15.262,0.003205,0.001276,1.3943,0.46799,0.18744,2.086,2.5531,900.2,0.006063,0.057664,0.98842,0.22395,24.062,3.8198,68.0,5.3677,12.159,0
0.035178,0.51635,0.19674,1.3836,-34.954,0.048297,0.030926,0.78656,1.0363,0.40614,0.030926,0.060305,0.066376,0.030926,2379.5,0.15339,1.9367,0.030926,0.025917,84.887,1.173,0.039718,0.02948,0.044371,0.40614,0.16163,0.34493,0.67739,5.3654,0.42404,0.025917,162.56,2.2454,0.076921,0.039718,1.1982,122.72,0.40966,0.033285,0.071567,0.19291,0.033285,205.82,120.93,0.12676,0.84249,87.966,-0.008561,-0.007174,1.3742,0.51283,0.44536,1.3984,1.4105,45631.0,0.035001,0.086615,0.965,0.008669,4.2999,3.0182,156.87,2.3268,4.1086,0
-0.043616,0.90959,-0.29691,0.67314,-176.29,-0.045548,-0.042983,0.037813,1.0155,0.034394,-0.042983,-0.047318,0.004791,-0.042983,64958.0,0.005619,1.0994,-0.042983,-0.040292,47.252,1.1981,0.01635,-0.040885,-0.044915,0.034394,0.004923,0.15563,-0.76419,5.0371,0.74115,-0.040292,315.6,1.1565,0.017975,0.01635,1.0882,391.54,0.035603,0.015326,0.19245,0.46403,0.015326,149.4,102.15,-0.31582,0.5211,47.982,-0.031744,-0.029756,0.67224,0.90838,0.86466,0.088522,0.091633,-32339.0,0.015217,-1.2681,0.98478,0.035151,7.7245,3.5733,310.8,1.1744,2.7457,0
-0.042544,0.63971,0.17109,1.5569,18.5,0.0,-0.048402,0.5632,1.4494,0.36029,-0.004246,-0.15754,-0.017276,-0.048402,-9325.0,-0.039142,1.5632,-0.048402,-0.033395,23.544,1.1054,-0.004654,-0.029353,0.075724,0.27199,-0.029985,-0.10539,0.32796,4.8322,0.40617,-0.02501,78.968,4.6221,2.2199,0.0293,1.4494,1.2592,0.66591,0.020216,0.18498,1.1398,-0.003211,106.14,82.6,-0.45505,1.2526,24.03,-0.028016,-0.019329,0.74772,0.30724,0.21635,0.69063,1.2765,11627.0,0.020216,-0.11808,1.0333,0.84828,15.503,4.4189,77.372,4.7175,2.7784,0
0.002643,0.48613,0.21642,1.6351,-39.688,-0.1952,0.00842,0.85566,1.032,0.41597,0.00842,0.024711,0.03112,0.00842,4369.7,0.08353,2.0571,0.00842,0.006453,98.001,1.3313,0.039116,0.002025,-0.18004,0.41597,0.071645,0.30937,0.4887,5.3106,0.34316,0.006453,98.363,3.7107,0.080464,0.039116,1.3432,1.4225,0.56136,0.029978,0.11821,0.22415,0.029978,144.59,46.584,0.007543,0.60695,101.14,0.00693,0.005311,1.1461,0.34074,0.26949,0.93931,1.2676,44250.0,0.030995,0.006353,0.96901,0.34953,3.7245,7.8353,95.315,3.8294,2.9465,0
-0.003602,0.33204,-0.063999,0.80626,-189.56,-0.12708,-0.003602,1.8654,1.0441,0.61937,-0.003602,-0.010905,0.10145,-0.003602,1784.5,0.20454,3.0117,-0.003602,-0.005381,128.11,2.0276,0.035157,-0.005381,-0.12708,0.61937,0.20454,0.54833,-0.087232,5.452,0.47398,-0.005381,188.05,1.941,0.10588,0.035157,0.67702,18.374,0.62108,0.052517,0.047562,0.10233,0.052517,136.64,8.5307,-0.01533,0.094927,133.77,-0.036359,-0.054312,0.80211,0.33033,0.5152,0.84422,0.84654,-18122.0,0.042247,-0.005816,0.95775,0.002755,2.849,42.786,180.1,2.0266,0.91247,0
0.097768,0.25275,0.40729,2.6308,47.906,0.0,0.097768,2.9565,2.0654,0.74725,0.10679,0.39146,0.047336,0.097768,943.59,0.38682,3.9565,0.097768,0.047336,25.787,1.2931,0.13174,0.047336,0.21876,0.48895,0.38682,14.603,1.1876,3.8889,0.033412,0.051704,55.216,7.777,7.6848,0.13232,2.0762,3.6564,0.74725,0.064063,0.74731,0.063952,0.063783,83.129,57.342,0.67001,2.0465,27.421,0.0,0.0,2.5996,0.24975,0.15128,2.1789,2.1789,3153.6,0.20066,0.13084,0.93988,0.0,14.154,6.3653,44.136,8.2698,6.0223,0
