Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,__target__
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28,39.604880392
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28,44.51946532
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74347504
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.50475644
222.36,0.0,96.67,189.29,4.46,967.08,870.32,56,29.44751996
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.40055564
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28,20.87043852
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28,65.90701084
491.0,26.0,123.0,210.0,3.93,882.0,699.0,28,55.55108132
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.908319812
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.26733684
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28,35.314271244
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.260122448
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28,30.12320644
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3,13.18278112
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,3,17.36790044
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15137506
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28,15.41668336
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53292506
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.30053176
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3,19.51906556
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3,23.63917714581204
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,17.576122192
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.8535314
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.49592324
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99482412
284.0,15.0,141.0,179.0,5.46,842.0,801.0,56,44.520450284729314
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.69717028
290.35,0.0,96.18,168.08,9.41,961.18,865.0,14,34.67374804
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28,20.593958644
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84000168
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.29715436
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28,37.171030112
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.765208492
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88455782
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28,21.066249704
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28,22.629981272
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365,38.89334116
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.10122316
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28,9.738159024
313.0,0.0,0.0,178.0,8.0,1000.0,822.0,28,25.0969264
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.27748916
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.39821744
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28,37.36270444
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.52831864
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.51802636
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,51.04190828
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9035533120000006
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.290928956
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.275510655999998
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,3,15.340841
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28,23.696600644
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,11.654902304
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,23.404952296
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368
451.0,0.0,0.0,165.0,11.25,1030.0,745.0,28,78.80021203999999
194.68,0.0,100.52,170.17,7.48,998.0,901.8,28,37.2661778
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.4994406
528.0,0.0,0.0,185.0,6.86,920.0,720.0,28,56.83350668
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,48.58737372
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14,31.35047372
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,3,12.45193656
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.073134492
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.0621928
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,17.43684804
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100,40.38950408
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90,43.25082948
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56,42.54756396
491.0,26.0,123.0,210.0,3.93,882.0,699.0,56,59.59042571527068
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.29663476
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,55.94408264
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.826961644
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,28,52.5035974
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28,52.30364936
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28,12.180972492
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28,45.304778484
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28,64.0178466
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.902344236
287.0,121.0,94.0,188.0,9.0,904.0,696.0,28,41.94082508
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.179323768
153.0,102.0,0.0,192.0,0.0,888.0,943.1,28,17.96429718
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3011712
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28,44.6090972
480.0,0.0,0.0,192.0,0.0,936.2,712.2,3,24.404692496
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28,35.86585204399999
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.398077479999999
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.748321315999998
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28,36.34917472
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.726417988
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.89737812
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.94882902
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.80163088
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.909079268
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.617500724
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56,44.14025352
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.3403214
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28,39.435269296
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90,54.27555072
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56,51.95891136
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93197176
446.0,24.0,79.0,162.0,11.61,967.0,712.0,7,52.00717468
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100,47.73931824
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.615941924
446.0,24.0,79.0,162.0,11.61,967.0,712.0,3,35.36322404
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28,49.77327244
284.0,15.0,141.0,179.0,5.46,842.0,801.0,3,13.39553371527068
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.399596392
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28,12.17614616
146.5,114.6,89.3,201.9,8.8,860.0,829.5,28,19.98790924
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,29.55094136
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.89985628
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.104130996
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.59882504
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,33.41890172
238.05,0.0,94.11,186.66,7.0,949.91,847.01,14,25.68987576
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.37597436
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28,41.40992856
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.5111316
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,56,36.56291228
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56,33.96358776
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.447869684
277.05,0.0,97.39,160.6,11.83,973.9,875.61,100,55.6407132
314.0,0.0,113.0,170.0,10.0,925.0,783.0,28,38.45897128
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.9481196
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,56,36.3009114
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.141962252
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.89581932
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100,40.56876784
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.4978818
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,3,12.5484632
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3,23.80071152
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28,26.200088
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28,33.60506024
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.09810556
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,38.99676256
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3,25.11662571527068
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,43.942373908
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28,37.265488324
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,34.6806428
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28,43.57833058
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,14,19.41564416
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7,14.2032056
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39236188
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.32952964
