destination,passenger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,__target__
1.0,1.0,2.0,55,14,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1
2.0,0.0,2.0,80,7,3.0,0.0,0.0,3.0,1.0,1.0,1.0,7.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1.0,0.0,1.0,30,10,4.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,5.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1
0.0,0.0,2.0,80,18,4.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
2.0,0.0,0.0,55,7,0.0,0.0,0.0,6.0,0.0,1.0,5.0,24.0,3.0,5.0,5.0,5.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0
1.0,1.0,2.0,80,10,4.0,0.0,0.0,6.0,2.0,0.0,2.0,3.0,3.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1.0,1.0,2.0,80,18,4.0,0.0,0.0,6.0,2.0,0.0,3.0,15.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1
1.0,1.0,2.0,30,10,1.0,1.0,1.0,4.0,2.0,0.0,1.0,3.0,5.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,2.0,2.0,80,14,3.0,0.0,0.0,4.0,1.0,1.0,1.0,17.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1.0,1.0,2.0,80,22,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
