checking_status,duration_months,credit_history,credit_purpose,credit_amount,savings_status,employment_since,installment_rate_percent,personal_status_sex,other_debtors,residence_since,property,age_years,other_installment_plans,housing,existing_credits_count,job,people_liable,telephone,foreign_worker,__target__
1.0,18,3.0,7.0,3190,2.0,0.0,2,0.0,2.0,2,2.0,24,1.0,1.0,1,1.0,1,0.0,1.0,0
1.0,18,3.0,1.0,4380,0.0,0.0,3,3.0,2.0,4,1.0,35,1.0,1.0,1,3.0,2,1.0,1.0,1
1.0,24,0.0,1.0,2325,0.0,1.0,2,3.0,2.0,3,1.0,32,0.0,1.0,1,1.0,1,0.0,1.0,1
2.0,12,3.0,7.0,1297,2.0,0.0,3,2.0,2.0,4,2.0,23,1.0,2.0,1,1.0,1,0.0,1.0,1
3.0,33,1.0,2.0,7253,2.0,1.0,3,3.0,2.0,2,1.0,35,1.0,1.0,2,0.0,1,1.0,1.0,1
1.0,24,3.0,7.0,2384,2.0,3.0,4,3.0,2.0,4,2.0,64,0.0,2.0,1,3.0,1,0.0,1.0,1
2.0,6,3.0,5.0,2116,2.0,0.0,2,3.0,2.0,2,2.0,41,1.0,1.0,1,1.0,1,1.0,1.0,1
0.0,12,2.0,7.0,585,2.0,0.0,4,2.0,0.0,4,2.0,20,1.0,2.0,2,1.0,1,0.0,1.0,1
3.0,9,3.0,1.0,3577,0.0,0.0,1,3.0,1.0,2,2.0,26,1.0,2.0,1,1.0,2,0.0,0.0,1
3.0,27,2.0,2.0,8613,3.0,0.0,2,3.0,2.0,2,1.0,27,1.0,1.0,2,1.0,1,0.0,1.0,1
0.0,6,3.0,7.0,484,2.0,1.0,3,2.0,1.0,3,2.0,28,0.0,1.0,1,3.0,1,0.0,1.0,1
1.0,42,3.0,7.0,3965,2.0,2.0,4,3.0,2.0,3,1.0,34,1.0,1.0,1,1.0,1,0.0,1.0,0
3.0,24,3.0,7.0,1376,1.0,1.0,4,0.0,2.0,1,1.0,28,1.0,1.0,1,1.0,1,0.0,1.0,1
1.0,60,3.0,0.0,7297,2.0,3.0,4,3.0,0.0,4,3.0,36,1.0,2.0,1,1.0,1,0.0,1.0,0
0.0,60,3.0,4.0,6288,2.0,0.0,4,3.0,2.0,4,3.0,42,1.0,0.0,1,1.0,1,0.0,1.0,0
1.0,18,3.0,5.0,4153,2.0,0.0,2,3.0,0.0,3,1.0,42,1.0,1.0,1,1.0,1,0.0,1.0,0
3.0,15,1.0,2.0,3368,3.0,3.0,3,3.0,2.0,4,3.0,23,1.0,2.0,2,1.0,1,1.0,1.0,1
3.0,18,1.0,7.0,1098,2.0,4.0,4,0.0,2.0,4,1.0,65,1.0,1.0,2,2.0,1,0.0,1.0,1
1.0,18,1.0,5.0,2124,2.0,0.0,4,0.0,2.0,4,2.0,24,1.0,2.0,2,1.0,1,0.0,1.0,0
1.0,15,2.0,5.0,3643,2.0,3.0,1,0.0,2.0,4,0.0,27,1.0,1.0,2,3.0,1,0.0,1.0,1
3.0,48,1.0,2.0,8858,4.0,1.0,2,3.0,2.0,1,3.0,35,1.0,0.0,2,1.0,1,1.0,1.0,1
1.0,21,2.0,4.0,3414,2.0,2.0,2,3.0,2.0,1,0.0,26,1.0,1.0,2,1.0,1,0.0,1.0,0
3.0,18,1.0,7.0,6070,2.0,3.0,3,3.0,2.0,4,1.0,33,1.0,1.0,2,1.0,1,1.0,1.0,1
3.0,4,1.0,7.0,1503,2.0,1.0,2,3.0,2.0,1,2.0,42,1.0,1.0,2,3.0,2,0.0,1.0,1
3.0,9,1.0,7.0,3074,4.0,0.0,1,3.0,2.0,2,2.0,33,1.0,1.0,2,1.0,2,0.0,1.0,1
1.0,24,3.0,7.0,1823,2.0,4.0,4,3.0,2.0,2,1.0,30,2.0,1.0,1,0.0,2,0.0,1.0,0
0.0,36,3.0,7.0,2323,2.0,1.0,4,3.0,2.0,4,1.0,24,1.0,2.0,1,1.0,1,0.0,1.0,1
