carat,cut,color,clarity,depth,table,x,y,z,__target__
0.24,2.0,3.0,6.0,62.1,56.0,3.97,4.0,2.47,559
0.58,4.0,2.0,7.0,60.0,57.0,5.44,5.42,3.26,2201
0.4,2.0,1.0,7.0,62.1,55.0,4.76,4.74,2.95,1238
0.43,3.0,1.0,7.0,60.8,57.0,4.92,4.89,2.98,1304
1.55,2.0,1.0,3.0,62.3,55.0,7.44,7.37,4.61,6901
1.0,0.0,1.0,3.0,55.4,62.0,6.63,6.59,3.66,3011
0.51,2.0,2.0,4.0,60.2,56.0,5.22,5.24,3.15,1765
0.52,2.0,0.0,5.0,62.0,56.0,5.17,5.19,3.21,1679
0.62,3.0,1.0,5.0,60.0,59.0,5.58,5.56,3.34,2102
1.14,2.0,4.0,2.0,60.3,57.0,6.79,6.85,4.11,4789
0.4,2.0,0.0,3.0,62.8,56.0,4.73,4.7,2.96,855
1.83,4.0,1.0,3.0,62.8,56.0,7.76,7.82,4.89,13134
0.6,0.0,2.0,2.0,55.3,63.0,5.67,5.61,3.12,1367
0.7,4.0,2.0,2.0,63.5,56.0,5.58,5.66,3.57,2401
0.53,1.0,4.0,1.0,61.2,65.0,5.16,5.27,3.19,1440
1.55,2.0,5.0,4.0,61.2,55.0,7.49,7.47,4.58,10286
0.98,0.0,2.0,3.0,61.6,66.0,6.46,6.24,3.92,2958
0.4,2.0,1.0,6.0,62.6,56.0,4.73,4.7,2.95,1397
1.5,4.0,2.0,2.0,62.8,56.0,7.26,7.33,4.58,9904
0.35,4.0,5.0,4.0,60.7,62.0,4.53,4.59,2.77,552
2.07,3.0,5.0,5.0,61.2,58.0,8.18,8.2,5.01,18193
0.4,3.0,1.0,2.0,60.9,60.0,4.77,4.75,2.9,945
0.31,2.0,2.0,5.0,61.9,55.0,4.31,4.35,2.68,625
0.3,2.0,4.0,7.0,61.7,54.2,4.32,4.35,2.67,631
0.91,2.0,4.0,3.0,60.6,57.0,6.3,6.26,3.81,3854
0.53,2.0,1.0,2.0,61.4,56.0,5.21,5.24,3.21,1415
0.34,2.0,1.0,4.0,60.8,57.0,4.53,4.49,2.74,1033
2.02,2.0,2.0,3.0,62.7,57.0,8.07,7.93,5.03,13453
1.04,2.0,0.0,4.0,59.1,56.0,6.65,6.59,3.91,8341
0.23,2.0,2.0,5.0,61.8,55.0,3.93,3.96,2.43,493
1.01,2.0,2.0,3.0,62.5,55.0,6.39,6.4,4.0,4416
0.54,3.0,1.0,2.0,61.4,60.0,5.21,5.25,3.21,1422
2.01,4.0,6.0,2.0,63.4,57.0,7.97,7.89,5.03,11566
0.51,1.0,3.0,7.0,63.3,58.0,5.04,5.07,3.2,1800
0.5,4.0,2.0,7.0,62.8,55.0,5.0,5.13,3.18,2153
0.3,2.0,6.0,4.0,62.6,53.0,4.28,4.32,2.69,373
0.3,2.0,2.0,5.0,60.9,56.0,4.35,4.32,2.64,776
0.5,4.0,3.0,6.0,63.3,53.0,5.06,5.09,3.21,1885
0.51,4.0,3.0,7.0,63.1,58.0,5.11,5.07,3.21,1974
2.09,3.0,4.0,5.0,62.2,58.0,8.17,8.12,5.06,18443
0.62,2.0,3.0,4.0,60.7,55.0,5.55,5.59,3.38,2206
0.53,4.0,0.0,2.0,60.0,59.8,5.25,5.26,3.15,1724
0.4,3.0,1.0,3.0,61.4,59.0,4.75,4.7,2.9,855
2.0,4.0,4.0,2.0,62.2,57.0,7.97,8.08,4.99,15745
0.7,2.0,1.0,4.0,62.7,57.0,5.65,5.7,3.56,3016
0.42,1.0,2.0,2.0,63.1,56.0,4.79,4.82,3.03,722
1.6,2.0,2.0,2.0,61.0,57.0,7.54,7.6,4.62,12871
1.5,3.0,2.0,2.0,61.4,59.0,7.34,7.31,4.5,11588
2.52,1.0,3.0,3.0,63.7,59.0,8.57,8.52,5.44,17608
1.35,4.0,4.0,5.0,62.3,57.0,7.06,7.12,4.42,7549
0.33,2.0,3.0,1.0,61.9,56.0,4.43,4.47,2.75,925
1.41,1.0,4.0,5.0,63.8,60.0,7.04,7.12,4.52,9088
