Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,__target__
4.0,2.0,4,3,195,4,2.0,0.0,1,5004,0
4.0,0.0,3,4,252,4,1.0,0.0,10,5495,0
3.0,1.0,4,3,195,3,1.0,1.0,1,4236,1
1.0,2.0,3,1,138,3,1.0,0.0,41,1914,1
2.0,2.0,5,3,135,3,0.0,1.0,4,5858,0
0.0,0.0,3,5,255,7,2.0,1.0,8,4091,1
0.0,2.0,4,3,246,5,1.0,0.0,1,1673,1
1.0,1.0,2,4,179,2,1.0,0.0,19,1900,1
4.0,2.0,4,3,254,4,1.0,1.0,9,4492,0
4.0,2.0,3,4,148,4,0.0,0.0,1,4249,0
2.0,0.0,6,3,275,6,1.0,1.0,4,4875,0
1.0,2.0,3,4,210,3,1.0,1.0,10,4398,1
4.0,2.0,4,5,242,2,2.0,0.0,2,4806,1
1.0,1.0,5,4,188,7,2.0,0.0,48,2466,1
4.0,2.0,3,2,143,4,2.0,0.0,7,4486,0
4.0,2.0,2,4,187,6,2.0,0.0,9,4388,0
1.0,2.0,4,1,191,3,1.0,1.0,4,2724,1
4.0,2.0,6,4,250,4,1.0,1.0,3,1490,1
0.0,2.0,4,1,197,3,0.0,1.0,9,4917,0
1.0,2.0,2,4,134,3,1.0,0.0,42,1415,1
1.0,2.0,3,3,193,3,2.0,0.0,29,3453,1
1.0,2.0,2,2,173,3,1.0,0.0,10,4736,0
4.0,2.0,4,2,145,3,2.0,0.0,4,5122,1
0.0,2.0,4,5,134,3,1.0,0.0,8,5694,0
3.0,0.0,4,5,219,2,2.0,0.0,21,3830,1
4.0,2.0,4,5,222,2,2.0,1.0,2,4425,0
4.0,2.0,3,5,219,6,1.0,1.0,1,1394,0
0.0,2.0,4,5,258,5,2.0,1.0,2,1481,0
1.0,1.0,4,2,202,4,1.0,0.0,1,3602,1
4.0,2.0,4,5,275,3,2.0,1.0,1,5394,1
4.0,2.0,5,1,186,4,2.0,1.0,5,5239,0
0.0,2.0,4,2,139,3,2.0,1.0,5,1674,1
4.0,1.0,2,4,239,5,1.0,0.0,59,2181,1
3.0,2.0,3,5,198,2,2.0,0.0,62,3015,1
1.0,2.0,3,5,274,3,1.0,0.0,3,5156,0
3.0,2.0,5,5,104,4,1.0,1.0,2,5235,0
3.0,2.0,3,2,145,2,2.0,0.0,29,1690,1
1.0,1.0,3,2,143,4,2.0,0.0,22,1249,1
1.0,1.0,2,4,136,6,1.0,0.0,53,1213,1
4.0,2.0,3,3,275,3,1.0,0.0,61,2123,1
0.0,2.0,3,5,155,4,1.0,0.0,1,4432,1
4.0,2.0,3,3,168,2,1.0,0.0,10,4583,1
0.0,2.0,3,1,266,3,1.0,0.0,8,4574,0
1.0,2.0,3,2,158,2,2.0,0.0,8,5907,0
4.0,0.0,4,1,271,4,2.0,0.0,2,4133,1
2.0,2.0,5,4,273,3,1.0,0.0,60,3384,1
1.0,2.0,5,5,254,5,1.0,1.0,7,1967,0
