Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,__target__
39.0,37,4.3,27.16185,78.040165,27.20185,78.080165,3.0,2.0,36
338.0,29,5.0,13.027018,80.254791,13.117018,80.344791,0.0,3.0,24
580.0,22,4.1,17.426228,78.407495,17.506228,78.487495,2.0,2.0,34
380.0,38,4.6,11.021278,76.995017,11.051278,77.025017,0.0,2.0,24
384.0,33,4.9,11.001852,76.976268,11.011852,76.986268,2.0,1.0,28
237.0,25,4.0,12.972161,77.596014,13.042161,77.666014,2.0,2.0,38
1314.0,26,4.8,22.311844,73.165081,22.381844,73.235081,0.0,3.0,19
1313.0,30,4.3,0.0,0.0,0.09,0.09,3.0,2.0,41
1174.0,39,4.3,0.0,0.0,0.08,0.08,3.0,2.0,37
966.0,30,4.9,19.221315,72.862381,19.231315,72.872381,3.0,1.0,26
191.0,37,4.7,12.979166,77.640709,13.039166,77.700709,2.0,2.0,28
665.0,26,4.9,26.90519,75.810753,26.96519,75.870753,0.0,2.0,28
823.0,36,4.2,10.027364,76.308258,10.077364,76.358258,1.0,2.0,32
1176.0,28,4.6,23.374989,85.335486,23.444989,85.405486,0.0,2.0,18
1005.0,31,4.7,19.120083,72.907385,19.230083,73.017385,3.0,2.0,22
964.0,24,4.7,19.12663,72.829976,19.17663,72.879976,1.0,2.0,29
1240.0,38,4.7,21.157729,72.768726,21.177729,72.788726,0.0,2.0,28
479.0,29,4.8,0.0,0.0,0.06,0.06,1.0,3.0,19
1207.0,24,4.9,21.186608,72.794136,21.266608,72.874136,0.0,2.0,24
373.0,29,4.6,11.024839,77.007003,11.104839,77.087003,2.0,2.0,45
348.0,38,4.9,13.045479,80.23311,13.085479,80.27311,1.0,2.0,35
715.0,32,4.7,26.913726,75.75282,26.933726,75.77282,3.0,2.0,20
1060.0,22,4.7,0.0,0.0,0.13,0.13,1.0,3.0,19
407.0,34,4.8,11.010375,76.95295,11.070375,77.01295,2.0,2.0,33
555.0,29,4.6,17.433809,78.386744,17.443809,78.396744,2.0,2.0,28
1120.0,22,4.6,18.516216,73.842527,18.566216,73.892527,3.0,2.0,13
164.0,20,4.9,19.878028,75.317475,19.938028,75.377475,1.0,3.0,31
362.0,29,4.7,11.003008,76.97544,11.033008,77.00544,0.0,2.0,27
959.0,28,4.9,30.885915,75.788259,30.975915,75.878259,0.0,2.0,29
1185.0,31,4.9,23.371292,85.327872,23.481292,85.437872,2.0,3.0,25
783.0,26,5.0,9.979363,76.285001,10.049363,76.355001,3.0,3.0,27
310.0,28,4.6,13.091809,80.219104,13.111809,80.239104,3.0,3.0,19
75.0,28,4.7,25.457687,81.835585,25.467687,81.845585,3.0,2.0,13
614.0,25,4.6,22.753659,75.903365,22.813659,75.963365,3.0,3.0,18
1239.0,21,4.5,21.157729,72.768726,21.197729,72.808726,2.0,2.0,19
1058.0,37,5.0,12.310972,76.659264,12.340972,76.689264,2.0,3.0,29
324.0,23,4.9,13.022394,80.242439,13.092394,80.312439,3.0,3.0,16
682.0,28,5.0,26.766536,75.837333,26.786536,75.857333,2.0,2.0,19
1227.0,21,4.8,21.175975,72.795503,21.215975,72.835503,2.0,2.0,29
318.0,33,4.8,13.054347,80.257221,13.164347,80.367221,3.0,2.0,29
209.0,25,4.6,12.934179,77.615797,12.994179,77.675797,3.0,2.0,20
397.0,29,4.8,11.003669,76.976494,11.053669,77.026494,0.0,2.0,19
674.0,31,4.7,26.902328,75.794257,26.932328,75.824257,2.0,2.0,30
373.0,31,4.1,11.024839,77.007003,11.074839,77.057003,0.0,2.0,34
1010.0,38,4.7,19.121999,72.908493,19.181999,72.968493,3.0,3.0,17
1130.0,20,4.9,18.530963,73.828972,18.560963,73.858972,1.0,2.0,10
167.0,31,4.1,0.0,0.0,0.09,0.09,0.0,2.0,41
1092.0,25,4.6,18.51421,73.838429,18.55421,73.878429,2.0,3.0,23
339.0,39,4.3,13.026279,80.174568,13.066279,80.214568,2.0,2.0,39
912.0,25,4.8,30.914057,75.83982,31.024057,75.94982,1.0,1.0,24
1207.0,29,5.0,21.186608,72.794136,21.266608,72.874136,1.0,2.0,34
705.0,34,3.5,26.849596,75.800512,26.959596,75.910512,3.0,3.0,38
1311.0,29,4.6,0.0,0.0,0.01,0.01,1.0,2.0,19
1300.0,30,4.6,22.311603,73.165012,22.391603,73.245012,3.0,2.0,41
1114.0,21,4.3,18.520016,73.830547,18.570016,73.880547,3.0,2.0,52
1259.0,24,5.0,21.15276,72.778059,21.21276,72.838059,2.0,2.0,26
1139.0,29,4.6,18.592718,73.773572,18.652718,73.833572,1.0,2.0,17
687.0,39,4.4,26.911378,75.789034,27.021378,75.899034,2.0,3.0,39
