month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,__target__
3,15500,12,28,1.0,0.0,13.0,0.0,2.0,26000,1.0,1.0,0.0,0
3,25500,16,22,0.0,5.0,3.0,0.0,2.0,31000,0.0,0.0,1.0,0
4,31000,18,32,0.0,5.0,3.0,0.0,2.0,13000,0.0,1.0,1.0,1
4,23500,10,22,0.0,5.0,13.0,0.0,2.0,31000,0.0,1.0,1.0,0
7,8000,8,31,0.0,5.0,6.0,0.0,2.0,31000,0.0,0.0,0.0,0
7,18000,10,35,1.0,4.0,11.0,1.0,2.0,101000,0.0,1.0,0.0,0
7,127000,15,50,0.0,0.0,19.0,1.0,2.0,66000,0.0,1.0,1.0,0
10,19000,4,60,1.0,5.0,11.0,0.0,2.0,9000,1.0,1.0,0.0,0
7,35000,6,42,0.0,5.0,13.0,1.0,2.0,51000,0.0,2.0,1.0,0
3,37000,12,26,1.0,0.0,13.0,1.0,2.0,27000,1.0,3.0,0.0,0
2,31000,16,56,1.0,5.0,3.0,1.0,2.0,33000,0.0,0.0,1.0,0
12,9000,12,32,1.0,5.0,3.0,1.0,2.0,13000,0.0,1.0,0.0,1
2,13500,6,24,0.0,0.0,7.0,0.0,2.0,21000,0.0,0.0,1.0,0
12,22000,12,37,1.0,5.0,13.0,1.0,2.0,22000,0.0,1.0,0.0,0
7,23500,6,36,1.0,0.0,13.0,1.0,2.0,31000,0.0,1.0,0.0,0
1,37500,3,40,0.0,0.0,13.0,1.0,0.0,51000,0.0,1.0,1.0,0
1,31500,6,39,1.0,5.0,3.0,0.0,0.0,42000,1.0,1.0,1.0,0
11,10000,12,29,1.0,0.0,3.0,1.0,2.0,24000,1.0,2.0,0.0,1
2,22000,12,49,0.0,5.0,6.0,1.0,2.0,41000,0.0,0.0,1.0,0
7,57000,8,26,0.0,0.0,11.0,1.0,2.0,31000,0.0,4.0,1.0,0
1,10500,10,49,0.0,5.0,13.0,0.0,0.0,16000,0.0,1.0,1.0,0
2,11000,3,29,0.0,5.0,11.0,0.0,1.0,31000,0.0,1.0,1.0,0
4,22000,4,24,0.0,4.0,14.0,0.0,0.0,61000,1.0,4.0,1.0,1
5,22500,12,62,1.0,0.0,21.0,1.0,2.0,16000,1.0,3.0,1.0,0
11,27000,10,25,1.0,0.0,13.0,0.0,2.0,31000,0.0,3.0,1.0,0
10,5500,6,26,0.0,4.0,3.0,0.0,2.0,21000,0.0,0.0,1.0,0
11,14000,12,31,1.0,5.0,5.0,1.0,2.0,16000,0.0,1.0,1.0,0
6,48500,6,25,0.0,0.0,6.0,0.0,1.0,91000,1.0,1.0,0.0,0
6,30000,18,26,1.0,5.0,3.0,1.0,2.0,33000,0.0,1.0,1.0,1
4,15000,10,34,1.0,5.0,11.0,0.0,2.0,19000,0.0,1.0,0.0,0
5,85500,15,44,0.0,5.0,11.0,1.0,2.0,41000,0.0,1.0,0.0,0
4,12000,6,47,0.0,4.0,3.0,0.0,2.0,31000,0.0,0.0,1.0,0
10,12500,6,24,0.0,5.0,13.0,0.0,2.0,23000,0.0,1.0,0.0,0
7,19000,12,73,1.0,5.0,21.0,0.0,2.0,16000,0.0,0.0,1.0,0
3,44000,12,41,0.0,5.0,6.0,1.0,2.0,81000,1.0,0.0,1.0,0
7,15000,6,22,0.0,5.0,6.0,0.0,2.0,19000,0.0,0.0,1.0,0
1,10000,11,42,1.0,5.0,13.0,1.0,2.0,21000,1.0,0.0,1.0,0
12,16500,12,25,0.0,0.0,13.0,0.0,2.0,36000,0.0,0.0,0.0,0
7,48000,24,35,1.0,4.0,1.0,1.0,2.0,16000,1.0,3.0,1.0,0
5,7000,3,58,1.0,5.0,13.0,1.0,2.0,31000,0.0,0.0,1.0,0
10,34000,12,54,1.0,5.0,13.0,0.0,2.0,11000,0.0,1.0,1.0,0
9,17500,24,35,0.0,0.0,11.0,1.0,2.0,41000,0.0,1.0,1.0,0
12,38000,10,54,1.0,5.0,0.0,0.0,2.0,44000,0.0,0.0,1.0,0
12,30000,4,68,1.0,0.0,5.0,0.0,0.0,41000,0.0,2.0,1.0,0
12,17500,10,64,0.0,0.0,3.0,0.0,2.0,36000,1.0,1.0,1.0,0
7,16500,5,34,1.0,5.0,13.0,0.0,2.0,18000,0.0,0.0,1.0,0
11,33500,12,53,0.0,4.0,11.0,0.0,2.0,19000,0.0,3.0,1.0,0
3,69000,24,42,1.0,5.0,13.0,1.0,2.0,36000,0.0,0.0,0.0,0
10,28500,24,31,0.0,5.0,13.0,1.0,2.0,31000,0.0,3.0,0.0,0
1,15000,6,33,0.0,5.0,11.0,1.0,2.0,14000,0.0,2.0,0.0,0
8,22500,12,19,0.0,5.0,3.0,0.0,2.0,31000,0.0,0.0,1.0,0
12,17000,12,36,0.0,5.0,3.0,0.0,2.0,41000,1.0,2.0,1.0,0
2,10000,6,23,0.0,1.0,13.0,1.0,2.0,19000,0.0,0.0,0.0,0
8,43000,10,33,1.0,5.0,21.0,1.0,0.0,28000,1.0,0.0,0.0,0
4,63500,15,23,1.0,5.0,19.0,0.0,0.0,34000,0.0,0.0,0.0,0
8,9500,6,45,1.0,5.0,13.0,1.0,2.0,24000,0.0,0.0,1.0,1
11,31000,12,21,1.0,0.0,13.0,1.0,0.0,36000,0.0,2.0,0.0,0
5,19000,24,28,1.0,5.0,13.0,0.0,2.0,31000,0.0,1.0,1.0,0
2,29000,11,25,1.0,0.0,10.0,0.0,0.0,56000,1.0,1.0,1.0,0
9,7000,12,37,1.0,5.0,3.0,1.0,0.0,31000,0.0,3.0,1.0,0
4,34500,12,26,1.0,5.0,11.0,1.0,2.0,76000,1.0,1.0,0.0,0
2,12500,4,32,1.0,4.0,6.0,1.0,2.0,19000,1.0,2.0,1.0,0
3,31000,12,22,0.0,1.0,3.0,0.0,2.0,31000,0.0,2.0,1.0,0
11,18500,12,33,1.0,5.0,13.0,1.0,2.0,16000,0.0,0.0,1.0,0
6,44000,12,23,0.0,5.0,6.0,0.0,2.0,23000,0.0,0.0,0.0,0
4,32500,24,26,0.0,1.0,13.0,0.0,0.0,121000,0.0,1.0,0.0,0
1,26000,10,38,1.0,0.0,13.0,1.0,0.0,51000,0.0,3.0,0.0,0
4,19000,12,27,0.0,5.0,3.0,0.0,0.0,31000,1.0,0.0,0.0,0
4,36500,24,44,1.0,5.0,21.0,1.0,0.0,26000,1.0,3.0,1.0,0
2,6500,10,38,1.0,0.0,3.0,1.0,2.0,16000,0.0,1.0,0.0,0
11,63500,24,26,1.0,0.0,13.0,1.0,2.0,56000,0.0,2.0,1.0,0
1,30000,12,26,0.0,5.0,3.0,0.0,2.0,41000,0.0,2.0,0.0,0
5,14500,10,35,1.0,5.0,3.0,1.0,2.0,40000,0.0,1.0,1.0,0
3,51500,8,34,0.0,0.0,20.0,0.0,0.0,51000,0.0,0.0,0.0,0
2,54000,3,45,1.0,0.0,13.0,0.0,2.0,101000,1.0,3.0,1.0,0
11,32500,12,32,0.0,5.0,3.0,0.0,0.0,36000,1.0,1.0,1.0,0
4,15000,10,65,1.0,5.0,14.0,0.0,2.0,11000,1.0,2.0,0.0,0
3,26000,8,31,0.0,5.0,6.0,0.0,2.0,36000,0.0,0.0,0.0,0
1,26500,18,24,1.0,4.0,3.0,0.0,2.0,26000,0.0,1.0,1.0,0
1,12000,10,26,1.0,0.0,13.0,0.0,2.0,26000,1.0,1.0,0.0,0
3,27500,12,30,0.0,0.0,13.0,0.0,0.0,21000,0.0,1.0,0.0,0
6,25500,11,31,1.0,0.0,10.0,0.0,0.0,66000,0.0,2.0,0.0,0
3,19500,12,23,0.0,5.0,13.0,0.0,2.0,18000,1.0,0.0,1.0,0
4,30500,6,29,1.0,0.0,11.0,1.0,2.0,36000,0.0,1.0,1.0,0
11,45500,24,32,1.0,1.0,6.0,1.0,2.0,41000,0.0,1.0,0.0,0
12,33000,6,60,1.0,0.0,13.0,0.0,1.0,46000,0.0,1.0,1.0,0
10,26500,18,21,1.0,5.0,3.0,1.0,2.0,35000,1.0,1.0,0.0,1
2,53500,36,48,1.0,4.0,21.0,1.0,2.0,20000,0.0,2.0,1.0,0
11,10500,4,53,1.0,5.0,5.0,1.0,2.0,11000,0.0,1.0,0.0,0
8,8500,4,30,0.0,0.0,13.0,1.0,2.0,31000,0.0,0.0,0.0,0
1,30000,12,49,1.0,4.0,5.0,1.0,2.0,26000,0.0,2.0,0.0,0
9,18000,6,49,0.0,0.0,3.0,1.0,0.0,56000,1.0,2.0,1.0,1
1,74500,24,30,0.0,0.0,11.0,1.0,0.0,51000,0.0,0.0,1.0,0
7,22000,8,24,0.0,0.0,13.0,0.0,2.0,51000,0.0,1.0,1.0,0
12,80000,12,31,1.0,0.0,13.0,1.0,2.0,66000,1.0,3.0,0.0,0
6,20000,12,20,1.0,5.0,6.0,0.0,2.0,26000,0.0,2.0,1.0,0
2,38000,18,22,1.0,5.0,11.0,1.0,2.0,16000,0.0,3.0,1.0,0
7,8000,6,31,0.0,5.0,13.0,0.0,2.0,31000,0.0,1.0,1.0,0
3,26500,4,27,1.0,0.0,3.0,0.0,2.0,36000,0.0,3.0,0.0,0
1,48000,24,54,0.0,0.0,13.0,1.0,0.0,26000,0.0,1.0,0.0,0
8,5500,6,23,1.0,5.0,14.0,0.0,1.0,31000,0.0,0.0,0.0,0
2,40500,18,39,1.0,4.0,8.0,1.0,0.0,41000,0.0,0.0,1.0,0
12,53000,10,47,1.0,4.0,13.0,0.0,2.0,16000,0.0,2.0,1.0,0
10,23000,10,48,0.0,5.0,6.0,1.0,2.0,28000,0.0,1.0,1.0,0
7,14500,10,20,1.0,5.0,3.0,0.0,2.0,18000,0.0,0.0,0.0,0
9,6000,3,27,0.0,1.0,13.0,1.0,2.0,46000,0.0,1.0,0.0,0
11,26000,12,30,0.0,4.0,13.0,0.0,0.0,41000,0.0,1.0,0.0,0
6,8000,6,55,1.0,4.0,3.0,0.0,2.0,16000,0.0,0.0,0.0,0
9,14000,6,27,0.0,4.0,3.0,0.0,2.0,24000,0.0,0.0,0.0,0
12,19000,12,28,1.0,0.0,3.0,0.0,2.0,21000,0.0,1.0,1.0,0
8,13000,12,27,1.0,5.0,3.0,0.0,2.0,31000,0.0,1.0,0.0,0
10,9000,3,48,1.0,5.0,7.0,1.0,2.0,31000,1.0,4.0,0.0,0
10,6000,4,23,0.0,5.0,13.0,0.0,2.0,51000,0.0,0.0,1.0,0
10,124000,15,56,1.0,0.0,11.0,0.0,2.0,51000,0.0,0.0,1.0,0
6,55000,24,25,0.0,0.0,5.0,0.0,2.0,46000,0.0,1.0,1.0,0
7,14500,10,26,1.0,0.0,14.0,0.0,2.0,26000,0.0,1.0,1.0,0
9,18000,12,32,1.0,0.0,13.0,1.0,2.0,26000,1.0,2.0,1.0,0
3,25500,24,29,1.0,4.0,14.0,0.0,2.0,16000,1.0,1.0,1.0,1
2,10000,12,24,1.0,0.0,3.0,0.0,2.0,24000,0.0,1.0,0.0,0
