s12,s13,s14,s15,s16,s21,s23,s24,s25,s26,s31,s32,s34,s35,s36,s41,s42,s43,s45,s46,s51,s52,s53,s54,s56,s61,s62,s63,s64,s65,__target__
-0.003579,-0.000662,-0.004398,0.0007,-0.000596,-0.001189,-0.001279,-0.000173,-0.001869,-0.001089,-0.004913,-0.006806,-0.001129,-0.000536,0.003693,-0.001344,0.000671,0.0007,0.004032,0.002705,-0.00192,-0.000946,0.002863,-0.003791,-0.00434,-0.000343,0.001943,0.00169,0.003439,-0.003544,0
-0.00243,-0.000162,-0.000569,-0.002403,-0.001296,0.001607,0.00081,-0.00216,-0.000746,-0.000127,-0.002931,-0.004125,-0.000629,-0.000612,0.002038,0.00046,-0.000308,0.00011,0.002435,0.001763,-0.001234,-0.00086,0.0026,-0.002455,-0.002046,-0.001121,0.000183,0.001477,0.001695,-0.001755,0
-0.001734,-0.000395,-0.002408,0.000565,0.000449,0.00071,-0.001021,-0.000232,-0.000349,-0.000285,-0.002542,-0.005056,-0.001204,-0.00061,0.002158,-0.000243,0.000363,0.000262,0.002148,0.002272,-0.001162,-0.000816,0.002349,-0.002044,-0.002054,-0.000767,0.000378,0.001053,0.001914,-0.001463,1
-0.002162,-0.000671,-0.002827,0.001171,0.000962,0.000818,-0.000858,-0.000234,-0.000155,0.00019,-0.002773,-0.004193,-0.000177,-0.000408,0.002698,0.000221,-2.1e-05,0.000147,0.001624,0.002226,-0.001414,-0.000491,0.002207,-0.001881,-0.00236,-0.001057,0.000638,0.001278,0.001723,-0.002301,1
-0.002897,0.000502,-0.001618,-0.001871,-0.000838,0.002747,0.000476,-0.002324,-0.001589,-0.000247,-0.002637,-0.003645,-0.001476,-0.000439,0.002205,0.000154,-0.000137,0.000663,0.002153,0.002447,-0.001148,-0.000915,0.001908,-0.002232,-0.00219,-0.000976,0.000156,0.001401,0.00162,-0.001935,0
-0.002553,-1.3e-05,-0.003012,0.000818,0.000147,0.00023,-0.000975,0.000277,-0.000541,0.000391,-0.002841,-0.004373,0.000321,-0.000219,0.002516,0.000174,-0.00037,0.000361,0.00181,0.002113,-0.001502,-0.000591,0.002123,-0.001957,-0.002182,-0.00124,0.000569,0.000991,0.001756,-0.002115,0
-0.002764,-0.000405,-0.000991,-0.001797,0.000315,0.001922,0.000956,-0.002393,-0.00039,0.000203,-0.002501,-0.004079,0.000262,-0.000321,0.002609,0.000184,-0.000528,6.8e-05,0.001787,0.002036,-0.001261,-0.000933,0.002495,-0.002161,-0.002133,-0.001368,0.000456,0.001017,0.001837,-0.001971,0
-0.002734,-0.000368,-0.00486,0.002302,0.000513,0.001941,-0.002289,-0.000483,-0.002584,-0.000413,-0.004435,-0.005216,-0.002757,0.000214,0.00365,-7e-06,8.6e-05,0.000773,0.003671,0.003072,-0.002231,-0.001459,0.002852,-0.004208,-0.004363,-0.000845,0.001394,0.00222,0.002269,-0.003761,0
-0.002377,0.000494,-0.00274,0.000745,-0.000123,0.000844,-0.001189,0.000205,-0.001427,-9.6e-05,-0.002766,-0.003945,-0.001387,-0.000528,0.002027,9.1e-05,-0.000153,0.000448,0.002386,0.002208,-0.001089,-0.000817,0.001723,-0.002485,-0.002235,-0.001058,0.000199,0.001324,0.001479,-0.002316,1
-0.001835,-0.000766,-0.00264,0.000622,1.3e-05,0.00057,-0.000999,-0.000105,-0.000539,-0.000159,-0.002409,-0.005175,-0.001324,-0.000635,0.002171,-7.3e-05,0.0002,0.000287,0.0018,0.002207,-0.001235,-0.000683,0.002086,-0.001927,-0.002115,-0.000866,0.000512,0.001204,0.001981,-0.00146,1
-0.002979,-0.000625,-0.004821,0.001726,0.00112,0.000879,-0.001664,-0.000309,-0.000231,-5e-06,-0.005851,-0.006051,-3.1e-05,-0.00077,0.004359,-0.000537,-0.000717,-2.4e-05,0.003501,0.002574,-0.00221,-0.000898,0.003421,-0.003622,-0.004154,-0.000884,0.001375,0.001917,0.002607,-0.00406,0
-0.001941,-0.000905,-0.002734,0.001168,-0.00016,-0.000564,-0.000583,-0.000471,-0.000151,9.5e-05,-0.002423,-0.005046,-0.001003,-0.000586,0.002423,0.000115,0.000381,0.000369,0.001796,0.002093,-0.00121,-0.000608,0.00217,-0.002102,-0.002369,-0.001095,0.000583,0.001313,0.002126,-0.001654,1
-0.003672,-0.001059,-0.004722,0.002472,0.001411,0.000278,-0.001109,-0.000412,-0.000396,0.000171,-0.005948,-0.006392,-0.00081,-0.000792,0.004274,-0.000355,0.000556,0.000682,0.003144,0.003026,-0.002273,-0.000523,0.002637,-0.004133,-0.004614,-0.000842,0.001791,0.001944,0.002482,-0.004211,1
