MedianIncome,HousingMedianAge,TotalRooms,TotalBedrooms,Population,Households,Latitude,Longitude,__target__
1.6812,25,1505.0,367.0,1392.0,359.0,36.06,-119.01,10.772686676876432
2.5313,30,2943.0,697.0,1565.0,584.0,35.14,-119.46,10.732039370102276
3.4801,52,3830.0,1142.0,1310.0,963.0,37.8,-122.44,13.122365377402328
5.7376,17,3051.0,505.0,1705.0,495.0,34.28,-118.72,12.294998854724575
3.725,34,2351.0,440.0,1063.0,428.0,36.62,-121.93,12.535376392672774
4.7147,12,4427.0,822.0,2400.0,843.0,34.08,-117.61,11.9747709065145
5.0839,36,1375.0,242.0,670.0,221.0,33.89,-118.02,12.197031900878024
3.6908,38,1335.0,282.0,1011.0,269.0,33.92,-118.08,11.967180737247824
4.8036,4,2292.0,605.0,1050.0,584.0,37.39,-122.08,12.736700896592344
8.1132,45,2332.0,343.0,943.0,339.0,34.18,-118.23,13.009418618388194
2.5417,30,473.0,109.0,242.0,93.0,38.01,-120.37,11.721564330081556
3.0,35,2248.0,615.0,1762.0,622.0,34.08,-118.12,12.44469576769277
2.8594,20,4413.0,1189.0,4818.0,1063.0,33.76,-117.91,12.27885831525582
3.3409,18,3620.0,852.0,3171.0,779.0,34.2,-119.19,12.303652973869038
5.3668,27,3700.0,568.0,1793.0,552.0,33.92,-117.98,12.300473320951658
3.8201,22,6269.0,1279.0,5587.0,1251.0,34.02,-117.91,11.821879672697548
3.9063,41,746.0,145.0,387.0,161.0,37.69,-122.1,12.091783499128049
4.1346,26,467.0,93.0,244.0,83.0,37.48,-121.02,12.141534124392605
3.8233,36,2024.0,408.0,1030.0,390.0,32.75,-117.05,11.847968108781847
2.1875,27,1380.0,270.0,810.0,262.0,37.43,-120.97,11.831379196088765
4.2297,47,4234.0,1156.0,1808.0,1093.0,37.45,-122.16,12.959844447906551
4.3667,50,2519.0,537.0,1117.0,516.0,34.07,-118.37,12.91312273125911
5.3478,8,3602.0,547.0,1959.0,580.0,36.83,-119.73,11.84078932705484
6.1323,32,4497.0,730.0,1846.0,715.0,37.59,-122.39,13.122365377402328
4.2234,16,3217.0,716.0,2054.0,687.0,32.9,-117.14,11.995968707723769
1.9602,38,1281.0,297.0,1423.0,293.0,36.53,-119.38,10.847393451443256
2.5504,26,3543.0,1055.0,2742.0,951.0,33.96,-118.36,11.927019899776448
3.25,38,544.0,89.0,240.0,91.0,40.55,-124.13,11.459524688243112
3.65,22,2987.0,563.0,1420.0,540.0,37.96,-121.98,12.226365348797936
6.2028,35,2790.0,447.0,1167.0,441.0,33.72,-118.3,12.798017320580955
1.6196,38,992.0,279.0,732.0,259.0,37.75,-122.17,11.351582314561464
1.23,47,1315.0,247.0,785.0,245.0,34.03,-118.31,11.837903322165706
3.4286,5,1824.0,509.0,892.0,426.0,32.75,-117.23,11.831379196088765
7.1108,29,1229.0,192.0,707.0,194.0,37.37,-122.08,13.049792684569493
3.4919,44,1819.0,365.0,1137.0,354.0,37.75,-122.5,12.51282178069918
5.5061,17,10267.0,1683.0,4956.0,1483.0,34.46,-118.5,12.38589107210601
4.375,34,707.0,159.0,381.0,156.0,37.6,-122.39,12.739344458125997
3.4115,35,2093.0,407.0,1755.0,403.0,34.03,-117.96,11.921053690497876
3.0917,48,1127.0,188.0,530.0,186.0,38.87,-121.13,11.760566487884825
2.7321,41,756.0,195.0,873.0,212.0,33.98,-118.17,11.957611286231677
6.6073,17,5512.0,765.0,2734.0,814.0,34.29,-118.75,12.461102385706706
3.7917,24,1302.0,232.0,693.0,243.0,36.61,-119.45,11.413105129688017
2.2679,25,421.0,102.0,303.0,106.0,37.78,-120.85,11.174651606402389
3.4679,18,3833.0,1056.0,2192.0,996.0,33.73,-117.98,12.300018258372702
3.9336,15,3393.0,653.0,2039.0,611.0,34.04,-117.65,11.925035115797062
3.0221,28,3386.0,815.0,2240.0,737.0,34.2,-118.43,12.577980970109495
3.5096,34,2061.0,391.0,1169.0,400.0,32.73,-117.03,11.8635823365834
3.0875,31,3062.0,596.0,1263.0,539.0,32.77,-117.09,12.582795284772684
2.7451,42,1731.0,435.0,866.0,403.0,33.73,-118.3,12.450586222580576
3.2216,34,4183.0,702.0,1891.0,669.0,40.86,-124.06,11.493742645553455
4.5,18,2021.0,353.0,912.0,329.0,38.46,-122.91,12.436787462340702
2.6036,29,2559.0,787.0,1886.0,769.0,34.25,-118.28,11.995968707723769
3.4286,31,1307.0,245.0,752.0,231.0,32.84,-116.95,11.770663661048935
1.5917,28,1401.0,292.0,967.0,257.0,37.3,-120.4,11.400875961161606
2.788,42,1670.0,434.0,1997.0,452.0,34.04,-118.18,11.921718363171069
5.4337,11,3045.0,522.0,1563.0,516.0,36.3,-119.33,11.804101426676263
2.0388,26,2972.0,603.0,1972.0,532.0,34.11,-117.22,11.294769455167058
5.0758,35,3189.0,527.0,1727.0,500.0,34.05,-117.91,12.260087233836412
4.5987,29,1213.0,228.0,654.0,246.0,32.79,-117.2,12.451369001485515
5.5563,13,7910.0,1195.0,3382.0,1176.0,33.94,-117.34,12.27606501735021
4.2287,32,2035.0,520.0,934.0,512.0,33.74,-118.1,13.122365377402328
2.8793,42,1372.0,275.0,674.0,271.0,34.05,-118.36,12.216517903391711
2.6343,14,2799.0,618.0,2294.0,596.0,37.73,-120.93,11.308358299228956
2.9485,29,1429.0,268.0,672.0,266.0,40.92,-124.0,11.50085288373596
6.2473,24,4177.0,624.0,1704.0,606.0,33.68,-117.98,12.549307677102204
3.5518,24,3059.0,729.0,2064.0,629.0,33.83,-118.26,12.125946601050888
2.7457,37,1549.0,301.0,863.0,275.0,38.16,-122.41,12.447841660967548
4.0767,5,5526.0,1102.0,3207.0,1012.0,38.03,-121.95,11.871298965544542
1.2254,42,2472.0,1368.0,3795.0,1179.0,34.06,-118.28,11.998433280751929
2.475,43,464.0,116.0,416.0,120.0,34.06,-118.17,11.867798786962332
3.5962,15,5343.0,1002.0,2503.0,902.0,40.5,-120.67,11.360939107972346
4.7933,37,3342.0,569.0,1635.0,557.0,37.67,-122.14,12.138328993443654
3.5417,16,1551.0,271.0,1010.0,292.0,36.79,-119.68,11.174651606402389
4.105,16,5203.0,898.0,2515.0,862.0,32.83,-116.91,12.069106790457017
3.4698,31,1547.0,344.0,956.0,287.0,33.9,-118.35,12.323855681186558
3.7813,14,2313.0,411.0,954.0,397.0,38.35,-122.7,11.894780707439258
6.1064,33,4719.0,758.0,1980.0,757.0,37.51,-122.28,12.911642346088676
4.0167,18,2626.0,530.0,1302.0,522.0,33.51,-117.66,12.152671868803058
