city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,__target__
48.0,0.91,3.0,0.0,3.0,0.0,5.0,16.0,5.0,5.0,0.0,21,0
5.0,0.92,0.0,0.0,3.0,2.0,2.0,21.0,1.0,1.0,1.0,74,0
6.0,0.924,3.0,0.0,3.0,0.0,5.0,19.0,0.0,5.0,0.0,94,0
64.0,0.624,1.0,0.0,3.0,2.0,5.0,6.0,3.0,5.0,0.0,75,0
29.0,0.698,1.0,1.0,3.0,2.0,5.0,3.0,5.0,2.0,0.0,157,0
85.0,0.8959999999999999,1.0,0.0,3.0,1.0,6.0,4.0,2.0,4.0,1.0,59,0
5.0,0.92,1.0,0.0,3.0,0.0,5.0,21.0,4.0,5.0,4.0,56,1
5.0,0.92,1.0,1.0,0.0,0.0,5.0,16.0,8.0,6.0,0.0,220,0
22.0,0.479,3.0,0.0,0.0,3.0,5.0,21.0,3.0,5.0,4.0,44,0
55.0,0.878,1.0,1.0,3.0,4.0,6.0,16.0,7.0,5.0,2.0,12,0
85.0,0.8959999999999999,1.0,0.0,3.0,3.0,5.0,21.0,4.0,5.0,6.0,222,0
5.0,0.92,1.0,0.0,3.0,2.0,5.0,21.0,8.0,6.0,4.0,55,1
22.0,0.479,1.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,5.0,23,1
64.0,0.624,3.0,0.0,0.0,0.0,5.0,11.0,0.0,4.0,1.0,80,0
48.0,0.91,1.0,0.0,3.0,0.0,5.0,21.0,4.0,5.0,3.0,25,0
100.0,0.795,3.0,0.0,0.0,0.0,5.0,1.0,4.0,6.0,0.0,29,0
101.0,0.754,3.0,0.0,3.0,0.0,5.0,17.0,1.0,5.0,0.0,100,0
2.0,0.887,1.0,1.0,3.0,2.0,5.0,1.0,8.0,6.0,1.0,24,1
48.0,0.91,1.0,0.0,3.0,1.0,6.0,21.0,8.0,6.0,0.0,40,0
66.0,0.698,1.0,0.0,3.0,2.0,5.0,21.0,1.0,5.0,0.0,30,0
43.0,0.698,0.0,1.0,0.0,0.0,5.0,18.0,2.0,4.0,0.0,94,1
4.0,0.804,3.0,0.0,3.0,2.0,5.0,19.0,8.0,6.0,1.0,25,1
64.0,0.624,1.0,0.0,0.0,2.0,5.0,13.0,4.0,5.0,0.0,100,1
14.0,0.789,0.0,1.0,0.0,0.0,5.0,13.0,8.0,6.0,6.0,16,1
114.0,0.925,3.0,1.0,3.0,0.0,5.0,0.0,4.0,5.0,0.0,98,0
69.0,0.848,1.0,0.0,3.0,0.0,4.0,13.0,4.0,5.0,6.0,32,0
5.0,0.92,1.0,0.0,3.0,0.0,5.0,21.0,6.0,5.0,4.0,78,0
