Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,__target__
1953,2.0,4.0,40464.0,0,1,159.0,78,424,17,118,7,23,41,6,8,2,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1960,2.0,6.0,47916.0,0,1,110.0,72,505,0,26,0,0,75,5,7,4,6,6,0.0,1.0,0.0,0.0,0.0,0.0,0
1972,1.0,3.0,14188.0,0,0,202.0,40,2,7,11,16,12,27,1,2,0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1969,2.0,5.0,76653.0,0,0,364.0,91,736,63,946,219,189,126,1,4,7,11,2,0.0,0.0,1.0,1.0,0.0,0.0,0
1958,2.0,5.0,65196.0,0,2,342.0,34,743,19,181,12,0,200,2,7,6,11,5,1.0,0.0,0.0,0.0,0.0,0.0,0
1958,2.0,5.0,53977.0,0,1,297.0,21,620,16,165,0,24,82,5,5,5,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1960,3.0,5.0,73113.0,0,0,488.0,86,741,19,154,50,9,28,1,3,4,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1957,2.0,3.0,71113.0,0,1,479.0,95,495,33,255,11,33,8,4,6,7,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0
1983,2.0,4.0,22148.0,0,0,589.0,16,15,5,14,0,4,11,1,1,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1982,2.0,3.0,22448.0,1,0,545.0,86,3,1,8,23,2,18,3,2,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1951,0.0,3.0,78497.0,0,0,463.0,44,207,26,447,75,0,223,1,5,7,12,2,0.0,0.0,0.0,1.0,0.0,0.0,0
1983,4.0,3.0,86580.0,0,0,201.0,72,532,21,127,26,20,20,0,4,2,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0
1979,2.0,5.0,21645.0,1,0,35.0,75,14,0,23,4,5,19,3,3,0,3,9,0.0,0.0,0.0,0.0,0.0,0.0,1
1968,4.0,2.0,42564.0,0,1,150.0,28,324,48,186,39,18,198,6,6,8,4,7,1.0,0.0,0.0,0.0,0.0,0.0,1
1952,2.0,3.0,67433.0,0,2,333.0,51,615,28,259,12,48,30,4,6,5,13,4,0.0,1.0,0.0,0.0,0.0,0.0,0
1955,3.0,2.0,46390.0,0,1,611.0,56,95,14,64,2,9,38,1,4,2,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1970,2.0,2.0,44267.0,1,1,199.0,48,183,5,65,3,5,49,5,5,2,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0
1967,2.0,3.0,77870.0,0,1,23.0,93,1017,50,500,65,50,133,3,5,5,5,8,0.0,1.0,0.0,1.0,0.0,0.0,1
1977,2.0,4.0,28769.0,1,0,135.0,76,41,5,129,10,3,3,3,4,1,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0
1975,2.0,4.0,56243.0,1,2,492.0,26,347,0,35,4,3,7,6,4,2,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1977,2.0,3.0,42014.0,1,0,18.0,56,244,15,108,4,15,50,6,7,1,6,8,0.0,0.0,0.0,0.0,0.0,0.0,1
1962,2.0,5.0,72025.0,0,0,105.0,27,833,33,549,151,133,233,1,4,3,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1968,2.0,6.0,73455.0,0,0,433.0,98,901,61,757,186,163,20,1,6,5,10,3,0.0,1.0,0.0,0.0,0.0,0.0,0
1974,2.0,4.0,32233.0,1,0,20.0,26,138,15,35,25,11,72,2,6,2,2,9,1.0,0.0,0.0,0.0,0.0,0.0,1
1972,2.0,4.0,72504.0,0,1,237.0,43,604,26,470,123,161,94,2,5,9,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1981,2.0,3.0,40211.0,1,1,347.0,30,51,1,7,2,1,25,2,2,1,2,8,1.0,0.0,0.0,0.0,0.0,0.0,0
1961,2.0,3.0,60544.0,1,1,26.0,92,201,2,43,3,5,35,4,5,1,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1983,3.0,3.0,36262.0,0,0,397.0,24,88,39,54,64,28,153,1,3,5,3,6,1.0,0.0,0.0,0.0,0.0,0.0,1
1959,3.0,5.0,82576.0,0,0,2.0,66,1206,55,445,168,18,18,1,2,4,12,1,0.0,0.0,1.0,0.0,0.0,0.0,0
1954,2.0,2.0,76773.0,0,0,199.0,79,516,56,449,86,33,16,1,2,2,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0
1951,1.0,3.0,26997.0,0,0,94.0,89,7,23,78,133,49,144,2,4,2,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1963,4.0,2.0,48799.0,0,1,440.0,9,174,18,81,28,6,24,3,3,2,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1983,3.0,4.0,89616.0,0,0,199.0,36,671,47,655,145,111,15,1,7,5,12,2,0.0,0.0,0.0,0.0,0.0,0.0,1
1970,2.0,4.0,24163.0,1,1,417.0,3,4,1,7,2,1,2,2,1,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0
1944,3.0,3.0,80184.0,0,0,548.0,19,1035,134,670,25,38,0,1,6,3,10,3,0.0,0.0,1.0,1.0,0.0,0.0,0
1960,0.0,4.0,47823.0,0,1,340.0,0,53,1,5,2,1,10,2,2,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1959,3.0,3.0,77520.0,0,1,376.0,30,940,44,396,0,88,58,1,8,7,7,4,1.0,0.0,1.0,1.0,0.0,0.0,1
1957,2.0,3.0,55267.0,0,1,426.0,28,161,28,136,32,3,45,4,3,4,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1957,2.0,5.0,42213.0,0,1,417.0,96,309,3,24,4,3,20,2,5,1,7,7,0.0,1.0,0.0,0.0,0.0,0.0,0
1951,2.0,5.0,40689.0,0,1,219.0,69,270,3,27,39,6,99,7,7,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1971,3.0,5.0,80573.0,0,0,72.0,85,829,138,430,60,92,15,1,4,6,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1951,2.0,6.0,70792.0,0,0,181.0,82,344,45,654,104,11,114,2,3,4,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1983,2.0,3.0,69520.0,0,0,325.0,95,627,120,414,121,80,93,1,9,6,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1968,2.0,3.0,19514.0,1,1,516.0,47,14,3,21,2,1,28,4,3,1,2,8,1.0,0.0,0.0,0.0,0.0,0.0,1
1971,2.0,2.0,43300.0,0,1,71.0,87,91,3,52,2,1,31,3,4,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,1
1970,2.0,4.0,76467.0,1,0,18.0,44,676,161,426,210,44,58,2,2,5,5,6,0.0,0.0,0.0,0.0,0.0,0.0,1
1955,4.0,5.0,46015.0,1,1,589.0,25,38,0,2,0,0,6,1,1,0,3,7,1.0,0.0,0.0,0.0,1.0,0.0,0
1985,2.0,4.0,29938.0,1,0,432.0,52,3,3,7,0,2,11,2,1,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1986,2.0,4.0,39146.0,1,0,189.0,1,94,1,33,13,12,12,3,4,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1986,1.0,3.0,20425.0,1,0,87.0,5,4,12,5,3,16,17,2,2,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1974,0.0,3.0,20130.0,0,0,562.0,99,0,6,3,7,6,12,1,1,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1946,2.0,5.0,37760.0,0,0,32.0,20,84,5,38,150,12,28,2,4,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1974,4.0,2.0,25509.0,1,0,48.0,15,40,3,30,10,7,11,3,3,0,3,9,0.0,0.0,0.0,0.0,0.0,0.0,1
1969,2.0,5.0,68695.0,0,0,658.0,3,458,81,356,106,50,40,1,4,4,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1984,2.0,5.0,16529.0,1,0,548.0,23,3,0,5,13,0,1,1,1,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1988,2.0,3.0,24645.0,1,0,90.0,16,5,3,4,4,1,0,1,1,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1960,2.0,3.0,31454.0,1,1,324.0,40,28,0,11,0,0,9,3,2,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1966,2.0,2.0,70287.0,0,0,234.0,30,295,35,482,121,120,40,1,5,5,10,3,0.0,0.0,0.0,0.0,0.0,0.0,1
1964,2.0,2.0,51983.0,0,1,32.0,95,631,0,115,10,7,30,3,9,2,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1977,2.0,3.0,54233.0,0,1,180.0,46,652,8,158,21,0,142,4,11,6,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1960,2.0,3.0,51651.0,0,1,96.0,32,293,6,23,13,6,92,4,6,2,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1954,2.0,5.0,77972.0,0,0,563.0,18,613,22,319,33,102,12,1,4,6,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0
1951,2.0,2.0,43185.0,0,1,241.0,88,537,6,42,16,6,30,2,9,3,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1964,4.0,2.0,64140.0,0,2,400.0,71,1459,0,61,0,15,215,5,2,5,6,5,1.0,0.0,1.0,0.0,1.0,0.0,1
1979,2.0,5.0,77298.0,0,1,437.0,46,425,115,292,23,35,79,1,6,6,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1991,4.0,4.0,68126.0,0,0,99.0,40,1332,17,311,23,51,86,1,7,4,5,9,0.0,1.0,0.0,0.0,0.0,0.0,1
1956,2.0,3.0,90369.0,0,0,604.0,2,292,51,981,224,23,17,1,4,6,6,1,0.0,0.0,0.0,0.0,0.0,0.0,1
1969,3.0,3.0,43641.0,1,1,253.0,50,57,2,51,4,2,23,3,2,1,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1963,2.0,2.0,45146.0,1,1,332.0,28,33,0,5,0,0,15,2,1,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0
1973,4.0,4.0,54466.0,1,1,530.0,78,12,0,4,0,0,0,1,1,0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1973,3.0,3.0,38961.0,1,0,492.0,60,19,7,19,0,1,24,1,2,1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1977,2.0,3.0,54809.0,1,1,388.0,0,63,6,57,13,13,22,4,2,1,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0
1944,2.0,3.0,55956.0,0,0,583.0,22,760,38,104,50,9,38,2,7,3,4,4,0.0,1.0,0.0,0.0,0.0,0.0,0
1964,2.0,4.0,18701.0,1,1,295.0,95,12,4,2,10,6,10,4,2,0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1956,2.0,3.0,71866.0,0,1,487.0,85,184,178,178,103,39,33,1,6,3,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1962,0.0,2.0,81975.0,0,1,153.0,2,983,76,184,180,138,27,1,6,3,4,7,0.0,0.0,1.0,0.0,0.0,0.0,0
1975,2.0,4.0,73170.0,0,0,634.0,1,184,174,256,50,30,32,1,5,4,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1970,3.0,4.0,75345.0,0,0,178.0,16,918,57,842,99,38,133,1,5,8,6,3,0.0,0.0,0.0,1.0,0.0,0.0,1
1979,4.0,3.0,31605.0,1,0,110.0,15,74,0,42,2,1,6,2,2,1,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1952,2.0,4.0,47139.0,1,1,553.0,2,46,0,12,0,2,23,2,2,1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,1
1972,2.0,3.0,40321.0,1,1,346.0,59,44,4,21,6,0,27,2,3,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1976,2.0,3.0,74068.0,0,0,220.0,14,783,30,537,140,76,15,1,4,10,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1954,3.0,3.0,66991.0,0,0,43.0,1,496,36,460,189,60,12,3,4,8,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1980,3.0,3.0,69661.0,0,0,619.0,80,656,16,106,32,16,8,1,7,3,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1964,2.0,5.0,68142.0,0,1,30.0,96,897,126,196,91,112,37,3,10,4,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1953,2.0,3.0,75027.0,0,1,157.0,74,925,64,179,133,12,77,2,9,4,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1972,4.0,3.0,29791.0,1,0,620.0,21,14,0,6,0,0,0,2,2,0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1977,2.0,3.0,31353.0,1,1,491.0,24,10,0,10,3,1,7,2,1,1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,1
1967,0.0,5.0,67309.0,1,1,170.0,76,515,47,181,149,95,95,15,9,6,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1980,2.0,5.0,62994.0,1,0,551.0,74,224,12,48,4,12,12,1,6,2,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1955,0.0,3.0,72635.0,0,0,294.0,54,390,22,323,104,35,107,1,6,8,6,3,0.0,0.0,0.0,1.0,0.0,0.0,0
1976,3.0,3.0,49681.0,0,2,439.0,66,411,0,26,0,0,21,6,7,1,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1990,2.0,3.0,18351.0,0,0,434.0,1,1,12,9,0,14,7,1,2,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1973,0.0,2.0,31163.0,1,0,534.0,54,2,3,10,11,2,10,1,1,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1977,0.0,3.0,31056.0,1,0,169.0,99,5,10,13,3,8,16,1,1,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1977,3.0,3.0,43263.0,0,1,109.0,2,262,6,61,0,10,102,3,5,2,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1965,4.0,3.0,84618.0,0,0,455.0,96,684,100,801,21,66,0,1,6,9,10,2,0.0,0.0,1.0,0.0,0.0,0.0,0
1974,2.0,2.0,19346.0,1,0,520.0,26,2,0,9,3,6,2,1,1,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1962,4.0,2.0,85696.0,0,0,263.0,88,714,76,395,116,0,12,1,4,6,9,1,0.0,0.0,0.0,0.0,0.0,0.0,1
1957,3.0,0.0,65487.0,0,0,502.0,48,240,67,500,199,0,163,3,3,5,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1973,4.0,5.0,55012.0,0,1,566.0,85,582,0,65,0,0,13,6,8,2,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1977,3.0,3.0,50353.0,0,0,641.0,72,141,15,153,67,31,35,1,4,4,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1956,2.0,3.0,58116.0,0,1,589.0,38,228,19,130,4,11,51,2,3,3,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1951,2.0,3.0,57304.0,0,1,213.0,61,356,80,329,138,17,106,2,7,6,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1951,2.0,4.0,15033.0,0,0,592.0,37,0,4,5,6,0,4,1,1,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1982,2.0,4.0,68627.0,0,0,160.0,45,395,15,263,60,54,38,1,2,3,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0
1953,4.0,5.0,64504.0,1,2,206.0,81,986,36,168,16,0,108,7,11,3,4,7,0.0,0.0,0.0,0.0,0.0,0.0,1
1954,3.0,6.0,44551.0,0,1,379.0,24,182,4,33,0,0,66,2,4,1,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1953,4.0,4.0,46231.0,2,1,114.0,87,189,2,55,0,5,12,4,6,1,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0
1959,2.0,6.0,76320.0,0,1,655.0,49,526,35,214,69,53,35,2,6,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1976,2.0,2.0,31615.0,1,0,217.0,82,2,3,20,6,11,9,2,2,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1983,2.0,2.0,82025.0,0,0,288.0,76,267,98,606,48,70,98,1,3,2,6,1,0.0,0.0,1.0,0.0,0.0,0.0,1
1956,4.0,3.0,66334.0,0,1,235.0,82,909,11,218,0,0,23,2,9,3,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1
1992,2.0,3.0,34935.0,0,0,309.0,71,34,4,66,3,10,20,1,2,1,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1977,4.0,3.0,28973.0,0,0,71.0,59,206,0,46,3,2,12,2,5,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1960,4.0,5.0,38201.0,0,1,230.0,19,233,0,23,0,0,12,4,5,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1975,2.0,2.0,70300.0,1,0,332.0,89,1045,61,338,60,46,46,3,5,5,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1986,2.0,3.0,71952.0,1,0,158.0,93,656,80,455,52,107,93,2,8,4,8,4,1.0,0.0,1.0,0.0,0.0,0.0,0
1964,4.0,3.0,41551.0,1,1,362.0,51,220,0,33,3,0,23,5,5,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1975,0.0,5.0,34984.0,1,1,38.0,40,8,4,15,3,5,3,2,1,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1958,4.0,5.0,84460.0,0,0,152.0,80,152,27,103,106,54,81,0,9,9,4,5,0.0,1.0,1.0,1.0,1.0,0.0,1
1981,2.0,5.0,31089.0,1,0,18.0,57,31,3,31,2,8,4,3,3,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1975,0.0,3.0,57036.0,0,1,129.0,33,1171,43,219,19,14,47,4,6,3,13,9,1.0,0.0,0.0,0.0,0.0,0.0,0
1977,2.0,5.0,39771.0,1,0,468.0,92,6,2,18,2,8,14,1,2,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0
1944,3.0,6.0,45006.0,0,0,335.0,90,162,25,53,16,0,10,1,3,1,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0
1974,2.0,3.0,34421.0,1,0,319.0,81,3,3,7,6,2,9,1,1,0,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1979,2.0,3.0,63777.0,1,1,225.0,87,457,5,106,15,17,53,8,11,1,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1986,3.0,5.0,42386.0,1,0,161.0,43,65,4,16,0,4,11,1,3,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1968,3.0,5.0,32889.0,1,1,384.0,78,28,0,13,4,2,8,3,2,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1962,3.0,2.0,59432.0,0,1,244.0,88,317,25,265,25,19,12,3,5,3,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1971,4.0,4.0,60504.0,0,1,528.0,73,458,0,24,6,4,34,2,6,2,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1970,2.0,5.0,74854.0,1,2,239.0,90,856,59,487,58,29,73,7,2,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1974,4.0,3.0,78128.0,0,1,540.0,89,934,24,230,16,24,36,2,8,4,6,3,0.0,1.0,1.0,0.0,0.0,0.0,0
1967,2.0,5.0,75702.0,1,1,30.0,77,650,28,353,45,42,30,5,4,6,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1955,2.0,4.0,51381.5,0,1,423.0,95,264,0,21,12,6,147,3,6,1,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0
1978,4.0,5.0,27683.0,1,0,5.0,90,152,9,121,12,12,45,4,6,2,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1957,2.0,3.0,78618.0,0,0,58.0,87,736,163,818,212,163,61,1,4,7,10,2,0.0,1.0,0.0,0.0,0.0,0.0,0
1965,2.0,4.0,59686.0,0,1,515.0,78,89,15,89,34,42,5,1,4,1,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0
1960,2.0,3.0,79530.0,0,0,277.0,64,333,0,815,129,42,29,1,4,10,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0
1957,4.0,4.0,40737.0,2,1,470.0,24,11,0,4,0,0,2,1,1,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0
1961,4.0,3.0,54456.0,0,1,328.0,23,352,0,27,10,0,15,3,6,1,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0
1972,4.0,5.0,62220.0,0,1,12.0,55,799,12,375,16,12,12,5,7,6,5,6,0.0,0.0,0.0,0.0,0.0,0.0,1
