LATITUDE,LONGITUDE,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality,__target__
25.9049857345,-80.1687928288,10016.0,1665.0,1036.0,2437.8,15352.9,2685.1,47229.0,43363.4,13492.3,65,0.0,3,2,235000.0
25.9067065237,-80.1800895217,8100.0,2785.0,10388.0,5628.4,19112.2,5121.7,47378.9,45171.4,9779.3,26,0.0,12,4,289900.0
25.6091953535,-80.3884745024,8925.0,1767.0,5820.0,4702.0,26217.1,12023.3,88603.0,37892.4,3361.5,19,0.0,9,2,265100.0
25.7334959454,-80.2835024957,11000.0,2557.0,55020.0,6416.8,13343.0,1482.3,33691.3,9974.3,11428.8,1,0.0,12,5,1325000.0
25.7140169758,-80.2966689651,11000.0,2112.0,0.0,3300.1,15585.0,5112.7,41051.6,10737.3,6938.4,61,0.0,10,4,410000.0
25.7473123092,-80.4311143536,7001.0,2934.0,2200.0,12867.6,61129.7,31859.7,79166.4,44214.3,11372.1,0,0.0,5,2,408600.0
25.820579797,-80.3574901191,4180.0,1599.0,2751.0,13726.7,51828.5,13650.7,56486.3,41472.4,9492.3,28,0.0,10,5,353000.0
25.7370784572,-80.4423867502,5000.0,2165.0,0.0,16926.0,62877.8,36285.1,83408.0,45959.2,16385.7,15,0.0,4,4,370000.0
25.6388725857,-80.4555219203,6051.0,2648.0,5600.0,260.9,49699.7,36419.5,99936.0,50101.5,23100.3,0,0.0,6,4,473400.0
25.6429457885,-80.3099224233,18161.0,3422.0,34781.0,7440.3,8548.8,5360.5,61974.4,16501.4,12902.4,23,0.0,8,4,760000.0
25.5575607596,-80.3972881834,13500.0,2573.0,4560.0,7576.2,23967.0,8583.7,104244.3,54930.7,10612.6,0,0.0,3,2,360000.0
25.735743539,-80.4262207832,7369.0,2865.0,36100.0,17059.1,58694.9,31292.8,78239.2,40872.4,13749.4,23,0.0,12,4,460000.0
25.7075667308,-80.45189079,6019.0,2392.0,41743.0,10813.0,58499.2,43110.1,88906.5,46092.4,21568.0,15,0.0,3,4,425000.0
25.5422864336,-80.3643334669,6111.0,2530.0,0.0,10957.0,11838.6,5022.2,102190.6,55655.8,360.4,11,0.0,5,2,285000.0
25.8668750148,-80.1907377545,8625.0,1488.0,3386.0,2677.9,23416.2,3743.0,32735.9,32735.9,5731.5,51,0.0,9,4,505000.0
25.8188764254,-80.3032083884,6900.0,1285.0,2604.0,886.2,39139.7,2003.4,39419.3,29089.5,5965.6,24,1.0,9,5,349800.0
25.7186886168,-80.2851423643,7500.0,1801.0,1718.0,2766.0,11968.3,1451.2,36959.2,14147.3,10871.4,58,0.0,12,4,540000.0
25.6584124819,-80.4281065464,5059.0,2390.0,648.0,7342.9,43170.6,33568.7,88577.4,39268.7,13708.1,21,0.0,8,4,369000.0
25.7211173557,-80.2552188809,9100.0,3743.0,45909.0,2988.9,3218.1,2850.3,28771.0,10348.7,17605.0,17,0.0,5,5,1920000.0
