CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,__target__
3.734,0.223,1.282,0,0,2.502,3.387
2.62,0.499,0.99,0,0,3.21,3.84
3.219,0.811,1.151,0,0,2.604,3.397
2.536,0.764,1.165,0,1,2.619,4.191
3.252,0.0,1.417,0,0,3.124,3.299
2.862,1.031,1.828,0,3,-0.463,4.512
3.9,0.429,1.572,0,1,2.297,3.842
2.836,1.86,1.046,0,2,4.452,8.207
2.512,0.134,1.293,0,0,0.846,2.811
1.751,0.629,1.483,0,0,-0.317,0.361
1.279,1.16,1.714,0,0,1.209,2.936
2.479,0.887,0.954,0,0,1.748,4.119
3.361,0.223,1.342,0,0,2.129,5.485
4.121,0.829,1.551,0,1,3.913,5.653
3.378,1.38,1.25,0,0,1.654,4.854
2.74,1.04,1.603,0,1,2.646,4.215
3.669,0.223,1.599,0,0,2.274,3.665
3.675,1.112,1.314,0,1,3.474,4.706
1.0,1.15,0.968,0,1,0.996,3.499
2.233,0.57,0.883,0,0,1.501,3.325
3.143,0.134,1.641,0,0,1.209,2.487
3.557,0.331,1.301,2,1,2.209,4.711
3.669,0.223,1.599,0,0,3.186,3.984
2.222,0.711,0.849,0,0,0.828,3.641
3.003,0.134,1.413,0,0,2.242,2.647
3.024,0.452,2.698,0,0,1.107,0.45
2.834,0.134,1.237,0,0,1.859,3.03
4.171,0.693,1.678,0,2,2.849,4.976
3.023,0.56,1.168,0,1,2.294,3.924
3.38,0.638,1.506,0,1,1.57,4.38
3.026,0.405,1.787,0,1,1.373,2.551
3.08,0.223,1.462,1,0,1.442,3.518
3.25,0.0,0.95,0,0,3.259,3.926
3.035,0.223,1.941,0,0,1.209,2.107
3.669,0.223,1.778,0,0,2.274,3.604
2.454,1.075,0.951,0,0,2.359,6.317
1.892,1.441,0.776,0,0,3.426,6.087
3.351,0.797,2.456,2,0,-0.197,3.903
3.343,1.068,0.923,0,0,2.538,3.327
2.67,0.496,2.047,0,0,-0.917,1.842
2.465,1.586,1.0,0,4,3.558,7.591
2.755,0.405,1.844,0,1,0.996,3.231
2.08,0.891,0.816,0,0,2.729,4.41
3.286,0.357,2.104,0,0,-0.521,1.771
3.26,0.811,0.702,0,0,4.412,6.298
1.0,0.83,1.432,0,1,1.672,2.856
2.507,0.405,1.5,0,2,0.076,2.851
1.965,1.028,0.762,0,0,2.116,5.303
3.023,0.56,1.168,0,1,1.75,3.379
3.728,0.956,1.17,0,0,4.789,5.574
2.609,0.604,1.529,0,0,2.419,3.572
3.426,0.85,1.792,0,0,2.59,4.377
1.512,0.57,0.879,0,1,-0.317,2.445
2.836,0.693,1.43,0,2,0.434,3.178
2.08,0.891,0.816,0,0,2.729,4.989
2.479,0.887,0.954,0,0,1.748,4.208
2.026,0.223,1.667,0,1,0.202,0.855
3.739,0.0,1.204,0,1,3.374,5.434
2.462,0.223,1.669,0,0,0.408,1.524
2.441,0.88,1.54,0,2,0.057,4.92
3.641,0.405,1.531,0,1,3.289,3.182
3.819,0.615,0.864,0,0,4.878,3.715
2.591,0.331,1.629,0,0,0.874,2.395
1.983,1.714,2.105,0,0,2.358,5.062
3.171,0.134,1.189,1,0,2.42,3.569
3.332,0.134,1.519,0,0,2.51,3.415
3.81,1.025,1.055,0,2,0.215,3.838
3.277,0.223,1.633,0,0,1.587,2.182
1.634,0.713,1.19,0,0,1.313,2.782
3.177,0.629,0.871,0,0,3.315,3.365
2.031,0.854,2.591,0,0,-0.816,2.689
2.396,0.223,1.778,0,0,0.347,1.121
2.377,1.278,0.974,0,0,4.658,5.372
3.867,0.134,1.174,0,0,3.386,4.064
2.233,0.64,0.92,1,0,2.37,4.805
2.594,0.251,1.287,0,0,0.454,1.749
2.804,1.11,0.618,0,6,1.317,6.254
1.822,0.681,0.794,0,0,2.335,3.696
2.665,0.251,1.762,0,0,-0.534,1.817
2.866,0.223,1.288,2,0,1.335,3.411
