seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,maxenergy,__target__
1.0,1.0,0.0,9980.0,145.0,-3.0,-60.0,1.0,0,0,0,0,0,0.0,0.0,0
0.0,1.0,1.0,23820.0,525.0,63.0,44.0,1.0,0,0,0,0,0,0.0,0.0,0
1.0,0.0,1.0,47840.0,594.0,106.0,27.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,1.0,1.0,51410.0,922.0,80.0,47.0,1.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,1.0,7100.0,227.0,-37.0,-19.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,3380.0,14.0,37.0,-65.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,1.0,27630.0,733.0,-23.0,-27.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,1.0,0.0,8110.0,29.0,-33.0,-28.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,850.0,6.0,-85.0,-90.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,1.0,1.0,51560.0,1088.0,52.0,8.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,0.0,1.0,35300.0,816.0,-9.0,-24.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,0.0,1.0,21200.0,794.0,-43.0,-24.0,0.0,1,1,0,0,0,200.0,200.0,0
0.0,1.0,1.0,532290.0,2055.0,-4.0,-19.0,0.0,2,0,2,0,0,4000.0,2000.0,0
1.0,1.0,1.0,24500.0,488.0,-9.0,7.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,1.0,159910.0,2345.0,12.0,23.0,0.0,3,1,2,0,0,4400.0,3000.0,0
0.0,0.0,0.0,19260.0,53.0,97.0,32.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,12560.0,469.0,0.0,88.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,14000.0,160.0,81.0,-20.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,1.0,1.0,15060.0,618.0,-17.0,29.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,2.0,1.0,57440.0,538.0,27.0,-23.0,1.0,0,0,0,0,0,0.0,0.0,0
1.0,0.0,1.0,19990.0,669.0,-64.0,-18.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,1.0,32470.0,388.0,15.0,-17.0,0.0,1,0,0,1,0,80000.0,80000.0,0
1.0,1.0,1.0,184710.0,1482.0,61.0,78.0,0.0,9,1,7,1,0,49800.0,30000.0,0
0.0,0.0,1.0,7430.0,196.0,-70.0,-61.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,1.0,1.0,122820.0,1191.0,-39.0,-40.0,0.0,1,0,1,0,0,3000.0,3000.0,0
0.0,1.0,0.0,10520.0,72.0,46.0,1.0,0.0,1,0,1,0,0,5000.0,5000.0,0
1.0,1.0,1.0,21300.0,710.0,19.0,55.0,0.0,1,0,1,0,0,2000.0,2000.0,0
1.0,1.0,1.0,14460.0,271.0,-42.0,-40.0,1.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,59210.0,175.0,-54.0,-61.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,100190.0,303.0,54.0,52.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,1.0,1.0,22130.0,390.0,-10.0,-7.0,0.0,2,1,0,1,0,30300.0,30000.0,0
0.0,1.0,0.0,32830.0,85.0,33.0,31.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,3680.0,22.0,44.0,-45.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,1.0,782750.0,1593.0,9.0,-17.0,0.0,2,0,2,0,0,6000.0,3000.0,0
0.0,0.0,0.0,6160.0,258.0,-46.0,6.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,1.0,0.0,19370.0,63.0,-49.0,-20.0,1.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,1.0,13540.0,437.0,-20.0,-21.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,1.0,22810.0,508.0,-35.0,-7.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,1.0,1.0,64490.0,755.0,120.0,55.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,1.0,1.0,26990.0,769.0,-20.0,-24.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,0.0,1.0,40250.0,451.0,91.0,91.0,0.0,4,3,1,0,0,2900.0,2000.0,0
1.0,0.0,1.0,47010.0,375.0,57.0,63.0,0.0,4,2,1,0,1,204400.0,200000.0,0
0.0,0.0,1.0,82480.0,172.0,-34.0,-21.0,0.0,1,0,1,0,0,1000.0,1000.0,0
1.0,0.0,0.0,11080.0,343.0,33.0,104.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,8030.0,224.0,31.0,42.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,0.0,1.0,13520.0,528.0,-42.0,-23.0,0.0,0,0,0,0,0,0.0,0.0,0
1.0,0.0,1.0,68600.0,1052.0,138.0,33.0,0.0,1,1,0,0,0,900.0,900.0,0
1.0,0.0,1.0,9940.0,142.0,-56.0,-62.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,1.0,0.0,6010.0,329.0,-36.0,5.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,1.0,12140.0,317.0,8.0,38.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,2910.0,80.0,-58.0,-54.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,1.0,951410.0,1332.0,98.0,-7.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,4290.0,45.0,41.0,12.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,11020.0,589.0,10.0,69.0,0.0,0,0,0,0,0,0.0,0.0,0
0.0,0.0,0.0,2020.0,18.0,-76.0,-76.0,0.0,1,1,0,0,0,400.0,400.0,0
0.0,1.0,1.0,576200.0,1558.0,15.0,-22.0,0.0,6,3,3,0,0,21300.0,8000.0,1
