Marital_status,Application_mode,Application_order,Course,Daytimeevening_attendance,Previous_qualification,Previous_qualification_grade,Nationality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,__target__
3.0,8.0,1,5.0,0.0,11.0,140.0,14.0,10.0,28.0,29.0,35.0,140.0,0.0,0.0,0.0,1.0,0.0,0.0,33,0.0,0,6,7,6,15.0,0,0,6,8,3,11.0,0,11.1,0.6,2.02,2
4.0,0.0,1,13.0,0.0,15.0,133.0,14.0,8.0,28.0,26.0,1.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,20,0.0,0,6,11,1,12.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,1
3.0,0.0,1,5.0,0.0,15.0,127.0,14.0,22.0,10.0,29.0,42.0,123.2,0.0,0.0,0.0,1.0,0.0,1.0,20,0.0,0,6,6,6,15.0,0,0,6,6,6,14.5,0,11.1,0.6,2.02,2
4.0,0.0,1,5.0,0.0,15.0,140.0,14.0,9.0,9.0,1.0,1.0,138.3,0.0,0.0,0.0,1.0,1.0,0.0,20,0.0,1,6,8,6,13.428571428571429,1,0,6,12,4,11.5,0,13.9,-0.3,0.79,1
4.0,0.0,1,8.0,0.0,15.0,135.0,14.0,24.0,10.0,1.0,3.0,129.4,1.0,0.0,0.0,1.0,0.0,0.0,18,0.0,0,6,6,6,12.833333333333334,0,0,6,7,6,12.166666666666666,0,11.1,0.6,2.02,2
3.0,14.0,1,12.0,0.0,15.0,160.0,14.0,10.0,11.0,29.0,8.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,31,0.0,0,7,21,5,10.9,3,0,8,21,3,11.7,1,12.7,3.7,-1.7,0
4.0,2.0,3,5.0,0.0,15.0,152.0,14.0,24.0,9.0,1.0,16.0,156.9,1.0,0.0,0.0,1.0,0.0,0.0,19,0.0,0,6,6,6,15.333333333333334,0,0,6,9,6,15.833333333333334,0,12.7,3.7,-1.7,2
4.0,4.0,1,8.0,0.0,15.0,135.0,14.0,24.0,28.0,11.0,17.0,129.8,0.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,6,6,6,12.666666666666666,0,0,6,6,6,11.833333333333334,0,12.7,3.7,-1.7,0
4.0,0.0,3,13.0,0.0,15.0,135.0,14.0,24.0,26.0,29.0,3.0,121.0,1.0,0.0,0.0,1.0,0.0,1.0,19,0.0,0,6,7,6,11.333333333333334,0,0,6,6,6,11.5,0,12.4,0.5,1.79,2
4.0,3.0,2,15.0,0.0,15.0,131.0,14.0,24.0,10.0,29.0,42.0,130.3,1.0,0.0,0.0,1.0,0.0,1.0,18,0.0,0,6,6,6,12.833333333333334,0,0,6,7,6,12.333333333333334,0,13.9,-0.3,0.79,2
